Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E
INVAR-1, Run: 077, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 078, F, 52, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 079, F, 46, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 080, F, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 081, F, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 082, F, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 083, F, 47, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 084, F, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 085, F, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 086, F, 30, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 087, F, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 088, F, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 089, F, 55, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 090, F, 56, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 091, F, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 092, F, 49, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 093, F, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 094, F, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 095, F, 44, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 096, F, 60, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 097, F, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 098, F, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-1, Run: 099, F, 39, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8
INVAR-1, Run: 100, F, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
INVAR-10, Run: 001, F, 1, 0, 0, 0, 0, 0, 508, 0, 0, 1, 0, 100
INVAR-10, Run: 002, F, 1, 0, 0, 0, 0, 0, 500, 0, 2, 1, 2, 99
INVAR-10, Run: 003, F, 1, 0, 0, 0, 0, 0, 500, 0, 0, 1, 0, 100
INVAR-10, Run: 004, F, 0, 0, 0, 2, 0, 0, 492, 0, 0, 1, 0, 100
INVAR-10, Run: 005, F, 0, 0, 0, 0, 0, 0, 498, 0, 0, 1, 0, 100
INVAR-10, Run: 006, F, 1, 0, 0, 0, 0, 0, 502, 0, 2, 1, 2, 99
INVAR-10, Run: 007, F, 1, 0, 0, 1, 0, 0, 491, 0, 0, 1, 0, 100
INVAR-10, Run: 008, F, 0, 0, 0, 0, 0, 0, 492, 0, 0, 1, 0, 100
INVAR-10, Run: 009, F, 0, 0, 0, 2, 0, 0, 494, 0, 2, 1, 2, 99
INVAR-10, Run: 010, F, 0, 0, 0, 3, 0, 0, 497, 0, 0, 1, 0, 100
INVAR-10, Run: 011, F, 1, 0, 0, 1, 0, 0, 507, 0, 2, 1, 2, 99
INVAR-10, Run: 012, F, 0, 0, 0, 0, 0, 0, 508, 0, 2, 1, 2, 99
INVAR-10, Run: 013, F, 1, 0, 0, 2, 0, 0, 516, 0, 0, 1, 0, 100
INVAR-10, Run: 014, F, 1, 0, 0, 1, 0, 0, 485, 0, 0, 1, 0, 100
INVAR-10, Run: 015, F, 1, 0, 0, 0, 0, 0, 494, 0, 0, 1, 0, 100
INVAR-10, Run: 016, F, 1, 0, 0, 1, 0, 0, 503, 0, 2, 1, 2, 99
INVAR-10, Run: 017, F, 1, 0, 0, 0, 0, 0, 504, 0, 0, 1, 0, 100
INVAR-10, Run: 018, F, 1, 0, 0, 1, 0, 0, 505, 0, 0, 1, 0, 100
INVAR-10, Run: 019, F, 0, 0, 0, 0, 0, 0, 510, 0, 0, 1, 0, 100
INVAR-10, Run: 020, F, 1, 0, 0, 0, 0, 0, 498, 0, 2, 1, 2, 99
INVAR-10, Run: 021, F, 1, 0, 0, 0, 0, 0, 502, 0, 2, 1, 2, 99
INVAR-10, Run: 022, F, 1, 0, 0, 0, 0, 0, 498, 0, 0, 1, 0, 100
INVAR-10, Run: 023, F, 0, 0, 0, 0, 0, 0, 494, 0, 0, 1, 0, 100
INVAR-10, Run: 024, F, 1, 0, 0, 0, 0, 0, 500, 0, 0, 1, 0, 100
INVAR-10, Run: 025, F, 1, 0, 0, 0, 0, 0, 510, 0, 0, 1, 0, 100
INVAR-10, Run: 026, F, 1, 0, 0, 3, 0, 0, 515, 0, 0, 1, 0, 100
INVAR-10, Run: 027, F, 1, 0, 0, 2, 0, 0, 500, 0, 0, 1, 0, 100
INVAR-10, Run: 028, F, 1, 0, 0, 1, 0, 0, 495, 0, 0, 1, 0, 100
INVAR-10, Run: 029, F, 1, 0, 0, 1, 0, 0, 511, 0, 0, 1, 0, 100
INVAR-10, Run: 030, F, 0, 0, 0, 0, 0, 0, 474, 0, 2, 1, 2, 99
INVAR-10, Run: 031, F, 1, 0, 0, 1, 0, 0, 511, 0, 0, 1, 0, 100
INVAR-10, Run: 032, F, 0, 0, 0, 2, 0, 0, 498, 0, 0, 1, 0, 100
INVAR-10, Run: 033, F, 1, 0, 0, 0, 0, 0, 498, 0, 0, 1, 0, 100
INVAR-10, Run: 034, F, 1, 0, 0, 1, 0, 0, 499, 0, 0, 1, 0, 100
INVAR-10, Run: 035, F, 1, 0, 0, 1, 0, 0, 505, 0, 2, 1, 2, 99
INVAR-10, Run: 036, F, 0, 0, 0, 2, 0, 0, 494, 0, 2, 1, 2, 99
INVAR-10, Run: 037, F, 1, 0, 0, 0, 0, 0, 496, 0, 0, 1, 0, 100
INVAR-10, Run: 038, F, 1, 0, 0, 0, 0, 0, 490, 0, 0, 1, 0, 100
INVAR-10, Run: 039, F, 1, 0, 0, 0, 0, 0, 524, 0, 0, 1, 0, 100
INVAR-10, Run: 040, F, 1, 0, 0, 0, 0, 0, 490, 0, 2, 1, 2, 99
INVAR-10, Run: 041, F, 0, 0, 0, 0, 0, 0, 514, 0, 0, 1, 0, 100
INVAR-10, Run: 042, F, 1, 0, 0, 1, 0, 0, 491, 0, 0, 1, 0, 100
INVAR-10, Run: 043, F, 1, 0, 0, 1, 0, 0, 493, 0, 0, 1, 0, 100
INVAR-10, Run: 044, F, 0, 0, 0, 0, 0, 0, 490, 0, 0, 1, 0, 100
INVAR-10, Run: 045, F, 1, 0, 0, 1, 0, 0, 479, 0, 2, 1, 2, 99
INVAR-10, Run: 046, F, 1, 0, 0, 0, 0, 0, 502, 0, 0, 1, 0, 100
INVAR-10, Run: 047, F, 1, 0, 0, 0, 0, 0, 500, 0, 0, 1, 0, 100
INVAR-10, Run: 048, F, 0, 0, 0, 2, 0, 0, 506, 0, 0, 1, 0, 100
INVAR-10, Run: 049, F, 1, 0, 0, 0, 0, 0, 496, 0, 0, 1, 0, 100
INVAR-10, Run: 050, F, 0, 0, 0, 2, 0, 0, 494, 0, 0, 1, 0, 100
INVAR-10, Run: 051, F, 1, 0, 0, 0, 0, 0, 492, 0, 0, 1, 0, 100
INVAR-10, Run: 052, F, 1, 0, 0, 0, 0, 0, 502, 0, 0, 1, 0, 100
INVAR-10, Run: 053, F, 1, 0, 0, 0, 0, 0, 492, 0, 0, 1, 0, 100
INVAR-10, Run: 054, F, 1, 0, 0, 1, 0, 0, 503, 0, 0, 1, 0, 100
INVAR-10, Run: 055, F, 1, 0, 0, 1, 0, 0, 525, 0, 0, 1, 0, 100
INVAR-10, Run: 056, F, 1, 0, 0, 0, 0, 0, 508, 0, 0, 1, 0, 100
