Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-2, Run: 011, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 95, 0, 28, 16, 11, 28, 0, 0, 123, 0
INVAR-2, Run: 012, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 97, 0, 28, 18, 9, 28, 0, 0, 125, 0
INVAR-2, Run: 013, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 109, 0, 28, 21, 6, 28, 0, 0, 137, 0
INVAR-2, Run: 014, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 112, 0, 28, 18, 9, 28, 0, 0, 140, 0
INVAR-2, Run: 015, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 84, 0, 28, 19, 8, 28, 0, 0, 112, 0
INVAR-2, Run: 016, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 80, 0, 28, 18, 9, 28, 0, 0, 108, 0
INVAR-2, Run: 017, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 101, 0, 28, 17, 10, 28, 0, 0, 129, 0
INVAR-2, Run: 018, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 101, 0, 28, 18, 9, 28, 0, 0, 129, 0
INVAR-2, Run: 019, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 135, 0, 28, 17, 10, 28, 0, 0, 163, 0
INVAR-2, Run: 020, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 116, 0, 28, 16, 11, 28, 0, 0, 144, 0
INVAR-2, Run: 021, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 99, 0, 28, 17, 10, 28, 0, 0, 127, 0
INVAR-2, Run: 022, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 90, 0, 28, 18, 9, 28, 0, 0, 118, 0
INVAR-2, Run: 023, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 104, 0, 28, 18, 9, 28, 0, 0, 132, 0
INVAR-2, Run: 024, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 134, 0, 28, 12, 15, 28, 0, 0, 162, 0
INVAR-2, Run: 025, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 86, 0, 28, 20, 7, 28, 0, 0, 114, 0
INVAR-2, Run: 026, P, 0, 0, 0, 28, 28, 0, 0, 1, 0, 0, 0, 56, 100, 0, 28, 18, 9, 28, 0, 0, 128, 0
