Input Number, Run_Number, Result@ 100, prey_mrna595, prey_g594, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 076, F, 67659, 163686, 1, 1, 0, 2, 1, 1, 3, 1, 1, 0, 0, 1, 0, 0, 3, 48175, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 077, F, 67693, 163154, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 5, 48192, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 078, F, 67246, 163696, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 47762, 1, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 079, F, 67764, 163012, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 2, 0, 0, 6, 47487, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 080, F, 67095, 162801, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 4, 47786, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 081, F, 67936, 163069, 1, 0, 0, 3, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 47586, 1, 1, 0, 0, 0, 2, 0, 0, 1
INVAR-1, Run: 082, F, 67962, 163710, 1, 1, 0, 1, 0, 1, 1, 0, 2, 3, 0, 1, 0, 0, 4, 47600, 1, 2, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 083, F, 67332, 163490, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 6, 47685, 1, 0, 0, 0, 0, 1, 2, 0, 1
INVAR-1, Run: 084, F, 67312, 163597, 1, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 5, 47650, 1, 2, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 085, F, 67554, 163117, 1, 0, 0, 1, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0, 4, 48285, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 086, F, 67997, 163113, 1, 2, 0, 3, 3, 1, 0, 2, 1, 3, 0, 3, 0, 0, 9, 47811, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 087, F, 67430, 163220, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 4, 47775, 1, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 088, F, 67562, 162992, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 5, 48254, 1, 0, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 089, F, 67189, 162999, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 4, 47724, 1, 4, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 090, F, 67569, 162379, 1, 3, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 47684, 1, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 091, F, 67273, 163327, 1, 2, 0, 0, 2, 1, 2, 0, 1, 0, 0, 2, 0, 0, 1, 47756, 1, 1, 2, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 092, F, 67303, 163056, 1, 3, 0, 1, 0, 1, 1, 0, 2, 3, 0, 4, 0, 0, 8, 48037, 1, 0, 0, 0, 0, 1, 3, 0, 1
INVAR-1, Run: 093, F, 67529, 163495, 1, 1, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 2, 47925, 1, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 094, F, 67547, 163142, 1, 3, 0, 1, 0, 1, 2, 2, 2, 2, 0, 3, 0, 0, 2, 47664, 1, 1, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 095, F, 67440, 163705, 1, 5, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 2, 47975, 1, 0, 0, 0, 0, 1, 1, 0, 1
INVAR-1, Run: 096, F, 67359, 163015, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 47769, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 097, F, 67643, 163190, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 47932, 1, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 098, F, 67842, 163312, 1, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 6, 47758, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 099, F, 68122, 163009, 1, 2, 0, 0, 1, 1, 1, 0, 3, 1, 0, 0, 0, 0, 2, 47933, 1, 2, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 100, F, 68156, 163162, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 3, 48002, 1, 1, 0, 0, 0, 0, 0, 0, 1
