Input Number, Run_Number, Result@ 100, PE, X1, M, Y, H, PO, CE, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 033, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 117, 2253, 69, 6, 0, 69, 200, 300, 186, 2253
INVAR-10, Run: 034, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 161, 2932, 69, 8, 0, 69, 200, 300, 161, 3532
INVAR-10, Run: 035, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 77, 2235, 69, 6, 0, 69, 200, 300, 146, 2235
INVAR-10, Run: 036, F, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0, 64, 136, 123, 3106, 68, 3, 0, 68, 200, 300, 191, 3106
INVAR-10, Run: 037, F, 0, 0, 0, 70, 0, 0, 3, 65, 3, 597, 0, 64, 136, 78, 1707, 68, 4, 0, 68, 200, 300, 81, 1710
INVAR-10, Run: 038, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 185, 3187, 69, 7, 1, 69, 200, 300, 185, 3787
INVAR-10, Run: 039, F, 0, 0, 0, 659, 1, 1, 0, 70, 600, 0, 0, 59, 141, 122, 2529, 70, 11, 0, 70, 200, 300, 122, 3129
INVAR-10, Run: 040, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 113, 2517, 69, 7, 1, 69, 200, 300, 113, 3117
INVAR-10, Run: 041, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 175, 2857, 69, 5, 3, 69, 200, 300, 175, 3457
INVAR-10, Run: 042, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 88, 2252, 69, 4, 2, 69, 200, 300, 157, 2252
INVAR-10, Run: 043, F, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0, 60, 140, 70, 2942, 70, 8, 1, 70, 200, 300, 140, 2942
INVAR-10, Run: 044, F, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0, 60, 140, 165, 3070, 70, 8, 1, 70, 200, 300, 235, 3070
INVAR-10, Run: 045, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 105, 2715, 69, 8, 0, 69, 200, 300, 105, 3315
INVAR-10, Run: 046, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 105, 2562, 69, 8, 0, 69, 200, 300, 105, 3162
INVAR-10, Run: 047, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 119, 2540, 69, 8, 0, 69, 200, 300, 119, 3140
INVAR-10, Run: 048, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 86, 2059, 68, 5, 0, 68, 200, 300, 86, 2659
INVAR-10, Run: 049, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 169, 3249, 69, 6, 2, 69, 200, 300, 169, 3849
INVAR-10, Run: 050, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 57, 2675, 69, 6, 0, 69, 200, 300, 126, 2675
INVAR-10, Run: 051, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 105, 2554, 69, 5, 1, 69, 200, 300, 174, 2554
INVAR-10, Run: 052, F, 1, 0, 0, 130, 0, 0, 70, 0, 0, 600, 0, 60, 140, 126, 3009, 70, 7, 2, 70, 200, 300, 196, 3009
INVAR-10, Run: 053, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 120, 2172, 69, 8, 0, 69, 200, 300, 120, 2772
INVAR-10, Run: 054, F, 1, 0, 0, 132, 0, 0, 68, 0, 0, 600, 0, 64, 136, 85, 3381, 68, 3, 0, 68, 200, 300, 153, 3381
INVAR-10, Run: 055, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 128, 3194, 68, 5, 0, 68, 200, 300, 128, 3794
INVAR-10, Run: 056, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 160, 3385, 68, 4, 1, 68, 200, 300, 160, 3985
INVAR-10, Run: 057, F, 1, 0, 0, 131, 0, 0, 69, 0, 0, 600, 0, 62, 138, 60, 1814, 69, 6, 0, 69, 200, 300, 129, 1814
INVAR-10, Run: 058, F, 0, 0, 0, 661, 1, 1, 0, 69, 600, 0, 0, 61, 139, 109, 2434, 69, 8, 0, 69, 200, 300, 109, 3034
INVAR-10, Run: 059, F, 0, 0, 0, 663, 1, 1, 0, 68, 600, 0, 0, 63, 137, 105, 2306, 68, 4, 1, 68, 200, 300, 105, 2906
