Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E
5, Run: 076, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 077, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 078, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 079, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 080, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 081, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 082, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 083, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 084, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 085, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 086, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
5, Run: 087, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 170, 0, 32
5, Run: 088, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 089, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 090, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 091, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 092, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 176, 0, 35
5, Run: 093, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 094, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 166, 0, 30
5, Run: 095, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 178, 0, 36
5, Run: 096, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 097, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 098, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 172, 0, 33
5, Run: 099, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 174, 0, 34
5, Run: 100, F, 0, 159, 0, 0, 0, 0, 0, 1, 0, 168, 0, 31
6, Run: 001, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 002, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 003, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 004, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 005, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 006, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 007, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 008, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 572, 0, 111
6, Run: 009, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 010, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 011, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 012, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 013, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 014, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 015, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 016, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 017, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 018, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 019, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 564, 0, 107
6, Run: 020, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 021, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 022, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 562, 0, 106
6, Run: 023, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 024, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 548, 0, 99
6, Run: 025, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 566, 0, 108
6, Run: 026, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 027, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 028, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 564, 0, 107
6, Run: 029, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 030, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 548, 0, 99
6, Run: 031, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 032, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 033, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 572, 0, 111
6, Run: 034, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 548, 0, 99
6, Run: 035, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 036, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 037, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 038, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 039, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 040, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 558, 0, 104
6, Run: 041, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 042, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 043, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 044, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 045, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 046, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 047, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 048, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 049, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 562, 0, 106
6, Run: 050, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 051, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 052, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 053, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 054, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 055, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 056, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 057, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 556, 0, 103
6, Run: 058, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 059, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 060, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 548, 0, 99
6, Run: 061, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 062, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 562, 0, 106
6, Run: 063, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 560, 0, 105
6, Run: 064, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 554, 0, 102
6, Run: 065, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 550, 0, 100
6, Run: 066, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 548, 0, 99
6, Run: 067, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 552, 0, 101
6, Run: 068, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 548, 0, 99
6, Run: 069, F, 0, 525, 0, 0, 0, 0, 0, 1, 0, 570, 0, 110
