Input Number, Run_Number, Result@ 100, Y, X2
INVAR-12, Run: 005, P, 0, 28
INVAR-12, Run: 006, P, 1, 23
INVAR-12, Run: 007, P, 0, 43
INVAR-12, Run: 008, P, 0, 12
INVAR-12, Run: 009, P, 0, 41
INVAR-12, Run: 010, P, 0, 16
INVAR-12, Run: 011, P, 0, 9
INVAR-12, Run: 012, P, 0, 38
INVAR-12, Run: 013, P, 0, 23
INVAR-12, Run: 014, P, 0, 45
INVAR-12, Run: 015, P, 0, 25
INVAR-12, Run: 016, P, 0, 28
INVAR-12, Run: 017, P, 0, 33
INVAR-12, Run: 018, P, 1, 33
INVAR-12, Run: 019, P, 0, 31
INVAR-12, Run: 020, P, 0, 35
INVAR-12, Run: 021, P, 0, 35
INVAR-12, Run: 022, P, 0, 27
INVAR-12, Run: 023, P, 0, 45
INVAR-12, Run: 024, P, 0, 33
INVAR-12, Run: 025, P, 0, 35
INVAR-12, Run: 026, P, 0, 45
INVAR-12, Run: 027, P, 0, 36
INVAR-12, Run: 028, P, 0, 47
INVAR-12, Run: 029, P, 0, 39
INVAR-12, Run: 030, P, 0, 47
INVAR-12, Run: 031, P, 0, 41
INVAR-12, Run: 032, P, 0, 28
INVAR-12, Run: 033, P, 0, 32
INVAR-12, Run: 034, P, 0, 43
INVAR-12, Run: 035, P, 1, 43
INVAR-12, Run: 036, P, 0, 18
INVAR-12, Run: 037, P, 0, 36
