Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-12, Run: 048, F, 1, 0, 1, 102, 42, 99, 4, 52, 92
INVAR-12, Run: 049, F, 1, 0, 0, 114, 43, 104, 1, 52, 96
INVAR-12, Run: 050, F, 2, 0, 0, 106, 42, 100, 4, 19, 127
INVAR-12, Run: 051, F, 2, 0, 1, 100, 42, 98, 4, 34, 109
INVAR-12, Run: 052, F, 2, 0, 0, 85, 43, 94, 1, 45, 93
INVAR-12, Run: 053, F, 0, 0, 1, 104, 42, 100, 4, 40, 105
INVAR-12, Run: 054, F, 1, 0, 0, 102, 41, 98, 7, 72, 74
INVAR-12, Run: 055, F, 2, 0, 1, 100, 42, 98, 4, 103, 40
INVAR-12, Run: 056, F, 2, 0, 0, 106, 43, 101, 1, 15, 130
INVAR-12, Run: 057, F, 2, 0, 0, 94, 42, 96, 4, 80, 62
INVAR-12, Run: 058, F, 1, 0, 0, 114, 42, 103, 4, 46, 103
INVAR-12, Run: 059, F, 0, 0, 2, 86, 43, 95, 1, 46, 91
INVAR-12, Run: 060, F, 1, 0, 1, 105, 43, 101, 1, 35, 109
INVAR-12, Run: 061, F, 1, 0, 1, 84, 43, 94, 1, 5, 132
INVAR-12, Run: 062, F, 2, 0, 0, 97, 43, 98, 1, 51, 91
INVAR-12, Run: 063, F, 2, 0, 0, 97, 42, 97, 4, 30, 113
INVAR-12, Run: 064, F, 0, 0, 1, 92, 42, 96, 4, 83, 58
INVAR-12, Run: 065, F, 1, 0, 1, 102, 43, 100, 1, 27, 116
INVAR-12, Run: 066, F, 2, 0, 0, 103, 42, 99, 4, 17, 128
INVAR-12, Run: 067, F, 3, 0, 0, 116, 43, 104, 1, 20, 128
INVAR-12, Run: 068, F, 0, 0, 1, 101, 43, 100, 1, 27, 116
INVAR-12, Run: 069, F, 2, 0, 0, 109, 42, 101, 4, 82, 65
INVAR-12, Run: 070, F, 0, 0, 2, 83, 42, 93, 4, 72, 65
INVAR-12, Run: 071, F, 3, 0, 0, 107, 42, 100, 4, 34, 112
INVAR-12, Run: 072, F, 0, 0, 1, 104, 41, 99, 7, 17, 129
INVAR-12, Run: 073, F, 0, 0, 1, 86, 42, 94, 4, 27, 112
INVAR-12, Run: 074, F, 2, 0, 0, 97, 42, 97, 4, 51, 92
INVAR-12, Run: 075, F, 1, 0, 1, 102, 42, 99, 4, 86, 58
INVAR-12, Run: 076, F, 1, 0, 0, 102, 43, 100, 1, 27, 117
INVAR-12, Run: 077, F, 2, 0, 0, 88, 42, 94, 4, 46, 94
INVAR-12, Run: 078, F, 0, 0, 3, 92, 43, 97, 1, 9, 129
INVAR-12, Run: 079, F, 0, 0, 1, 92, 43, 97, 1, 9, 131
INVAR-12, Run: 080, F, 2, 0, 0, 97, 43, 98, 1, 21, 121
INVAR-12, Run: 081, F, 2, 0, 0, 103, 43, 100, 1, 32, 112
INVAR-12, Run: 082, F, 0, 0, 1, 107, 42, 101, 4, 70, 76
INVAR-12, Run: 083, F, 1, 0, 0, 102, 42, 99, 4, 64, 81
INVAR-12, Run: 084, F, 1, 0, 1, 84, 41, 92, 7, 28, 111
INVAR-12, Run: 085, F, 2, 0, 1, 100, 42, 98, 4, 93, 50
INVAR-12, Run: 086, F, 0, 0, 1, 95, 42, 97, 4, 69, 73
