Input Number, Run_Number, Result@ 100, Y, X2
In06, Run: 007, E, 0, 94
In06, Run: 008, E, 0, 100
In06, Run: 009, E, 0, 100
In06, Run: 010, E, 0, 67
In06, Run: 011, E, 0, 102
In06, Run: 012, E, 0, 98
In06, Run: 013, E, 0, 99
In06, Run: 014, E, 0, 84
In06, Run: 015, E, 0, 94
In06, Run: 016, E, 0, 111
In06, Run: 017, E, 0, 109
In06, Run: 018, E, 0, 89
In06, Run: 019, E, 0, 90
In06, Run: 020, E, 0, 114
In06, Run: 021, E, 0, 89
In06, Run: 022, E, 0, 95
In06, Run: 023, E, 0, 79
In06, Run: 024, E, 0, 95
In06, Run: 025, E, 0, 92
In06, Run: 026, E, 0, 100
In06, Run: 027, E, 0, 93
In06, Run: 028, E, 0, 84
In06, Run: 029, E, 0, 111
In06, Run: 030, E, 0, 87
In06, Run: 031, E, 0, 105
In06, Run: 032, E, 0, 99
In06, Run: 033, E, 0, 76
In06, Run: 034, E, 0, 106
In06, Run: 035, E, 0, 105
In06, Run: 036, E, 0, 82
In06, Run: 037, E, 0, 94
In06, Run: 038, E, 0, 95
In06, Run: 039, E, 0, 91
In06, Run: 040, E, 0, 79
In06, Run: 041, E, 0, 82
In06, Run: 042, E, 0, 111
In06, Run: 043, E, 0, 104
In06, Run: 044, E, 0, 88
In06, Run: 045, E, 0, 95
In06, Run: 046, E, 0, 105
In06, Run: 047, E, 0, 77
In06, Run: 048, E, 0, 94
In06, Run: 049, E, 0, 94
In06, Run: 050, E, 0, 91
In06, Run: 051, E, 0, 82
In06, Run: 052, E, 0, 105
In06, Run: 053, E, 0, 94
In06, Run: 054, E, 0, 98
In06, Run: 055, E, 0, 102
In06, Run: 056, E, 0, 92
In06, Run: 057, E, 0, 90
In06, Run: 058, E, 0, 74
In06, Run: 059, E, 0, 117
In06, Run: 060, E, 0, 90
In06, Run: 061, E, 0, 84
In06, Run: 062, E, 0, 94
In06, Run: 063, E, 0, 89
In06, Run: 064, E, 0, 99
In06, Run: 065, E, 0, 100
In06, Run: 066, E, 0, 97
In06, Run: 067, E, 0, 85
In06, Run: 068, E, 0, 112
In06, Run: 069, E, 0, 92
In06, Run: 070, E, 0, 84
In06, Run: 071, E, 0, 87
In06, Run: 072, E, 0, 108
In06, Run: 073, E, 0, 84
In06, Run: 074, E, 0, 90
In06, Run: 075, E, 0, 86
In06, Run: 076, E, 0, 81
In06, Run: 077, E, 0, 85
In06, Run: 078, E, 0, 88
In06, Run: 079, E, 0, 94
In06, Run: 080, E, 0, 80
In06, Run: 081, E, 0, 100
In06, Run: 082, E, 0, 101
In06, Run: 083, E, 0, 97
In06, Run: 084, E, 0, 89
In06, Run: 085, E, 0, 99
In06, Run: 086, E, 0, 93
In06, Run: 087, E, 0, 112
In06, Run: 088, E, 0, 93
In06, Run: 089, E, 0, 103
In06, Run: 090, E, 0, 85
In06, Run: 091, E, 0, 96
In06, Run: 092, E, 0, 84
In06, Run: 093, E, 0, 94
In06, Run: 094, E, 0, 98
In06, Run: 095, E, 0, 77
In06, Run: 096, E, 0, 103
In06, Run: 097, E, 0, 97
In06, Run: 098, E, 0, 107
In06, Run: 099, E, 0, 84
In06, Run: 100, E, 0, 97
In07, Run: 001, E, 79, 0
In07, Run: 002, E, 92, 0
In07, Run: 003, E, 90, 0
In07, Run: 004, E, 84, 0
In07, Run: 005, E, 88, 0
In07, Run: 006, E, 93, 0
In07, Run: 007, E, 92, 0
In07, Run: 008, E, 80, 0
In07, Run: 009, E, 85, 0
In07, Run: 010, E, 82, 0
In07, Run: 011, E, 72, 0
In07, Run: 012, E, 70, 0
In07, Run: 013, E, 90, 0
In07, Run: 014, E, 94, 0
In07, Run: 015, E, 92, 0
In07, Run: 016, E, 66, 0
In07, Run: 017, E, 72, 0
In07, Run: 018, E, 78, 0
In07, Run: 019, E, 77, 0
In07, Run: 020, E, 92, 0
In07, Run: 021, E, 80, 0
In07, Run: 022, E, 85, 0
In07, Run: 023, E, 93, 0
In07, Run: 024, E, 76, 0
In07, Run: 025, E, 88, 0
In07, Run: 026, E, 93, 0
In07, Run: 027, E, 101, 0
In07, Run: 028, E, 101, 0
In07, Run: 029, E, 95, 0
In07, Run: 030, E, 112, 0
In07, Run: 031, E, 78, 0
In07, Run: 032, E, 100, 0
In07, Run: 033, E, 89, 0
In07, Run: 034, E, 74, 0
In07, Run: 035, E, 78, 0
In07, Run: 036, E, 106, 0
In07, Run: 037, E, 75, 0
In07, Run: 038, E, 92, 0
In07, Run: 039, E, 72, 0
In07, Run: 040, E, 95, 0
In07, Run: 041, E, 99, 0
In07, Run: 042, E, 93, 0
In07, Run: 043, E, 87, 0
In07, Run: 044, E, 91, 0
In07, Run: 045, E, 88, 0
In07, Run: 046, E, 87, 0
In07, Run: 047, E, 78, 0
In07, Run: 048, E, 84, 0
In07, Run: 049, E, 81, 0
In07, Run: 050, E, 110, 0
In07, Run: 051, E, 95, 0
In07, Run: 052, E, 82, 0
In07, Run: 053, E, 109, 0
In07, Run: 054, E, 84, 0
In07, Run: 055, E, 81, 0
In07, Run: 056, E, 97, 0
In07, Run: 057, E, 82, 0
In07, Run: 058, E, 81, 0
In07, Run: 059, E, 98, 0
In07, Run: 060, E, 90, 0
In07, Run: 061, E, 98, 0
In07, Run: 062, E, 90, 0
In07, Run: 063, E, 58, 0
In07, Run: 064, E, 106, 0
In07, Run: 065, E, 84, 0
In07, Run: 066, E, 93, 0
In07, Run: 067, E, 84, 0
In07, Run: 068, E, 76, 0
In07, Run: 069, E, 86, 0
In07, Run: 070, E, 97, 0
In07, Run: 071, E, 93, 0
In07, Run: 072, E, 88, 0
In07, Run: 073, E, 82, 0
In07, Run: 074, E, 100, 0
In07, Run: 075, E, 96, 0
In07, Run: 076, E, 83, 0
In07, Run: 077, E, 97, 0
In07, Run: 078, E, 71, 0
In07, Run: 079, E, 93, 0
In07, Run: 080, E, 87, 0
In07, Run: 081, E, 91, 0
In07, Run: 082, E, 89, 0
In07, Run: 083, E, 83, 0
In07, Run: 084, E, 78, 0
In07, Run: 085, E, 89, 0
In07, Run: 086, E, 95, 0
In07, Run: 087, E, 105, 0
In07, Run: 088, E, 77, 0
In07, Run: 089, E, 95, 0
In07, Run: 090, E, 58, 0
In07, Run: 091, E, 86, 0
In07, Run: 092, E, 80, 0
In07, Run: 093, E, 84, 0
In07, Run: 094, E, 93, 0
In07, Run: 095, E, 78, 0
In07, Run: 096, E, 72, 0
In07, Run: 097, E, 82, 0
In07, Run: 098, E, 94, 0
In07, Run: 099, E, 75, 0
In07, Run: 100, E, 109, 0
In08, Run: 001, E, 17, 0
In08, Run: 002, E, 0, 4
In08, Run: 003, E, 0, 0
In08, Run: 004, E, 1, 2
In08, Run: 005, E, 3, 0
In08, Run: 006, E, 3, 0
In08, Run: 007, E, 9, 0
In08, Run: 008, E, 25, 0
In08, Run: 009, E, 12, 0
In08, Run: 010, E, 0, 10
In08, Run: 011, E, 35, 0
In08, Run: 012, E, 0, 3
In08, Run: 013, E, 7, 0
In08, Run: 014, E, 11, 0
In08, Run: 015, E, 15, 0
In08, Run: 016, E, 8, 0
In08, Run: 017, E, 4, 0
In08, Run: 018, E, 4, 0
In08, Run: 019, E, 23, 0
In08, Run: 020, E, 19, 0
In08, Run: 021, E, 18, 0
In08, Run: 022, E, 9, 0
In08, Run: 023, E, 11, 0
In08, Run: 024, E, 8, 0
In08, Run: 025, E, 14, 0
In08, Run: 026, E, 8, 0
In08, Run: 027, E, 10, 0
In08, Run: 028, E, 20, 0
In08, Run: 029, E, 13, 0
In08, Run: 030, E, 0, 3
In08, Run: 031, E, 2, 0
In08, Run: 032, E, 18, 0
In08, Run: 033, E, 5, 0
In08, Run: 034, E, 0, 7
In08, Run: 035, E, 2, 0
In08, Run: 036, E, 15, 0
In08, Run: 037, E, 22, 0
In08, Run: 038, E, 11, 0
In08, Run: 039, E, 17, 0
In08, Run: 040, E, 8, 0
In08, Run: 041, E, 2, 1
In08, Run: 042, E, 3, 0
In08, Run: 043, E, 0, 1
In08, Run: 044, E, 0, 3
In08, Run: 045, E, 11, 0
In08, Run: 046, E, 22, 0
In08, Run: 047, E, 23, 0
In08, Run: 048, E, 4, 0
In08, Run: 049, E, 0, 0
In08, Run: 050, E, 10, 0
In08, Run: 051, E, 1, 0
In08, Run: 052, E, 22, 0
In08, Run: 053, E, 21, 0
In08, Run: 054, E, 1, 1
In08, Run: 055, E, 5, 0
In08, Run: 056, E, 13, 0
In08, Run: 057, E, 36, 0
In08, Run: 058, E, 25, 0
In08, Run: 059, E, 14, 0
In08, Run: 060, E, 32, 0
In08, Run: 061, E, 8, 0
In08, Run: 062, E, 0, 6
In08, Run: 063, E, 8, 0
In08, Run: 064, E, 26, 0
In08, Run: 065, E, 0, 5
In08, Run: 066, E, 1, 0
In08, Run: 067, E, 28, 0
In08, Run: 068, E, 2, 0
In08, Run: 069, E, 2, 0
In08, Run: 070, E, 16, 0
In08, Run: 071, E, 2, 0
In08, Run: 072, E, 2, 0
In08, Run: 073, E, 7, 0
In08, Run: 074, E, 16, 0
In08, Run: 075, E, 13, 0
In08, Run: 076, E, 1, 0
In08, Run: 077, E, 19, 0
In08, Run: 078, E, 11, 0
In08, Run: 079, E, 19, 0
In08, Run: 080, E, 17, 0
In08, Run: 081, E, 7, 0
In08, Run: 082, E, 9, 0
In08, Run: 083, E, 0, 7
In08, Run: 084, E, 2, 0
In08, Run: 085, E, 9, 0
In08, Run: 086, E, 13, 0
In08, Run: 087, E, 1, 5
In08, Run: 088, E, 9, 0
In08, Run: 089, E, 8, 0
In08, Run: 090, E, 17, 0
In08, Run: 091, E, 2, 0
In08, Run: 092, E, 15, 0
In08, Run: 093, E, 20, 0
In08, Run: 094, E, 12, 0
In08, Run: 095, E, 39, 0
In08, Run: 096, E, 2, 0
In08, Run: 097, E, 18, 0
In08, Run: 098, E, 5, 0
In08, Run: 099, E, 8, 0
In08, Run: 100, E, 21, 0
In09, Run: 001, E, 0, 107
In09, Run: 002, E, 0, 93
In09, Run: 003, E, 0, 107
In09, Run: 004, E, 0, 106
In09, Run: 005, E, 0, 117
In09, Run: 006, E, 0, 82
In09, Run: 007, E, 0, 106
In09, Run: 008, E, 0, 100
In09, Run: 009, E, 0, 90
In09, Run: 010, E, 0, 95
In09, Run: 011, E, 0, 87
