Input Number, Run_Number, Result@ 100, H, X1, M, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 074, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 9, 57, 9, 7, 1, 7, 18, 27, 16, 57
INVAR-1, Run: 075, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 21, 196, 9, 6, 2, 6, 18, 27, 27, 196
INVAR-1, Run: 076, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 87, 9, 5, 3, 7, 18, 27, 15, 87
INVAR-1, Run: 077, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 14, 128, 9, 8, 0, 6, 18, 27, 20, 128
INVAR-1, Run: 078, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 11, 109, 9, 4, 4, 8, 18, 27, 19, 109
INVAR-1, Run: 079, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 57, 9, 5, 3, 7, 18, 27, 15, 57
INVAR-1, Run: 080, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 13, 114, 9, 6, 2, 6, 18, 27, 19, 114
INVAR-1, Run: 081, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 14, 65, 9, 5, 3, 7, 18, 27, 21, 65
INVAR-1, Run: 082, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 12, 102, 9, 2, 6, 6, 18, 27, 18, 102
INVAR-1, Run: 083, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 22, 152, 9, 8, 0, 7, 18, 27, 29, 152
INVAR-1, Run: 084, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 9, 64, 9, 5, 3, 6, 18, 27, 15, 64
INVAR-1, Run: 085, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 6, 79, 9, 8, 0, 6, 18, 27, 12, 79
INVAR-1, Run: 086, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 5, 82, 9, 7, 1, 5, 18, 27, 10, 82
INVAR-1, Run: 087, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 5, 112, 9, 5, 3, 7, 18, 27, 12, 112
INVAR-1, Run: 088, P, 0, 0, 0, 0, 4, 4, 0, 0, 1, 54, 0, 10, 18, 8, 142, 9, 6, 2, 4, 18, 27, 12, 142
INVAR-1, Run: 089, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 11, 144, 9, 4, 4, 7, 18, 27, 18, 144
INVAR-1, Run: 090, P, 0, 0, 0, 0, 8, 8, 0, 0, 1, 54, 0, 2, 18, 14, 160, 9, 7, 1, 8, 18, 27, 22, 160
INVAR-1, Run: 091, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 5, 94, 9, 5, 3, 7, 18, 27, 12, 94
INVAR-1, Run: 092, P, 0, 0, 0, 0, 7, 7, 0, 0, 1, 54, 0, 4, 18, 8, 92, 9, 7, 1, 7, 18, 27, 15, 92
INVAR-1, Run: 093, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 7, 96, 9, 6, 2, 6, 18, 27, 13, 96
INVAR-1, Run: 094, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 12, 91, 9, 6, 2, 5, 18, 27, 17, 91
INVAR-1, Run: 095, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 11, 90, 9, 5, 3, 6, 18, 27, 17, 90
INVAR-1, Run: 096, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 16, 115, 9, 7, 1, 6, 18, 27, 22, 115
INVAR-1, Run: 097, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 14, 83, 9, 6, 2, 5, 18, 27, 19, 83
INVAR-1, Run: 098, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 15, 138, 9, 8, 0, 6, 18, 27, 21, 138
INVAR-1, Run: 099, P, 0, 0, 0, 0, 5, 5, 0, 0, 1, 54, 0, 8, 18, 11, 134, 9, 5, 3, 5, 18, 27, 16, 134
INVAR-1, Run: 100, P, 0, 0, 0, 0, 6, 6, 0, 0, 1, 54, 0, 6, 18, 18, 182, 9, 6, 2, 6, 18, 27, 24, 182
INVAR-10, Run: 001, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 762, 4498, 100, 59, 40, 93, 200, 300, 855, 4498
INVAR-10, Run: 002, P, 0, 0, 0, 0, 86, 86, 0, 0, 1, 600, 0, 28, 200, 718, 5726, 100, 58, 41, 86, 200, 300, 804, 5726
INVAR-10, Run: 003, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 764, 5451, 100, 69, 30, 89, 200, 300, 853, 5451
INVAR-10, Run: 004, P, 0, 0, 0, 0, 88, 88, 0, 0, 1, 600, 0, 24, 200, 587, 4496, 100, 62, 37, 88, 200, 300, 675, 4496
INVAR-10, Run: 005, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 613, 4714, 100, 71, 28, 91, 200, 300, 704, 4714
INVAR-10, Run: 006, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 983, 6085, 100, 62, 37, 92, 200, 300, 1075, 6085
INVAR-10, Run: 007, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 755, 4598, 100, 66, 33, 90, 200, 300, 845, 4598
INVAR-10, Run: 008, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 795, 3078, 100, 62, 37, 92, 200, 300, 887, 3078
INVAR-10, Run: 009, P, 0, 0, 0, 0, 87, 87, 0, 0, 1, 600, 0, 26, 200, 848, 5873, 100, 52, 47, 87, 200, 300, 935, 5873
INVAR-10, Run: 010, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 646, 4848, 100, 57, 42, 90, 200, 300, 736, 4848
INVAR-10, Run: 011, P, 0, 0, 0, 0, 87, 87, 0, 0, 1, 600, 0, 26, 200, 728, 5092, 100, 67, 32, 87, 200, 300, 815, 5092
INVAR-10, Run: 012, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 688, 3862, 100, 66, 33, 91, 200, 300, 779, 3862
INVAR-10, Run: 013, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 891, 5401, 100, 67, 32, 89, 200, 300, 980, 5401
INVAR-10, Run: 014, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 768, 5655, 100, 63, 36, 93, 200, 300, 861, 5655
INVAR-10, Run: 015, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 846, 4538, 100, 55, 44, 93, 200, 300, 939, 4538
INVAR-10, Run: 016, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 681, 3977, 100, 58, 41, 90, 200, 300, 771, 3977
INVAR-10, Run: 017, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 879, 4693, 100, 65, 34, 90, 200, 300, 969, 4693
INVAR-10, Run: 018, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 872, 4998, 100, 49, 50, 92, 200, 300, 964, 4998
INVAR-10, Run: 019, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 947, 5911, 100, 66, 33, 91, 200, 300, 1038, 5911
INVAR-10, Run: 020, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 787, 4301, 100, 64, 35, 90, 200, 300, 877, 4301
INVAR-10, Run: 021, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 726, 4139, 100, 62, 37, 93, 200, 300, 819, 4139
INVAR-10, Run: 022, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 681, 4488, 100, 59, 40, 91, 200, 300, 772, 4488
INVAR-10, Run: 023, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 733, 5344, 100, 61, 38, 91, 200, 300, 824, 5344
INVAR-10, Run: 024, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 761, 3786, 100, 60, 39, 91, 200, 300, 852, 3786
INVAR-10, Run: 025, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 762, 4202, 100, 59, 40, 89, 200, 300, 851, 4202
INVAR-10, Run: 026, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 821, 5517, 100, 48, 51, 89, 200, 300, 910, 5517
INVAR-10, Run: 027, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 834, 4551, 100, 65, 34, 93, 200, 300, 927, 4551
INVAR-10, Run: 028, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 667, 5236, 100, 63, 36, 91, 200, 300, 758, 5236
