Input Number, Run_Number, Result@ 100, V, Y, X, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-18, Run: 074, F, 0, 0, 2, 11, 54, 51, 1, 100, 6
INVAR-18, Run: 075, F, 47, 0, 0, 12, 55, 51, 0, 48, 11
INVAR-18, Run: 076, F, 33, 0, 0, 9, 55, 52, 0, 59, 15
INVAR-18, Run: 077, F, 0, 0, 1, 10, 54, 51, 2, 95, 12
INVAR-18, Run: 078, F, 0, 0, 1, 4, 54, 53, 2, 95, 14
INVAR-18, Run: 079, F, 0, 0, 1, 7, 54, 52, 2, 102, 6
INVAR-18, Run: 080, F, 0, 0, 2, 8, 54, 52, 1, 106, 1
INVAR-18, Run: 081, F, 0, 0, 2, 8, 53, 51, 4, 96, 12
INVAR-18, Run: 082, F, 0, 0, 2, 11, 54, 51, 1, 95, 11
INVAR-18, Run: 083, F, 66, 0, 0, 6, 55, 53, 0, 35, 7
INVAR-18, Run: 084, F, 0, 0, 1, 7, 54, 52, 2, 103, 5
INVAR-18, Run: 085, F, 0, 0, 2, 11, 54, 51, 1, 92, 14
INVAR-18, Run: 086, F, 0, 0, 1, 13, 54, 50, 2, 98, 8
INVAR-18, Run: 087, F, 85, 0, 0, 9, 54, 51, 3, 8, 15
INVAR-18, Run: 088, F, 0, 0, 2, 8, 54, 52, 1, 97, 10
INVAR-18, Run: 089, F, 48, 0, 0, 12, 55, 51, 0, 46, 12
INVAR-18, Run: 090, F, 0, 0, 2, 8, 54, 52, 1, 101, 6
INVAR-18, Run: 091, F, 59, 0, 0, 9, 55, 52, 0, 40, 8
INVAR-18, Run: 092, F, 0, 0, 2, 11, 54, 51, 1, 96, 10
INVAR-18, Run: 093, F, 54, 0, 0, 9, 55, 52, 0, 42, 11
INVAR-18, Run: 094, F, 94, 0, 0, 6, 54, 52, 3, 10, 5
INVAR-18, Run: 095, F, 0, 0, 2, 8, 54, 52, 1, 98, 9
INVAR-18, Run: 096, F, 0, 0, 1, 10, 54, 51, 2, 97, 10
INVAR-18, Run: 097, F, 0, 0, 2, 2, 54, 54, 1, 100, 9
INVAR-18, Run: 098, F, 44, 0, 0, 9, 55, 52, 0, 49, 14
INVAR-18, Run: 099, F, 48, 0, 0, 9, 55, 52, 0, 56, 3
INVAR-18, Run: 100, F, 65, 0, 0, 9, 54, 51, 3, 35, 8
INVAR-19, Run: 001, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 002, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 003, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 004, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 005, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 006, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 007, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 008, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 009, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 010, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 011, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 012, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 013, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 014, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 015, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 016, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 017, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 018, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 019, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 020, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 021, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 022, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 023, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 024, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 025, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 026, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 027, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 028, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 029, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 030, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 031, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 032, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 033, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 034, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 035, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 036, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 037, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
INVAR-19, Run: 038, P, 0, 0, 2, 0, 11, 0, 0, 11, 0
