Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 088, F, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3, 5, 18, 93, 7, 5, 93, 9, 6, 2, 3, 11, 18, 90, 47
INVAR-1, Run: 089, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 130, 3, 3, 130, 9, 6, 2, 4, 11, 18, 92, 48
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 123, 2, 2, 123, 9, 7, 1, 3, 12, 18, 110, 58
INVAR-1, Run: 091, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 51, 3, 3, 51, 9, 8, 0, 2, 12, 18, 32, 19
INVAR-1, Run: 092, F, 0, 1, 0, 0, 0, 0, 52, 0, 2, 1, 2, 5, 3, 18, 41, 6, 4, 41, 9, 4, 4, 5, 10, 18, 36, 19
INVAR-1, Run: 093, F, 0, 1, 0, 0, 0, 0, 50, 0, 0, 1, 0, 4, 5, 18, 77, 4, 4, 77, 9, 5, 3, 4, 11, 18, 104, 54
INVAR-1, Run: 094, F, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 105, 6, 6, 105, 9, 6, 2, 6, 10, 18, 92, 47
INVAR-1, Run: 095, F, 0, 1, 0, 0, 0, 0, 54, 0, 2, 1, 2, 7, 1, 18, 40, 2, 0, 40, 9, 6, 2, 7, 9, 18, 42, 21
INVAR-1, Run: 096, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 134, 8, 8, 134, 9, 4, 4, 5, 11, 18, 230, 117
INVAR-1, Run: 097, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 70, 7, 7, 70, 9, 5, 3, 5, 11, 18, 28, 16
INVAR-1, Run: 098, F, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 78, 2, 2, 78, 9, 5, 3, 3, 12, 18, 176, 91
INVAR-1, Run: 099, F, 0, 1, 0, 0, 0, 0, 48, 0, 0, 1, 0, 2, 7, 18, 73, 6, 6, 73, 9, 4, 4, 2, 12, 18, 72, 39
INVAR-1, Run: 100, F, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 120, 7, 7, 120, 9, 2, 6, 5, 11, 18, 98, 51
INVAR-10, Run: 001, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49, 51, 200, 4800, 44, 44, 4800, 100, 56, 43, 49, 125, 200, 5054, 2552
INVAR-10, Run: 002, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 3377, 56, 56, 3377, 100, 58, 41, 51, 124, 200, 3380, 1714
INVAR-10, Run: 003, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 5652, 54, 54, 5652, 100, 62, 37, 51, 124, 200, 4156, 2102
INVAR-10, Run: 004, F, 0, 1, 0, 0, 0, 0, 556, 0, 0, 1, 0, 55, 45, 200, 2969, 50, 50, 2969, 100, 57, 42, 55, 122, 200, 4828, 2436
INVAR-10, Run: 005, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49, 51, 200, 4889, 47, 47, 4889, 100, 57, 42, 49, 125, 200, 5590, 2820
INVAR-10, Run: 006, F, 0, 1, 0, 0, 0, 0, 548, 0, 0, 1, 0, 47, 53, 200, 4403, 44, 44, 4403, 100, 68, 31, 47, 126, 200, 3980, 2016
INVAR-10, Run: 007, F, 0, 0, 0, 0, 0, 0, 552, 0, 0, 1, 0, 52, 48, 200, 4086, 48, 48, 4086, 100, 62, 37, 52, 124, 200, 4572, 2310
INVAR-10, Run: 008, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49, 51, 200, 4451, 51, 51, 4451, 100, 62, 37, 49, 125, 200, 5756, 2903
INVAR-10, Run: 009, F, 0, 0, 0, 0, 0, 0, 556, 0, 0, 1, 0, 56, 44, 200, 4020, 40, 40, 4020, 100, 73, 26, 56, 122, 200, 5232, 2638
INVAR-10, Run: 010, F, 0, 1, 0, 0, 0, 0, 552, 0, 0, 1, 0, 51, 49, 200, 3724, 48, 48, 3724, 100, 60, 39, 51, 124, 200, 3150, 1599
INVAR-10, Run: 011, F, 0, 0, 0, 0, 0, 0, 548, 0, 0, 1, 0, 48, 52, 200, 5432, 63, 63, 5432, 100, 56, 43, 48, 126, 200, 4970, 2511
INVAR-10, Run: 012, F, 0, 1, 0, 0, 0, 0, 542, 0, 0, 1, 0, 41, 59, 200, 5735, 43, 43, 5735, 100, 69, 30, 41, 129, 200, 6470, 3264
INVAR-10, Run: 013, F, 0, 1, 0, 0, 0, 0, 550, 0, 0, 1, 0, 49, 51, 200, 4749, 60, 60, 4749, 100, 60, 39, 49, 125, 200, 6470, 3260
