Input Number, Run_Number, Result@ 100, A1, F1, F1P, F2, F2P, Y
11, Run: 058, F, 88, 0, 5, 5, 0, 0
11, Run: 059, F, 88, 0, 5, 5, 0, 0
11, Run: 060, F, 89, 0, 5, 5, 0, 0
11, Run: 061, F, 88, 0, 5, 5, 0, 0
11, Run: 062, F, 88, 0, 5, 5, 0, 0
11, Run: 063, F, 88, 0, 5, 5, 0, 0
11, Run: 064, F, 88, 0, 5, 5, 0, 0
11, Run: 065, F, 88, 0, 5, 5, 0, 0
11, Run: 066, F, 89, 0, 5, 5, 0, 0
11, Run: 067, F, 88, 0, 5, 5, 0, 0
11, Run: 068, F, 88, 0, 5, 5, 0, 0
11, Run: 069, F, 89, 0, 5, 5, 0, 0
11, Run: 070, F, 88, 0, 5, 5, 0, 0
11, Run: 071, F, 88, 0, 5, 5, 0, 0
11, Run: 072, F, 88, 0, 5, 5, 0, 0
11, Run: 073, F, 88, 0, 5, 5, 0, 0
11, Run: 074, F, 88, 0, 5, 5, 0, 0
11, Run: 075, F, 88, 0, 5, 5, 0, 0
11, Run: 076, F, 88, 0, 5, 5, 0, 0
11, Run: 077, F, 88, 0, 5, 5, 0, 0
11, Run: 078, F, 88, 0, 5, 5, 0, 0
11, Run: 079, F, 88, 0, 5, 5, 0, 0
11, Run: 080, F, 88, 0, 5, 5, 0, 0
11, Run: 081, F, 88, 0, 5, 5, 0, 0
11, Run: 082, F, 89, 0, 5, 5, 0, 0
11, Run: 083, F, 88, 0, 5, 5, 0, 0
11, Run: 084, F, 88, 0, 5, 5, 0, 0
11, Run: 085, F, 88, 0, 5, 5, 0, 0
11, Run: 086, F, 88, 0, 5, 5, 0, 0
11, Run: 087, F, 89, 0, 5, 5, 0, 0
11, Run: 088, F, 88, 0, 5, 5, 0, 0
11, Run: 089, F, 88, 0, 5, 5, 0, 0
11, Run: 090, F, 88, 0, 5, 5, 0, 0
11, Run: 091, F, 88, 0, 5, 5, 0, 0
11, Run: 092, F, 89, 0, 5, 5, 0, 0
11, Run: 093, F, 88, 0, 5, 5, 0, 0
11, Run: 094, F, 88, 0, 5, 5, 0, 0
11, Run: 095, F, 88, 0, 5, 5, 0, 0
11, Run: 096, F, 88, 0, 5, 5, 0, 0
11, Run: 097, F, 88, 0, 5, 5, 0, 0
11, Run: 098, F, 88, 0, 5, 5, 0, 0
11, Run: 099, F, 88, 0, 5, 5, 0, 0
11, Run: 100, F, 88, 0, 5, 5, 0, 0
12, Run: 001, F, 168, 0, 5, 5, 0, 0
12, Run: 002, F, 168, 0, 5, 5, 0, 0
12, Run: 003, F, 168, 0, 5, 5, 0, 0
12, Run: 004, F, 168, 0, 5, 5, 0, 0
12, Run: 005, F, 168, 0, 5, 5, 0, 0
12, Run: 006, F, 168, 0, 5, 5, 0, 0
12, Run: 007, F, 168, 0, 5, 5, 0, 0
12, Run: 008, F, 168, 0, 5, 5, 0, 0
12, Run: 009, F, 169, 0, 5, 5, 0, 0
12, Run: 010, F, 168, 0, 5, 5, 0, 0
12, Run: 011, F, 168, 0, 5, 5, 0, 0
