Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3
2, Run: 007, P, 100, 0, 0, 0, 1, 85, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 7, 0, 4
2, Run: 008, P, 0, 0, 0, 100, 3, 65, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 24, 0, 8
2, Run: 009, P, 0, 0, 0, 100, 1, 97, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 1
2, Run: 010, P, 0, 0, 0, 100, 3, 62, 2, 0, 2, 13, 15, 6, 4, 4, 3, 1, 23, 5, 8
2, Run: 011, P, 0, 100, 0, 0, 7, 60, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 24, 0, 8
2, Run: 012, P, 0, 0, 0, 100, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 1
2, Run: 013, P, 0, 0, 0, 100, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 014, P, 0, 100, 0, 0, 0, 0, 0, 1, 100, 1, 0, 0, 1, 1, 1, 1, 0, 46, 0
2, Run: 015, P, 0, 100, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 016, P, 0, 100, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 017, P, 0, 100, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 018, P, 0, 0, 0, 100, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
2, Run: 019, P, 0, 0, 0, 100, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 020, P, 0, 100, 0, 0, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
2, Run: 021, P, 100, 0, 0, 0, 1, 91, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 2
2, Run: 022, P, 0, 0, 0, 100, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
2, Run: 023, P, 0, 100, 0, 0, 1, 77, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 11
2, Run: 024, P, 100, 0, 0, 0, 0, 95, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 0
2, Run: 025, P, 0, 0, 0, 100, 0, 91, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 2
2, Run: 026, P, 0, 0, 0, 100, 4, 62, 0, 0, 3, 16, 6, 10, 7, 3, 2, 1, 16, 6, 15
