Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E
7, Run: 078, P, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 079, P, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 080, P, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 081, P, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 082, P, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 083, P, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 084, P, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 085, P, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 086, P, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 087, P, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 088, P, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 089, P, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 090, P, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 091, P, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 092, P, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 093, P, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 094, P, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 095, P, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 096, P, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 097, P, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 098, P, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 099, P, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, Run: 100, P, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
