Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
2, Run: 069, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 448, 1
2, Run: 070, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 504, 0
2, Run: 071, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
2, Run: 072, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 474, 0
2, Run: 073, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 442, 1
2, Run: 074, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
2, Run: 075, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 492, 0
2, Run: 076, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
2, Run: 077, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 484, 1
2, Run: 078, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 478, 1
2, Run: 079, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
2, Run: 080, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
2, Run: 081, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
2, Run: 082, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 538, 1
2, Run: 083, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
2, Run: 084, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 474, 0
2, Run: 085, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 438, 0
2, Run: 086, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
2, Run: 087, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 492, 0
2, Run: 088, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 436, 1
2, Run: 089, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 480, 0
2, Run: 090, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
2, Run: 091, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 466, 1
2, Run: 092, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
2, Run: 093, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 438, 0
2, Run: 094, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 444, 0
2, Run: 095, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 502, 1
2, Run: 096, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 432, 0
2, Run: 097, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 484, 1
2, Run: 098, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 472, 1
2, Run: 099, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 472, 1
2, Run: 100, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 432, 0
3, Run: 001, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 786, 0
3, Run: 002, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 768, 0
3, Run: 003, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 834, 0
3, Run: 004, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 750, 0
3, Run: 005, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 810, 0
3, Run: 006, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 742, 1
3, Run: 007, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 762, 0
3, Run: 008, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 802, 1
3, Run: 009, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 796, 1
3, Run: 010, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 814, 1
3, Run: 011, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 766, 1
3, Run: 012, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 738, 0
3, Run: 013, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 778, 1
