Input Number, Run_Number, Result@ 1000, A, B, H, C, T2, R, L4, L1, L5, Y, T1, T3, T4, T5, T6, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 050, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 80, 33, 53, 5050, 3404, 2413, 1710, 1238, 1596, 551, 991, 703, 472, 317, 921, 921, 363, 266, 186, 153, 188, 97
INVAR-1, Run: 051, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 100, 70, 175, 3870, 2431, 1536, 982, 660, 1389, 831, 895, 554, 322, 232, 428, 428, 606, 445, 345, 275, 225, 161
INVAR-1, Run: 052, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 39, 41, 31, 3628, 2565, 1842, 1269, 910, 1013, 378, 723, 573, 359, 276, 634, 634, 281, 211, 172, 131, 97, 70
INVAR-1, Run: 053, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 91, 43, 123, 3684, 2416, 1575, 1078, 707, 1218, 751, 841, 497, 371, 218, 489, 489, 495, 357, 266, 223, 256, 138
INVAR-1, Run: 054, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 72, 49, 48, 5138, 3596, 2579, 1887, 1393, 1492, 554, 1017, 692, 494, 395, 998, 998, 376, 269, 197, 148, 178, 107
INVAR-1, Run: 055, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 53, 26, 43, 5639, 4068, 3035, 2219, 1646, 1521, 498, 1033, 816, 573, 421, 1225, 1225, 333, 222, 169, 143, 165, 111
INVAR-1, Run: 056, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 59, 55, 114, 3736, 2438, 1658, 1115, 760, 1248, 617, 780, 543, 355, 251, 509, 509, 460, 328, 269, 214, 157, 132
INVAR-1, Run: 057, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 37, 31, 47, 4688, 3514, 2728, 2068, 1601, 1124, 434, 786, 660, 467, 356, 1245, 1245, 303, 215, 178, 147, 131, 88
INVAR-1, Run: 058, P, 0, 0, 0, 10, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 8, 9, 0, 8, 50, 35, 17, 18, 4722, 3531, 2703, 2074, 1594, 1141, 298, 828, 629, 480, 372, 1222, 1222, 222, 170, 135, 118, 76, 52
INVAR-1, Run: 059, P, 10, 0, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 4536, 3468, 2749, 2166, 1696, 1018, 100, 719, 583, 470, 338, 1358, 1358, 100, 100, 100, 100, 0, 0
