Input Number, Run_Number, Result@ 100, CE, B, PE, X1, H, M, PO, Y, D, CO, A, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 007, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1037, 5521, 100, 64, 135, 100, 200, 350, 1137, 5521
INVAR-10, Run: 008, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 853, 6227, 100, 72, 127, 100, 200, 350, 953, 6227
INVAR-10, Run: 009, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 753, 4823, 100, 67, 132, 100, 200, 350, 853, 4823
INVAR-10, Run: 010, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1043, 5785, 100, 79, 120, 100, 200, 350, 1143, 5785
INVAR-10, Run: 011, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 848, 4269, 100, 56, 143, 100, 200, 350, 948, 4269
INVAR-10, Run: 012, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 976, 4874, 100, 72, 127, 100, 200, 350, 1076, 4874
INVAR-10, Run: 013, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 944, 6177, 100, 70, 129, 100, 200, 350, 1044, 6177
INVAR-10, Run: 014, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1162, 6342, 100, 65, 134, 100, 200, 350, 1262, 6342
INVAR-10, Run: 015, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 736, 4072, 100, 61, 138, 100, 200, 350, 836, 4072
INVAR-10, Run: 016, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1113, 5069, 100, 68, 131, 100, 200, 350, 1213, 5069
INVAR-10, Run: 017, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 879, 5636, 100, 70, 129, 100, 200, 350, 979, 5636
INVAR-10, Run: 018, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1391, 7587, 100, 68, 131, 100, 200, 350, 1491, 7587
INVAR-10, Run: 019, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 891, 4540, 100, 75, 124, 100, 200, 350, 991, 4540
INVAR-10, Run: 020, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1054, 5767, 100, 64, 135, 100, 200, 350, 1154, 5767
INVAR-10, Run: 021, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1357, 6643, 100, 59, 140, 100, 200, 350, 1457, 6643
INVAR-10, Run: 022, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1161, 5460, 100, 69, 130, 100, 200, 350, 1261, 5460
INVAR-10, Run: 023, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 695, 4190, 100, 65, 134, 100, 200, 350, 795, 4190
INVAR-10, Run: 024, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1146, 4915, 100, 72, 127, 100, 200, 350, 1246, 4915
INVAR-10, Run: 025, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1014, 4611, 100, 66, 133, 100, 200, 350, 1114, 4611
INVAR-10, Run: 026, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1193, 5715, 100, 67, 132, 100, 200, 350, 1293, 5715
INVAR-10, Run: 027, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1108, 6039, 100, 73, 126, 100, 200, 350, 1208, 6039
INVAR-10, Run: 028, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1010, 5219, 100, 74, 125, 100, 200, 350, 1110, 5219
INVAR-10, Run: 029, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 867, 5508, 100, 60, 139, 100, 200, 350, 967, 5508
INVAR-10, Run: 030, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 912, 5076, 100, 63, 136, 100, 200, 350, 1012, 5076
INVAR-10, Run: 031, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1118, 5394, 100, 73, 126, 100, 200, 350, 1218, 5394
INVAR-10, Run: 032, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 879, 4551, 100, 75, 124, 100, 200, 350, 979, 4551
INVAR-10, Run: 033, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1102, 5228, 100, 66, 133, 100, 200, 350, 1202, 5228
INVAR-10, Run: 034, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1027, 4902, 100, 67, 132, 100, 200, 350, 1127, 4902
INVAR-10, Run: 035, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 945, 6388, 100, 72, 127, 100, 200, 350, 1045, 6388
INVAR-10, Run: 036, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 815, 4717, 100, 75, 124, 100, 200, 350, 915, 4717
INVAR-10, Run: 037, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1255, 5826, 100, 62, 137, 100, 200, 350, 1355, 5826
INVAR-10, Run: 038, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1145, 5164, 100, 56, 143, 100, 200, 350, 1245, 5164
INVAR-10, Run: 039, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 964, 4957, 100, 63, 136, 100, 200, 350, 1064, 4957
INVAR-10, Run: 040, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 788, 5247, 100, 59, 140, 100, 200, 350, 888, 5247
INVAR-10, Run: 041, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1234, 5231, 100, 60, 139, 100, 200, 350, 1334, 5231
INVAR-10, Run: 042, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 854, 4419, 100, 70, 129, 100, 200, 350, 954, 4419
INVAR-10, Run: 043, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 832, 5068, 100, 71, 128, 100, 200, 350, 932, 5068
INVAR-10, Run: 044, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 792, 4606, 100, 70, 129, 100, 200, 350, 892, 4606
INVAR-10, Run: 045, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 862, 6540, 100, 74, 125, 100, 200, 350, 962, 6540
INVAR-10, Run: 046, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1213, 5471, 100, 59, 140, 100, 200, 350, 1313, 5471
INVAR-10, Run: 047, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1023, 5129, 100, 78, 121, 100, 200, 350, 1123, 5129
INVAR-10, Run: 048, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1086, 5521, 100, 76, 123, 100, 200, 350, 1186, 5521
INVAR-10, Run: 049, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 1093, 6021, 100, 72, 127, 100, 200, 350, 1193, 6021
INVAR-10, Run: 050, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 794, 4914, 100, 62, 137, 100, 200, 350, 894, 4914
INVAR-10, Run: 051, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 795, 5345, 100, 68, 131, 100, 200, 350, 895, 5345
INVAR-10, Run: 052, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 769, 4258, 100, 71, 128, 100, 200, 350, 869, 4258
INVAR-10, Run: 053, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 903, 5733, 100, 60, 139, 100, 200, 350, 1003, 5733
INVAR-10, Run: 054, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 980, 4603, 100, 65, 134, 100, 200, 350, 1080, 4603
INVAR-10, Run: 055, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 992, 3833, 100, 71, 128, 100, 200, 350, 1092, 3833
INVAR-10, Run: 056, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 687, 4272, 100, 66, 133, 100, 200, 350, 787, 4272
INVAR-10, Run: 057, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 891, 4084, 100, 73, 126, 100, 200, 350, 991, 4084
INVAR-10, Run: 058, P, 0, 0, 1, 0, 0, 0, 0, 100, 0, 0, 500, 100, 200, 903, 3927, 100, 57, 142, 100, 200, 350, 1003, 3927
