Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
INVAR-10, Run: 057, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 868, 1
INVAR-10, Run: 058, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 059, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 060, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 898, 1
INVAR-10, Run: 061, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 916, 1
INVAR-10, Run: 062, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
INVAR-10, Run: 063, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 900, 0
INVAR-10, Run: 064, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 846, 0
INVAR-10, Run: 065, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 916, 1
INVAR-10, Run: 066, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 906, 0
INVAR-10, Run: 067, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 894, 0
INVAR-10, Run: 068, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 900, 0
INVAR-10, Run: 069, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 936, 0
INVAR-10, Run: 070, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 876, 0
INVAR-10, Run: 071, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 852, 0
INVAR-10, Run: 072, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 073, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 958, 1
INVAR-10, Run: 074, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 876, 0
INVAR-10, Run: 075, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 918, 0
INVAR-10, Run: 076, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 922, 1
INVAR-10, Run: 077, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 868, 1
INVAR-10, Run: 078, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 924, 0
INVAR-10, Run: 079, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 850, 1
INVAR-10, Run: 080, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 838, 1
INVAR-10, Run: 081, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 904, 1
INVAR-10, Run: 082, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 876, 0
INVAR-10, Run: 083, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 852, 0
INVAR-10, Run: 084, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 850, 1
INVAR-10, Run: 085, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
INVAR-10, Run: 086, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 087, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 864, 0
INVAR-10, Run: 088, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 934, 1
INVAR-10, Run: 089, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 090, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 886, 1
INVAR-10, Run: 091, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 092, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 858, 0
INVAR-10, Run: 093, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 898, 1
INVAR-10, Run: 094, P, 3, 0, 0, 0, 100, 100, 0, 0, 1, 880, 1
INVAR-10, Run: 095, P, 1, 0, 0, 0, 100, 100, 0, 0, 1, 864, 0
INVAR-10, Run: 096, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 936, 0
INVAR-10, Run: 097, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 098, P, 4, 0, 0, 0, 100, 100, 0, 0, 1, 882, 0
INVAR-10, Run: 099, P, 0, 0, 0, 0, 100, 100, 0, 0, 1, 864, 0
INVAR-10, Run: 100, P, 2, 0, 0, 0, 100, 100, 0, 0, 1, 886, 1
INVAR-2, Run: 001, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 406, 1
INVAR-2, Run: 002, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 486, 0
INVAR-2, Run: 003, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 498, 0
INVAR-2, Run: 004, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 486, 0
INVAR-2, Run: 005, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 540, 0
INVAR-2, Run: 006, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 456, 0
INVAR-2, Run: 007, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 478, 1
INVAR-2, Run: 008, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 450, 0
INVAR-2, Run: 009, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 472, 1
INVAR-2, Run: 010, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 472, 1
INVAR-2, Run: 011, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 454, 1
INVAR-2, Run: 012, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 436, 1
INVAR-2, Run: 013, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 448, 1
INVAR-2, Run: 014, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 442, 1
INVAR-2, Run: 015, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 484, 1
INVAR-2, Run: 016, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 448, 1
INVAR-2, Run: 017, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 472, 1
INVAR-2, Run: 018, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 448, 1
INVAR-2, Run: 019, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 478, 1
INVAR-2, Run: 020, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 484, 1
INVAR-2, Run: 021, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 514, 1
INVAR-2, Run: 022, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 492, 0
INVAR-2, Run: 023, P, 3, 0, 0, 0, 28, 28, 0, 0, 1, 460, 1
INVAR-2, Run: 024, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 444, 0
INVAR-2, Run: 025, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 504, 0
INVAR-2, Run: 026, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 492, 0
INVAR-2, Run: 027, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 534, 0
INVAR-2, Run: 028, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 510, 0
INVAR-2, Run: 029, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 444, 0
INVAR-2, Run: 030, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 402, 0
INVAR-2, Run: 031, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 516, 0
INVAR-2, Run: 032, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 454, 1
INVAR-2, Run: 033, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 430, 1
INVAR-2, Run: 034, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 454, 1
INVAR-2, Run: 035, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 546, 0
INVAR-2, Run: 036, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 508, 1
INVAR-2, Run: 037, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 454, 1
INVAR-2, Run: 038, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 468, 0
INVAR-2, Run: 039, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 436, 1
INVAR-2, Run: 040, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 478, 1
INVAR-2, Run: 041, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 442, 1
INVAR-2, Run: 042, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 456, 0
INVAR-2, Run: 043, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 486, 0
INVAR-2, Run: 044, P, 1, 0, 0, 0, 28, 28, 0, 0, 1, 502, 1
INVAR-2, Run: 045, P, 2, 0, 0, 0, 28, 28, 0, 0, 1, 480, 0
INVAR-2, Run: 046, P, 0, 0, 0, 0, 28, 28, 0, 0, 1, 418, 1
