Input Number, Run_Number, Result@ 100, X1, X2, Y
INVAR-13, Run: 092, P, 13, 0, 5
INVAR-13, Run: 093, P, 14, 0, 3
INVAR-13, Run: 094, P, 15, 0, 1
INVAR-13, Run: 095, P, 13, 0, 5
INVAR-13, Run: 096, P, 14, 0, 3
INVAR-13, Run: 097, P, 13, 0, 5
INVAR-13, Run: 098, P, 14, 0, 3
INVAR-13, Run: 099, P, 13, 0, 5
INVAR-13, Run: 100, P, 14, 0, 3
INVAR-14, Run: 001, P, 35, 0, 30
INVAR-14, Run: 002, P, 34, 0, 32
INVAR-14, Run: 003, P, 31, 0, 38
INVAR-14, Run: 004, P, 31, 0, 38
INVAR-14, Run: 005, P, 32, 0, 36
INVAR-14, Run: 006, P, 34, 0, 32
INVAR-14, Run: 007, P, 34, 0, 32
INVAR-14, Run: 008, P, 35, 0, 30
INVAR-14, Run: 009, P, 31, 0, 38
INVAR-14, Run: 010, P, 31, 0, 38
INVAR-14, Run: 011, P, 32, 0, 36
INVAR-14, Run: 012, P, 36, 0, 28
INVAR-14, Run: 013, P, 34, 0, 32
INVAR-14, Run: 014, P, 29, 0, 42
INVAR-14, Run: 015, P, 33, 0, 34
INVAR-14, Run: 016, P, 30, 0, 40
INVAR-14, Run: 017, P, 30, 0, 40
INVAR-14, Run: 018, P, 31, 0, 38
INVAR-14, Run: 019, P, 35, 0, 30
INVAR-14, Run: 020, P, 31, 0, 38
INVAR-14, Run: 021, P, 35, 0, 30
INVAR-14, Run: 022, P, 34, 0, 32
INVAR-14, Run: 023, P, 31, 0, 38
INVAR-14, Run: 024, P, 35, 0, 30
INVAR-14, Run: 025, P, 38, 0, 24
INVAR-14, Run: 026, P, 30, 0, 40
INVAR-14, Run: 027, P, 35, 0, 30
INVAR-14, Run: 028, P, 31, 0, 38
INVAR-14, Run: 029, P, 29, 0, 42
INVAR-14, Run: 030, P, 33, 0, 34
INVAR-14, Run: 031, P, 32, 0, 36
INVAR-14, Run: 032, P, 33, 0, 34
INVAR-14, Run: 033, P, 31, 0, 38
INVAR-14, Run: 034, P, 38, 0, 24
INVAR-14, Run: 035, P, 33, 0, 34
INVAR-14, Run: 036, P, 34, 0, 32
INVAR-14, Run: 037, P, 36, 0, 28
INVAR-14, Run: 038, P, 31, 0, 38
INVAR-14, Run: 039, P, 34, 0, 32
INVAR-14, Run: 040, P, 32, 0, 36
INVAR-14, Run: 041, P, 30, 0, 40
INVAR-14, Run: 042, P, 34, 0, 32
INVAR-14, Run: 043, P, 32, 0, 36
INVAR-14, Run: 044, P, 32, 0, 36
INVAR-14, Run: 045, P, 34, 0, 32
INVAR-14, Run: 046, P, 31, 0, 38
INVAR-14, Run: 047, P, 31, 0, 38
INVAR-14, Run: 048, P, 34, 0, 32
INVAR-14, Run: 049, P, 38, 0, 24
INVAR-14, Run: 050, P, 33, 0, 34
INVAR-14, Run: 051, P, 31, 0, 38
INVAR-14, Run: 052, P, 38, 0, 24
INVAR-14, Run: 053, P, 27, 0, 46
INVAR-14, Run: 054, P, 34, 0, 32
INVAR-14, Run: 055, P, 34, 0, 32
INVAR-14, Run: 056, P, 31, 0, 38
INVAR-14, Run: 057, P, 30, 0, 40
INVAR-14, Run: 058, P, 30, 0, 40
INVAR-14, Run: 059, P, 34, 0, 32
INVAR-14, Run: 060, P, 32, 0, 36
INVAR-14, Run: 061, P, 36, 0, 28
INVAR-14, Run: 062, P, 35, 0, 30
INVAR-14, Run: 063, P, 33, 0, 34
INVAR-14, Run: 064, P, 33, 0, 34
INVAR-14, Run: 065, P, 33, 0, 34
INVAR-14, Run: 066, P, 32, 0, 36
INVAR-14, Run: 067, P, 33, 0, 34
INVAR-14, Run: 068, P, 31, 0, 38
INVAR-14, Run: 069, P, 35, 0, 30
INVAR-14, Run: 070, P, 36, 0, 28
INVAR-14, Run: 071, P, 34, 0, 32
INVAR-14, Run: 072, P, 30, 0, 40
INVAR-14, Run: 073, P, 34, 0, 32
INVAR-14, Run: 074, P, 28, 0, 44
INVAR-14, Run: 075, P, 35, 0, 30
INVAR-14, Run: 076, P, 29, 0, 42
INVAR-14, Run: 077, P, 28, 0, 44
INVAR-14, Run: 078, P, 31, 0, 38
