Input Number, Run_Number, Result@ 100, X1, H, M, PE, PO, CE, Y, D, CO, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-5, Run: 049, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 152, 555, 26, 45, 34, 26, 53, 79, 152, 715
INVAR-5, Run: 050, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 158, 701, 26, 41, 38, 26, 53, 79, 158, 861
INVAR-5, Run: 051, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 244, 1063, 26, 30, 49, 26, 53, 79, 244, 1223
INVAR-5, Run: 052, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 200, 697, 26, 36, 43, 26, 53, 79, 200, 857
INVAR-5, Run: 053, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 149, 736, 26, 39, 40, 26, 53, 79, 149, 896
INVAR-5, Run: 054, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 260, 932, 26, 32, 47, 26, 53, 79, 260, 1092
INVAR-5, Run: 055, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 200, 621, 26, 32, 47, 26, 53, 79, 200, 781
INVAR-5, Run: 056, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 196, 508, 26, 35, 44, 26, 53, 79, 196, 668
INVAR-5, Run: 057, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 244, 858, 26, 37, 42, 26, 53, 79, 244, 1018
INVAR-5, Run: 058, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 180, 484, 26, 39, 40, 26, 53, 79, 180, 644
INVAR-5, Run: 059, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 197, 672, 26, 39, 40, 26, 53, 79, 197, 832
INVAR-5, Run: 060, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 161, 717, 26, 43, 36, 26, 53, 79, 161, 877
INVAR-5, Run: 061, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 129, 530, 26, 41, 38, 26, 53, 79, 129, 690
INVAR-5, Run: 062, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 182, 695, 26, 49, 30, 26, 53, 79, 182, 855
INVAR-5, Run: 063, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 309, 1126, 26, 36, 43, 26, 53, 79, 309, 1286
INVAR-5, Run: 064, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 154, 656, 26, 44, 35, 26, 53, 79, 154, 816
INVAR-5, Run: 065, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 192, 768, 26, 33, 46, 26, 53, 79, 192, 928
INVAR-5, Run: 066, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 194, 664, 26, 39, 40, 26, 53, 79, 194, 824
INVAR-5, Run: 067, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 216, 918, 26, 32, 47, 26, 53, 79, 216, 1078
INVAR-5, Run: 068, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 215, 811, 26, 40, 39, 26, 53, 79, 215, 971
INVAR-5, Run: 069, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 192, 739, 26, 36, 43, 26, 53, 79, 192, 899
INVAR-5, Run: 070, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 201, 753, 26, 37, 42, 26, 53, 79, 201, 913
INVAR-5, Run: 071, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 230, 647, 26, 38, 41, 26, 53, 79, 230, 807
INVAR-5, Run: 072, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 128, 436, 26, 40, 39, 26, 53, 79, 128, 596
INVAR-5, Run: 073, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 179, 489, 26, 34, 45, 26, 53, 79, 179, 649
INVAR-5, Run: 074, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 176, 674, 26, 45, 34, 26, 53, 79, 176, 834
INVAR-5, Run: 075, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 206, 959, 26, 36, 43, 26, 53, 79, 206, 1119
INVAR-5, Run: 076, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 162, 420, 26, 33, 46, 26, 53, 79, 162, 580
INVAR-5, Run: 077, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 167, 724, 26, 47, 32, 26, 53, 79, 167, 884
INVAR-5, Run: 078, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 266, 1137, 26, 36, 43, 26, 53, 79, 266, 1297
INVAR-5, Run: 079, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 225, 890, 26, 39, 40, 26, 53, 79, 225, 1050
INVAR-5, Run: 080, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 272, 1070, 26, 35, 44, 26, 53, 79, 272, 1230
INVAR-5, Run: 081, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 203, 830, 26, 29, 50, 26, 53, 79, 203, 990
INVAR-5, Run: 082, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 182, 589, 26, 38, 41, 26, 53, 79, 182, 749
INVAR-5, Run: 083, P, 0, 1, 0, 0, 1, 0, 160, 26, 160, 0, 1, 53, 215, 947, 26, 38, 41, 26, 53, 79, 215, 1107
