Input Number, Run_Number, Result@ 100, C, F, D, X1, A, B, PO, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 026, P, 0, 0, 788, 0, 0, 0, 0, 0, 2, 1, 2, 99, 94, 200, 6502, 71, 69, 6502, 100, 53, 46, 99, 53, 200, 1414, 660
INVAR-10, Run: 027, P, 0, 1, 775, 0, 0, 0, 0, 0, 0, 1, 0, 100, 87, 200, 8108, 63, 63, 8108, 100, 62, 37, 100, 56, 200, 1506, 709
INVAR-10, Run: 028, P, 0, 0, 760, 0, 0, 0, 0, 0, 0, 1, 0, 100, 80, 200, 5810, 74, 74, 5810, 100, 63, 36, 100, 60, 200, 2186, 1053
INVAR-10, Run: 029, P, 0, 0, 760, 0, 0, 0, 0, 0, 0, 1, 0, 100, 80, 200, 6316, 72, 72, 6316, 100, 61, 38, 100, 60, 200, 1530, 725
INVAR-10, Run: 030, P, 0, 0, 776, 0, 0, 0, 0, 0, 0, 1, 0, 100, 88, 200, 8348, 64, 64, 8348, 100, 49, 50, 100, 56, 200, 1590, 751
INVAR-10, Run: 031, P, 0, 1, 755, 0, 0, 0, 0, 0, 0, 1, 0, 100, 77, 200, 6697, 67, 67, 6697, 100, 57, 42, 100, 61, 200, 2502, 1212
INVAR-10, Run: 032, P, 0, 0, 740, 0, 0, 0, 0, 0, 0, 1, 0, 100, 70, 200, 7030, 92, 92, 7030, 100, 56, 43, 100, 65, 200, 4924, 2427
INVAR-10, Run: 033, P, 0, 0, 756, 0, 0, 0, 0, 0, 0, 1, 0, 100, 78, 200, 6115, 55, 55, 6115, 100, 66, 33, 100, 61, 200, 1710, 816
INVAR-10, Run: 034, P, 0, 0, 788, 0, 0, 0, 0, 0, 0, 1, 0, 100, 94, 200, 6214, 49, 49, 6214, 100, 63, 36, 100, 53, 200, 1206, 556
INVAR-10, Run: 035, P, 0, 0, 800, 0, 0, 0, 0, 0, 0, 1, 0, 100, 100, 200, 6747, 55, 55, 6747, 100, 55, 44, 100, 50, 200, 1568, 734
INVAR-10, Run: 036, P, 0, 0, 776, 0, 0, 0, 0, 0, 0, 1, 0, 100, 88, 200, 6206, 64, 64, 6206, 100, 55, 44, 100, 56, 200, 1714, 813
INVAR-10, Run: 037, P, 0, 0, 740, 0, 0, 0, 0, 0, 0, 1, 0, 100, 70, 200, 5623, 56, 56, 5623, 100, 53, 46, 100, 65, 200, 2234, 1082
INVAR-10, Run: 038, P, 0, 0, 808, 0, 0, 0, 0, 0, 0, 1, 0, 100, 104, 200, 7474, 66, 66, 7474, 100, 60, 39, 100, 48, 200, 1454, 675
INVAR-10, Run: 039, P, 0, 0, 776, 0, 0, 0, 0, 0, 0, 1, 0, 100, 88, 200, 5448, 46, 46, 5448, 100, 65, 34, 100, 56, 200, 2004, 958
INVAR-10, Run: 040, P, 0, 0, 748, 0, 0, 0, 0, 0, 0, 1, 0, 100, 74, 200, 6941, 61, 61, 6941, 100, 67, 32, 100, 63, 200, 1984, 955
INVAR-10, Run: 041, P, 0, 0, 776, 0, 0, 0, 0, 0, 0, 1, 0, 100, 88, 200, 6656, 55, 55, 6656, 100, 57, 42, 100, 56, 200, 1418, 665
INVAR-10, Run: 042, P, 0, 0, 772, 0, 0, 0, 0, 0, 2, 1, 2, 99, 86, 200, 5109, 55, 53, 5109, 100, 64, 35, 99, 57, 200, 2080, 997
INVAR-10, Run: 043, P, 0, 0, 756, 0, 0, 0, 0, 0, 0, 1, 0, 100, 78, 200, 6351, 66, 66, 6351, 100, 57, 42, 100, 61, 200, 2200, 1061
