Input Number, Run_Number, Result@ 100, X1, Y, X2, NEW_REACTION, Reaction1, Reaction2
INVAR-11, Run: 012, P, 0, 240, 0, 99, 298, 58
INVAR-11, Run: 013, P, 3, 239, 0, 100, 297, 58
INVAR-11, Run: 014, P, 4, 248, 0, 105, 306, 58
INVAR-11, Run: 015, P, 3, 215, 0, 88, 273, 58
INVAR-11, Run: 016, P, 1, 269, 0, 114, 327, 58
INVAR-11, Run: 017, P, 2, 232, 0, 96, 290, 58
INVAR-11, Run: 018, P, 0, 250, 0, 104, 308, 58
INVAR-11, Run: 019, P, 0, 228, 0, 93, 286, 58
INVAR-11, Run: 020, P, 2, 258, 0, 109, 316, 58
INVAR-11, Run: 021, P, 1, 275, 0, 117, 333, 58
INVAR-11, Run: 022, P, 1, 221, 0, 90, 279, 58
INVAR-11, Run: 023, P, 1, 279, 0, 119, 337, 58
INVAR-11, Run: 024, P, 0, 228, 0, 93, 286, 58
INVAR-11, Run: 025, P, 0, 220, 0, 89, 278, 58
INVAR-11, Run: 026, P, 2, 234, 0, 97, 292, 58
INVAR-11, Run: 027, P, 1, 257, 0, 108, 315, 58
INVAR-11, Run: 028, P, 2, 246, 0, 103, 304, 58
INVAR-11, Run: 029, P, 0, 220, 0, 89, 278, 58
INVAR-11, Run: 030, P, 5, 239, 0, 101, 297, 58
INVAR-11, Run: 031, P, 6, 226, 0, 95, 284, 58
INVAR-11, Run: 032, P, 3, 247, 0, 104, 305, 58
INVAR-11, Run: 033, P, 0, 242, 0, 100, 300, 58
INVAR-11, Run: 034, P, 0, 228, 0, 93, 286, 58
INVAR-11, Run: 035, P, 7, 229, 0, 97, 287, 58
INVAR-11, Run: 036, P, 3, 241, 0, 101, 299, 58
INVAR-11, Run: 037, P, 2, 266, 0, 113, 324, 58
INVAR-11, Run: 038, P, 1, 257, 0, 108, 315, 58
INVAR-11, Run: 039, P, 0, 244, 0, 101, 302, 58
INVAR-11, Run: 040, P, 2, 230, 0, 95, 288, 58
INVAR-11, Run: 041, P, 6, 234, 0, 99, 292, 58
INVAR-11, Run: 042, P, 0, 234, 0, 96, 292, 58
INVAR-11, Run: 043, P, 2, 248, 0, 104, 306, 58
INVAR-11, Run: 044, P, 4, 274, 0, 118, 332, 58
INVAR-11, Run: 045, P, 1, 297, 0, 128, 355, 58
INVAR-11, Run: 046, P, 0, 270, 0, 114, 328, 58
INVAR-11, Run: 047, P, 0, 240, 0, 99, 298, 58
INVAR-11, Run: 048, P, 1, 209, 0, 84, 267, 58
INVAR-11, Run: 049, P, 2, 218, 0, 89, 276, 58
INVAR-11, Run: 050, P, 0, 264, 0, 111, 322, 58
INVAR-11, Run: 051, P, 2, 236, 0, 98, 294, 58
INVAR-11, Run: 052, P, 1, 241, 0, 100, 299, 58
INVAR-11, Run: 053, P, 2, 206, 0, 83, 264, 58
INVAR-11, Run: 054, P, 0, 254, 0, 106, 312, 58
INVAR-11, Run: 055, P, 2, 272, 0, 116, 330, 58
INVAR-11, Run: 056, P, 4, 258, 0, 110, 316, 58
INVAR-11, Run: 057, P, 0, 226, 0, 92, 284, 58
INVAR-11, Run: 058, P, 1, 237, 0, 98, 295, 58
INVAR-11, Run: 059, P, 3, 207, 0, 84, 265, 58
INVAR-11, Run: 060, P, 0, 244, 0, 101, 302, 58
INVAR-11, Run: 061, P, 0, 250, 0, 104, 308, 58
INVAR-11, Run: 062, P, 3, 241, 0, 101, 299, 58
INVAR-11, Run: 063, P, 2, 222, 0, 91, 280, 58
INVAR-11, Run: 064, P, 6, 256, 0, 110, 314, 58
INVAR-11, Run: 065, P, 0, 248, 0, 103, 306, 58
INVAR-11, Run: 066, P, 2, 268, 0, 114, 326, 58
INVAR-11, Run: 067, P, 2, 228, 0, 94, 286, 58
INVAR-11, Run: 068, P, 3, 263, 0, 112, 321, 58
INVAR-11, Run: 069, P, 2, 250, 0, 105, 308, 58
INVAR-11, Run: 070, P, 1, 229, 0, 94, 287, 58
INVAR-11, Run: 071, P, 3, 219, 0, 90, 277, 58
INVAR-11, Run: 072, P, 0, 232, 0, 95, 290, 58
INVAR-11, Run: 073, P, 0, 272, 0, 115, 330, 58
INVAR-11, Run: 074, P, 3, 247, 0, 104, 305, 58
INVAR-11, Run: 075, P, 2, 200, 0, 80, 258, 58
INVAR-11, Run: 076, P, 1, 215, 0, 87, 273, 58
INVAR-11, Run: 077, P, 0, 198, 0, 78, 256, 58
INVAR-11, Run: 078, P, 1, 275, 0, 117, 333, 58
INVAR-11, Run: 079, P, 2, 230, 0, 95, 288, 58
INVAR-11, Run: 080, P, 4, 230, 0, 96, 288, 58
INVAR-11, Run: 081, P, 0, 246, 0, 102, 304, 58
INVAR-11, Run: 082, P, 1, 253, 0, 106, 311, 58
INVAR-11, Run: 083, P, 6, 242, 0, 103, 300, 58
INVAR-11, Run: 084, P, 1, 233, 0, 96, 291, 58
INVAR-11, Run: 085, P, 1, 263, 0, 111, 321, 58
INVAR-11, Run: 086, P, 0, 236, 0, 97, 294, 58
INVAR-11, Run: 087, P, 3, 253, 0, 107, 311, 58
INVAR-11, Run: 088, P, 1, 239, 0, 99, 297, 58
INVAR-11, Run: 089, P, 5, 251, 0, 107, 309, 58
INVAR-11, Run: 090, P, 3, 229, 0, 95, 287, 58
INVAR-11, Run: 091, P, 0, 226, 0, 92, 284, 58
INVAR-11, Run: 092, P, 0, 260, 0, 109, 318, 58
INVAR-11, Run: 093, P, 2, 234, 0, 97, 292, 58
INVAR-11, Run: 094, P, 3, 231, 0, 96, 289, 58
INVAR-11, Run: 095, P, 1, 243, 0, 101, 301, 58
INVAR-11, Run: 096, P, 5, 227, 0, 95, 285, 58
INVAR-11, Run: 097, P, 0, 236, 0, 97, 294, 58
INVAR-11, Run: 098, P, 2, 230, 0, 95, 288, 58
INVAR-11, Run: 099, P, 4, 216, 0, 89, 274, 58
INVAR-11, Run: 100, P, 4, 294, 0, 128, 352, 58
INVAR-12, Run: 001, P, 3, 275, 0, 104, 405, 130
INVAR-12, Run: 002, P, 1, 297, 0, 114, 427, 130
INVAR-12, Run: 003, P, 2, 306, 0, 119, 436, 130
INVAR-12, Run: 004, P, 1, 281, 0, 106, 411, 130
INVAR-12, Run: 005, P, 4, 264, 0, 99, 394, 130
INVAR-12, Run: 006, P, 0, 324, 0, 127, 454, 130
INVAR-12, Run: 007, P, 1, 281, 0, 106, 411, 130
INVAR-12, Run: 008, P, 1, 267, 0, 99, 397, 130
INVAR-12, Run: 009, P, 2, 272, 0, 102, 402, 130
INVAR-12, Run: 010, P, 1, 267, 0, 99, 397, 130
INVAR-12, Run: 011, P, 0, 284, 0, 107, 414, 130
INVAR-12, Run: 012, P, 1, 267, 0, 99, 397, 130
INVAR-12, Run: 013, P, 0, 266, 0, 98, 396, 130
INVAR-12, Run: 014, P, 1, 241, 0, 86, 371, 130
INVAR-12, Run: 015, P, 1, 261, 0, 96, 391, 130
INVAR-12, Run: 016, P, 6, 292, 0, 114, 422, 130
INVAR-12, Run: 017, P, 3, 255, 0, 94, 385, 130
INVAR-12, Run: 018, P, 3, 271, 0, 102, 401, 130
INVAR-12, Run: 019, P, 1, 321, 0, 126, 451, 130
INVAR-12, Run: 020, P, 3, 277, 0, 105, 407, 130
INVAR-12, Run: 021, P, 4, 268, 0, 101, 398, 130
INVAR-12, Run: 022, P, 4, 256, 0, 95, 386, 130
INVAR-12, Run: 023, P, 3, 245, 0, 89, 375, 130
INVAR-12, Run: 024, P, 1, 279, 0, 105, 409, 130
INVAR-12, Run: 025, P, 0, 236, 0, 83, 366, 130
INVAR-12, Run: 026, P, 0, 272, 0, 101, 402, 130
INVAR-12, Run: 027, P, 5, 245, 0, 90, 375, 130
INVAR-12, Run: 028, P, 0, 252, 0, 91, 382, 130
INVAR-12, Run: 029, P, 0, 284, 0, 107, 414, 130
INVAR-12, Run: 030, P, 6, 278, 0, 107, 408, 130
INVAR-12, Run: 031, P, 6, 254, 0, 95, 384, 130
INVAR-12, Run: 032, P, 0, 226, 0, 78, 356, 130
INVAR-12, Run: 033, P, 4, 238, 0, 86, 368, 130
INVAR-12, Run: 034, P, 1, 245, 0, 88, 375, 130
INVAR-12, Run: 035, P, 1, 281, 0, 106, 411, 130
INVAR-12, Run: 036, P, 2, 250, 0, 91, 380, 130
INVAR-12, Run: 037, P, 3, 285, 0, 109, 415, 130
INVAR-12, Run: 038, P, 2, 264, 0, 98, 394, 130
INVAR-12, Run: 039, P, 0, 276, 0, 103, 406, 130
INVAR-12, Run: 040, P, 4, 284, 0, 109, 414, 130
INVAR-12, Run: 041, P, 4, 256, 0, 95, 386, 130
INVAR-12, Run: 042, P, 0, 240, 0, 85, 370, 130
INVAR-12, Run: 043, P, 3, 257, 0, 95, 387, 130
INVAR-12, Run: 044, P, 0, 238, 0, 84, 368, 130
INVAR-12, Run: 045, P, 3, 279, 0, 106, 409, 130
INVAR-12, Run: 046, P, 1, 283, 0, 107, 413, 130
INVAR-12, Run: 047, P, 4, 276, 0, 105, 406, 130
INVAR-12, Run: 048, P, 4, 282, 0, 108, 412, 130
INVAR-12, Run: 049, P, 2, 280, 0, 106, 410, 130
INVAR-12, Run: 050, P, 0, 272, 0, 101, 402, 130
INVAR-12, Run: 051, P, 2, 284, 0, 108, 414, 130
INVAR-12, Run: 052, P, 0, 268, 0, 99, 398, 130
INVAR-12, Run: 053, P, 2, 296, 0, 114, 426, 130
INVAR-12, Run: 054, P, 2, 250, 0, 91, 380, 130
INVAR-12, Run: 055, P, 3, 293, 0, 113, 423, 130
INVAR-12, Run: 056, P, 0, 252, 0, 91, 382, 130
INVAR-12, Run: 057, P, 0, 264, 0, 97, 394, 130
INVAR-12, Run: 058, P, 1, 233, 0, 82, 363, 130
INVAR-12, Run: 059, P, 0, 274, 0, 102, 404, 130
INVAR-12, Run: 060, P, 3, 227, 0, 80, 357, 130
INVAR-12, Run: 061, P, 3, 251, 0, 92, 381, 130
INVAR-12, Run: 062, P, 0, 276, 0, 103, 406, 130
INVAR-12, Run: 063, P, 0, 258, 0, 94, 388, 130
INVAR-12, Run: 064, P, 3, 291, 0, 112, 421, 130
INVAR-12, Run: 065, P, 4, 280, 0, 107, 410, 130
INVAR-12, Run: 066, P, 0, 298, 0, 114, 428, 130
INVAR-12, Run: 067, P, 1, 273, 0, 102, 403, 130
INVAR-12, Run: 068, P, 0, 258, 0, 94, 388, 130
INVAR-12, Run: 069, P, 3, 269, 0, 101, 399, 130
INVAR-12, Run: 070, P, 4, 270, 0, 102, 400, 130
INVAR-12, Run: 071, P, 4, 246, 0, 90, 376, 130
INVAR-12, Run: 072, P, 3, 295, 0, 114, 425, 130
INVAR-12, Run: 073, P, 2, 254, 0, 93, 384, 130
INVAR-12, Run: 074, P, 1, 261, 0, 96, 391, 130
INVAR-12, Run: 075, P, 4, 272, 0, 103, 402, 130
INVAR-12, Run: 076, P, 0, 266, 0, 98, 396, 130
INVAR-12, Run: 077, P, 2, 260, 0, 96, 390, 130
INVAR-12, Run: 078, P, 4, 280, 0, 107, 410, 130
INVAR-12, Run: 079, P, 3, 265, 0, 99, 395, 130
INVAR-12, Run: 080, P, 2, 274, 0, 103, 404, 130
INVAR-12, Run: 081, P, 3, 239, 0, 86, 369, 130
INVAR-12, Run: 082, P, 6, 264, 0, 100, 394, 130
INVAR-12, Run: 083, P, 0, 274, 0, 102, 404, 130
INVAR-12, Run: 084, P, 2, 268, 0, 100, 398, 130
INVAR-12, Run: 085, P, 1, 245, 0, 88, 375, 130
INVAR-12, Run: 086, P, 4, 268, 0, 101, 398, 130
INVAR-12, Run: 087, P, 3, 291, 0, 112, 421, 130
INVAR-12, Run: 088, P, 1, 241, 0, 86, 371, 130
INVAR-12, Run: 089, P, 1, 265, 0, 98, 395, 130
INVAR-12, Run: 090, P, 0, 228, 0, 79, 358, 130
INVAR-12, Run: 091, P, 1, 259, 0, 95, 389, 130
INVAR-12, Run: 092, P, 1, 279, 0, 105, 409, 130
INVAR-12, Run: 093, P, 0, 276, 0, 103, 406, 130
INVAR-12, Run: 094, P, 0, 272, 0, 101, 402, 130
INVAR-12, Run: 095, P, 0, 306, 0, 118, 436, 130
INVAR-12, Run: 096, P, 1, 249, 0, 90, 379, 130
INVAR-12, Run: 097, P, 0, 266, 0, 98, 396, 130
INVAR-12, Run: 098, P, 3, 297, 0, 115, 427, 130
INVAR-12, Run: 099, P, 0, 292, 0, 111, 422, 130
INVAR-12, Run: 100, P, 0, 280, 0, 105, 410, 130
INVAR-13, Run: 001, P, 2, 215, 0, 102, 220, 5
INVAR-13, Run: 002, P, 1, 232, 0, 110, 237, 5
INVAR-13, Run: 003, P, 2, 241, 0, 115, 246, 5
INVAR-13, Run: 004, P, 3, 152, 0, 71, 157, 5
INVAR-13, Run: 005, P, 0, 211, 0, 99, 216, 5
INVAR-13, Run: 006, P, 3, 196, 0, 93, 201, 5
INVAR-13, Run: 007, P, 1, 242, 0, 115, 247, 5
INVAR-13, Run: 008, P, 0, 199, 0, 93, 204, 5
INVAR-13, Run: 009, P, 1, 240, 0, 114, 245, 5
INVAR-13, Run: 010, P, 7, 196, 0, 95, 201, 5
INVAR-13, Run: 011, P, 4, 207, 0, 99, 212, 5
INVAR-13, Run: 012, P, 1, 210, 0, 99, 215, 5
INVAR-13, Run: 013, P, 1, 230, 0, 109, 235, 5
INVAR-13, Run: 014, P, 1, 240, 0, 114, 245, 5
INVAR-13, Run: 015, P, 2, 179, 0, 84, 184, 5
INVAR-13, Run: 016, P, 1, 232, 0, 110, 237, 5
INVAR-13, Run: 017, P, 0, 189, 0, 88, 194, 5
INVAR-13, Run: 018, P, 1, 206, 0, 97, 211, 5
