Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, A, PE, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 089, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 93, 169, 9, 39, 138, 9, 18, 27, 102, 169
INVAR-1, Run: 090, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 135, 230, 9, 36, 202, 9, 18, 27, 144, 230
INVAR-1, Run: 091, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 126, 187, 9, 42, 153, 9, 18, 27, 135, 187
INVAR-1, Run: 092, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 176, 264, 9, 47, 225, 9, 18, 27, 185, 264
INVAR-1, Run: 093, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 74, 128, 9, 30, 106, 9, 18, 27, 83, 128
INVAR-1, Run: 094, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 68, 113, 9, 34, 87, 9, 18, 27, 77, 113
INVAR-1, Run: 095, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 26, 41, 9, 11, 38, 9, 18, 27, 35, 41
INVAR-1, Run: 096, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 81, 129, 9, 25, 112, 9, 18, 27, 90, 129
INVAR-1, Run: 097, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 51, 67, 9, 15, 60, 9, 18, 27, 60, 67
INVAR-1, Run: 098, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 74, 119, 9, 34, 93, 9, 18, 27, 83, 119
INVAR-1, Run: 099, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 36, 54, 9, 18, 44, 9, 18, 27, 45, 54
INVAR-1, Run: 100, F, 0, 0, 0, 0, 9, 9, 0, 0, 54, 1, 0, 18, 45, 67, 9, 16, 59, 9, 18, 27, 54, 67
INVAR-10, Run: 001, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 13331, 6162, 100, 530, 5731, 100, 200, 300, 13431, 6162
INVAR-10, Run: 002, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10509, 5257, 100, 576, 4780, 100, 200, 300, 10609, 5257
