Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
3, Run: 058, P, 0, 103, 0, 0, 0, 0, 0, 470, 0, 2, 1, 2
3, Run: 059, P, 0, 102, 0, 0, 0, 0, 0, 472, 0, 0, 1, 0
3, Run: 060, F, 0, 98, 2, 0, 0, 0, 0, 0, 478, 478, 0, 0
3, Run: 061, F, 0, 96, 0, 0, 0, 0, 0, 186, 292, 292, 0, 0
3, Run: 062, F, 0, 98, 0, 0, 0, 0, 0, 319, 157, 157, 0, 0
3, Run: 063, F, 0, 102, 0, 0, 0, 0, 0, 169, 303, 303, 0, 0
3, Run: 064, P, 0, 102, 0, 0, 0, 0, 0, 472, 0, 0, 1, 0
3, Run: 065, P, 0, 97, 0, 0, 0, 0, 0, 476, 0, 2, 1, 2
3, Run: 066, P, 0, 89, 0, 0, 0, 0, 0, 484, 0, 2, 1, 2
3, Run: 067, F, 0, 102, 0, 0, 0, 0, 0, 36, 436, 436, 0, 0
3, Run: 068, P, 0, 103, 0, 0, 0, 0, 0, 470, 0, 2, 1, 2
3, Run: 069, F, 0, 106, 0, 0, 0, 0, 0, 83, 385, 385, 0, 0
3, Run: 070, P, 0, 102, 0, 0, 0, 0, 0, 472, 0, 0, 1, 0
3, Run: 071, F, 0, 96, 0, 0, 0, 0, 0, 233, 245, 245, 0, 0
3, Run: 072, P, 0, 102, 0, 0, 0, 0, 0, 472, 0, 0, 1, 0
3, Run: 073, F, 0, 100, 0, 0, 0, 0, 0, 266, 208, 208, 0, 0
3, Run: 074, P, 0, 96, 0, 0, 0, 0, 0, 478, 0, 0, 1, 0
3, Run: 075, P, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0
3, Run: 076, F, 0, 102, 0, 0, 0, 0, 0, 301, 171, 171, 0, 0
3, Run: 077, F, 0, 102, 0, 0, 0, 0, 0, 419, 53, 53, 0, 0
3, Run: 078, P, 0, 97, 0, 0, 0, 0, 0, 476, 0, 2, 1, 2
3, Run: 079, P, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0
3, Run: 080, F, 0, 96, 0, 0, 0, 0, 0, 109, 369, 369, 0, 0
3, Run: 081, P, 0, 98, 0, 0, 0, 0, 0, 476, 0, 0, 1, 0
3, Run: 082, F, 0, 102, 0, 0, 0, 0, 0, 150, 322, 322, 0, 0
3, Run: 083, P, 0, 104, 0, 0, 0, 0, 0, 470, 0, 0, 1, 0
3, Run: 084, F, 0, 100, 0, 0, 0, 0, 0, 5, 469, 469, 0, 0
3, Run: 085, F, 0, 104, 0, 0, 0, 0, 0, 43, 427, 427, 0, 0
3, Run: 086, F, 0, 104, 0, 0, 0, 0, 0, 427, 43, 43, 0, 0
3, Run: 087, P, 0, 100, 0, 0, 0, 0, 0, 474, 0, 0, 1, 0
3, Run: 088, P, 0, 92, 0, 0, 0, 0, 0, 482, 0, 0, 1, 0
3, Run: 089, F, 0, 100, 0, 0, 0, 0, 0, 33, 441, 441, 0, 0
3, Run: 090, F, 0, 100, 0, 0, 0, 0, 0, 158, 316, 316, 0, 0
3, Run: 091, F, 0, 98, 0, 0, 0, 0, 0, 443, 33, 33, 0, 0
3, Run: 092, P, 0, 103, 0, 0, 0, 0, 0, 470, 0, 2, 1, 2
3, Run: 093, F, 0, 96, 0, 0, 0, 0, 0, 82, 396, 396, 0, 0
3, Run: 094, P, 0, 101, 0, 0, 0, 0, 0, 472, 0, 2, 1, 2
3, Run: 095, P, 0, 99, 0, 0, 0, 0, 0, 474, 0, 2, 1, 2
3, Run: 096, P, 0, 97, 0, 0, 0, 0, 0, 476, 0, 2, 1, 2
3, Run: 097, P, 0, 101, 0, 0, 0, 0, 0, 472, 0, 2, 1, 2
3, Run: 098, P, 0, 94, 0, 0, 0, 0, 0, 480, 0, 0, 1, 0
3, Run: 099, P, 0, 92, 0, 0, 0, 0, 0, 482, 0, 0, 1, 0
3, Run: 100, F, 0, 102, 0, 0, 0, 0, 0, 440, 32, 32, 0, 0
4, Run: 001, P, 0, 30, 0, 0, 0, 0, 0, 106, 0, 1, 1, 1
4, Run: 002, F, 0, 28, 0, 0, 1, 0, 0, 13, 95, 95, 0, 0
4, Run: 003, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 004, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 005, F, 0, 28, 0, 0, 1, 0, 0, 25, 83, 83, 0, 0
4, Run: 006, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 007, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
