Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 053, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 10, 55, 9, 6, 2, 9, 18, 27, 19, 55
INVAR-1, Run: 054, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 96, 9, 7, 1, 9, 18, 27, 29, 96
INVAR-1, Run: 055, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 24, 179, 9, 7, 1, 9, 18, 27, 33, 179
INVAR-1, Run: 056, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 14, 133, 9, 6, 2, 9, 18, 27, 23, 133
INVAR-1, Run: 057, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 3, 79, 9, 4, 4, 9, 18, 27, 12, 79
INVAR-1, Run: 058, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 8, 121, 9, 6, 2, 9, 18, 27, 17, 121
INVAR-1, Run: 059, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 11, 74, 9, 5, 3, 9, 18, 27, 20, 74
INVAR-1, Run: 060, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 17, 109, 9, 5, 3, 9, 18, 27, 26, 109
INVAR-1, Run: 061, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 20, 83, 9, 6, 2, 9, 18, 27, 29, 83
INVAR-1, Run: 062, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 10, 51, 9, 6, 2, 9, 18, 27, 19, 51
INVAR-1, Run: 063, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 26, 132, 9, 3, 5, 9, 18, 27, 35, 132
INVAR-1, Run: 064, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 19, 75, 9, 5, 3, 9, 18, 27, 28, 75
INVAR-1, Run: 065, P, 0, 0, 0, 0, 9, 9, 0, 0, 1, 54, 0, 18, 18, 162, 9, 6, 2, 9, 18, 27, 27, 162
