Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-4, Run: 098, P, 0, 125, 0, 0, 0, 23, 23, 0, 0, 1, 1, 7, 39, 34, 289, 16, 12, 3, 23, 39, 58, 57, 289
INVAR-4, Run: 099, P, 0, 123, 0, 0, 0, 22, 22, 0, 0, 1, 1, 5, 39, 60, 249, 17, 12, 4, 22, 39, 58, 82, 249
INVAR-4, Run: 100, P, 0, 125, 0, 0, 0, 23, 23, 0, 0, 1, 1, 7, 39, 51, 230, 16, 7, 8, 23, 39, 58, 74, 230
INVAR-5, Run: 001, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 134, 549, 22, 16, 5, 31, 53, 79, 165, 549
INVAR-5, Run: 002, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 129, 406, 23, 12, 10, 30, 53, 79, 159, 406
INVAR-5, Run: 003, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 109, 589, 24, 16, 7, 29, 53, 79, 138, 589
INVAR-5, Run: 004, P, 0, 30, 0, 0, 0, 0, 139, 31, 139, 0, 1, 9, 53, 65, 258, 22, 13, 9, 31, 53, 79, 65, 397
INVAR-5, Run: 005, P, 0, 36, 0, 0, 0, 0, 137, 33, 137, 0, 1, 13, 53, 88, 376, 20, 12, 8, 33, 53, 79, 88, 513
INVAR-5, Run: 006, P, 0, 88, 0, 0, 0, 0, 85, 33, 85, 0, 1, 13, 53, 136, 712, 20, 14, 6, 33, 53, 79, 136, 797
INVAR-5, Run: 007, P, 0, 1, 0, 0, 0, 0, 166, 30, 166, 0, 1, 7, 53, 90, 490, 23, 15, 8, 30, 53, 79, 90, 656
INVAR-5, Run: 008, P, 0, 96, 0, 0, 0, 0, 77, 33, 77, 0, 1, 13, 53, 90, 681, 20, 13, 7, 33, 53, 79, 90, 758
INVAR-5, Run: 009, P, 0, 18, 0, 0, 0, 0, 153, 32, 153, 0, 1, 11, 53, 169, 659, 21, 14, 7, 32, 53, 79, 169, 812
