Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
5, Run: 085, P, 0, 230, 0, 1, 0, 1, 58, 160, 0, 0, 1
5, Run: 086, P, 0, 234, 0, 1, 0, 1, 56, 160, 0, 0, 1
5, Run: 087, P, 0, 236, 0, 1, 0, 1, 55, 160, 0, 0, 1
5, Run: 088, P, 0, 220, 0, 1, 0, 1, 63, 160, 0, 0, 1
5, Run: 089, P, 0, 208, 0, 1, 0, 1, 69, 160, 0, 0, 1
5, Run: 090, P, 0, 214, 0, 1, 0, 1, 66, 160, 0, 0, 1
5, Run: 091, P, 0, 228, 0, 1, 0, 1, 59, 160, 0, 0, 1
5, Run: 092, P, 0, 252, 0, 1, 0, 1, 47, 160, 0, 0, 1
5, Run: 093, P, 0, 204, 0, 1, 0, 1, 71, 160, 0, 0, 1
5, Run: 094, P, 0, 214, 0, 1, 0, 1, 66, 160, 0, 0, 1
5, Run: 095, P, 0, 222, 0, 1, 0, 1, 62, 160, 0, 0, 1
5, Run: 096, P, 0, 238, 0, 1, 0, 1, 54, 160, 0, 0, 1
5, Run: 097, P, 0, 222, 0, 1, 0, 1, 62, 160, 0, 0, 1
5, Run: 098, P, 0, 210, 0, 1, 0, 1, 68, 160, 0, 0, 1
5, Run: 099, P, 0, 218, 0, 1, 0, 1, 64, 160, 0, 0, 1
5, Run: 100, P, 0, 238, 0, 1, 0, 1, 54, 160, 0, 0, 1
6, Run: 001, P, 0, 283, 0, 1, 0, 1, 428, 526, 0, 0, 1
6, Run: 002, P, 0, 267, 0, 1, 0, 1, 436, 526, 0, 0, 1
6, Run: 003, P, 0, 295, 0, 1, 0, 1, 422, 526, 0, 0, 1
6, Run: 004, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 005, P, 0, 299, 0, 1, 0, 1, 420, 526, 0, 0, 1
6, Run: 006, P, 0, 299, 0, 1, 0, 1, 420, 526, 0, 0, 1
6, Run: 007, P, 0, 257, 0, 1, 0, 1, 441, 526, 0, 0, 1
6, Run: 008, P, 0, 279, 0, 1, 0, 1, 430, 526, 0, 0, 1
6, Run: 009, P, 0, 285, 0, 1, 0, 1, 427, 526, 0, 0, 1
6, Run: 010, P, 0, 305, 0, 1, 0, 1, 417, 526, 0, 0, 1
6, Run: 011, P, 0, 263, 0, 1, 0, 1, 438, 526, 0, 0, 1
6, Run: 012, P, 0, 269, 0, 1, 0, 1, 435, 526, 0, 0, 1
6, Run: 013, P, 0, 295, 0, 1, 0, 1, 422, 526, 0, 0, 1
6, Run: 014, P, 0, 321, 0, 1, 0, 1, 409, 526, 0, 0, 1
6, Run: 015, P, 0, 283, 0, 1, 0, 1, 428, 526, 0, 0, 1
6, Run: 016, P, 0, 279, 0, 1, 0, 1, 430, 526, 0, 0, 1
6, Run: 017, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 018, P, 0, 305, 0, 1, 0, 1, 417, 526, 0, 0, 1
6, Run: 019, P, 0, 251, 0, 1, 0, 1, 444, 526, 0, 0, 1
6, Run: 020, P, 0, 303, 0, 1, 0, 1, 418, 526, 0, 0, 1
6, Run: 021, P, 0, 337, 0, 1, 0, 1, 401, 526, 0, 0, 1
6, Run: 022, P, 0, 263, 0, 1, 0, 1, 438, 526, 0, 0, 1
6, Run: 023, P, 0, 323, 0, 1, 0, 1, 408, 526, 0, 0, 1
6, Run: 024, P, 0, 323, 0, 1, 0, 1, 408, 526, 0, 0, 1
6, Run: 025, P, 0, 257, 0, 1, 0, 1, 441, 526, 0, 0, 1
6, Run: 026, P, 0, 265, 0, 1, 0, 1, 437, 526, 0, 0, 1
6, Run: 027, P, 0, 279, 0, 1, 0, 1, 430, 526, 0, 0, 1
6, Run: 028, P, 0, 283, 0, 1, 0, 1, 428, 526, 0, 0, 1
6, Run: 029, P, 0, 311, 0, 1, 0, 1, 414, 526, 0, 0, 1
6, Run: 030, P, 0, 267, 0, 1, 0, 1, 436, 526, 0, 0, 1
