Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 021, F, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0, 297, 200, 2729, 838, 100, 66, 33, 100, 200, 300, 3126, 1135
INVAR-10, Run: 022, F, 92, 0, 0, 0, 0, 0, 0, 354, 608, 1, 0, 254, 200, 2102, 844, 100, 59, 40, 100, 200, 300, 2456, 1098
INVAR-10, Run: 023, F, 62, 0, 0, 0, 0, 0, 0, 369, 638, 1, 0, 269, 200, 2415, 891, 100, 61, 38, 100, 200, 300, 2784, 1160
INVAR-10, Run: 024, F, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0, 295, 200, 2341, 730, 100, 63, 36, 100, 200, 300, 2736, 1025
INVAR-10, Run: 025, F, 84, 0, 0, 0, 0, 0, 0, 358, 616, 1, 0, 258, 200, 1911, 881, 100, 70, 29, 100, 200, 300, 2269, 1139
INVAR-10, Run: 026, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 2552, 919, 100, 51, 48, 100, 200, 300, 2950, 1217
INVAR-10, Run: 027, F, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0, 293, 200, 2617, 952, 100, 65, 34, 100, 200, 300, 3010, 1245
INVAR-10, Run: 028, F, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0, 297, 200, 2267, 881, 100, 67, 32, 100, 200, 300, 2664, 1178
INVAR-10, Run: 029, F, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0, 288, 200, 2142, 601, 100, 59, 40, 100, 200, 300, 2530, 889
INVAR-10, Run: 030, F, 134, 0, 0, 0, 0, 0, 0, 333, 566, 1, 0, 233, 200, 1766, 829, 100, 67, 32, 100, 200, 300, 2099, 1062
INVAR-10, Run: 031, F, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0, 297, 200, 2997, 837, 100, 68, 31, 100, 200, 300, 3394, 1134
INVAR-10, Run: 032, F, 56, 0, 0, 0, 0, 0, 0, 372, 644, 1, 0, 272, 200, 2705, 925, 100, 61, 38, 100, 200, 300, 3077, 1197
INVAR-10, Run: 033, F, 72, 0, 0, 0, 0, 0, 0, 364, 628, 1, 0, 264, 200, 1937, 865, 100, 66, 33, 100, 200, 300, 2301, 1129
INVAR-10, Run: 034, F, 60, 0, 0, 0, 0, 0, 0, 370, 640, 1, 0, 270, 200, 2093, 782, 100, 63, 36, 100, 200, 300, 2463, 1052
INVAR-10, Run: 035, F, 20, 0, 0, 0, 0, 0, 0, 390, 680, 1, 0, 290, 200, 1902, 682, 100, 63, 36, 100, 200, 300, 2292, 972
INVAR-10, Run: 036, F, 20, 0, 0, 0, 0, 0, 0, 390, 680, 1, 0, 290, 200, 1655, 636, 100, 70, 29, 100, 200, 300, 2045, 926
INVAR-10, Run: 037, F, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0, 291, 200, 2237, 828, 100, 64, 35, 100, 200, 300, 2628, 1119
INVAR-10, Run: 038, F, 48, 0, 0, 0, 0, 0, 0, 376, 652, 1, 0, 276, 200, 1924, 795, 100, 71, 28, 100, 200, 300, 2300, 1071
INVAR-10, Run: 039, F, 38, 0, 0, 0, 0, 0, 0, 381, 662, 1, 0, 281, 200, 2383, 907, 100, 56, 43, 100, 200, 300, 2764, 1188
INVAR-10, Run: 040, F, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0, 288, 200, 2201, 799, 100, 62, 37, 100, 200, 300, 2589, 1087
INVAR-10, Run: 041, F, 70, 0, 0, 0, 0, 0, 0, 365, 630, 1, 0, 265, 200, 2849, 864, 100, 62, 37, 100, 200, 300, 3214, 1129
INVAR-10, Run: 042, F, 12, 0, 0, 0, 0, 0, 0, 394, 688, 1, 0, 294, 200, 2157, 688, 100, 73, 26, 100, 200, 300, 2551, 982
INVAR-10, Run: 043, F, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0, 295, 200, 2300, 781, 100, 61, 38, 100, 200, 300, 2695, 1076
INVAR-10, Run: 044, F, 106, 0, 0, 0, 0, 0, 0, 347, 594, 1, 0, 247, 200, 1901, 858, 100, 63, 36, 100, 200, 300, 2248, 1105
INVAR-10, Run: 045, F, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0, 296, 200, 1739, 683, 100, 58, 41, 100, 200, 300, 2135, 979
INVAR-10, Run: 046, F, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0, 296, 200, 2340, 826, 100, 57, 42, 100, 200, 300, 2736, 1122
INVAR-10, Run: 047, F, 4, 0, 0, 0, 0, 0, 0, 398, 696, 1, 0, 298, 200, 2202, 953, 100, 63, 36, 100, 200, 300, 2600, 1251
INVAR-10, Run: 048, F, 34, 0, 0, 0, 0, 0, 0, 383, 666, 1, 0, 283, 200, 2576, 900, 100, 72, 27, 100, 200, 300, 2959, 1183
INVAR-10, Run: 049, F, 12, 0, 0, 0, 0, 0, 0, 394, 688, 1, 0, 294, 200, 2090, 844, 100, 60, 39, 100, 200, 300, 2484, 1138
INVAR-10, Run: 050, F, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0, 292, 200, 2816, 917, 100, 67, 32, 100, 200, 300, 3208, 1209
INVAR-10, Run: 051, F, 48, 0, 0, 0, 0, 0, 0, 376, 652, 1, 0, 276, 200, 1774, 814, 100, 62, 37, 100, 200, 300, 2150, 1090
INVAR-10, Run: 052, F, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0, 297, 200, 2330, 859, 100, 62, 37, 100, 200, 300, 2727, 1156
INVAR-10, Run: 053, F, 32, 0, 0, 0, 0, 0, 0, 384, 668, 1, 0, 284, 200, 2668, 898, 100, 61, 38, 100, 200, 300, 3052, 1182
INVAR-10, Run: 054, F, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0, 293, 200, 2266, 786, 100, 67, 32, 100, 200, 300, 2659, 1079
INVAR-10, Run: 055, F, 20, 0, 0, 0, 0, 0, 0, 390, 680, 1, 0, 290, 200, 2351, 869, 100, 60, 39, 100, 200, 300, 2741, 1159
INVAR-10, Run: 056, F, 0, 0, 0, 0, 0, 0, 0, 400, 700, 1, 0, 300, 200, 1701, 627, 100, 61, 38, 100, 200, 300, 2101, 927
INVAR-10, Run: 057, F, 74, 0, 0, 0, 0, 0, 0, 363, 626, 1, 0, 263, 200, 2044, 839, 100, 69, 30, 100, 200, 300, 2407, 1102
INVAR-10, Run: 058, F, 68, 0, 0, 0, 0, 0, 0, 366, 632, 1, 0, 266, 200, 2397, 889, 100, 54, 45, 100, 200, 300, 2763, 1155
