Input Number, Run_Number, Result@ 1000, A, B, H, C, T2, L5, L4, L1, Y, T1, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 062, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 85, 52, 90, 10927, 10787, 10681, 10589, 10500, 96, 746, 106, 92, 89, 86, 10414, 10408, 496, 327, 242, 212, 250, 169
INVAR-1, Run: 063, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 74, 57, 57, 8439, 8316, 8250, 8174, 8108, 79, 616, 66, 76, 66, 77, 8031, 8025, 440, 288, 214, 179, 176, 152
INVAR-1, Run: 064, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 1, 0, 0, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 23, 71, 41, 69, 7792, 7679, 7589, 7535, 7466, 67, 597, 89, 54, 69, 59, 7407, 7404, 388, 281, 210, 192, 209, 107
INVAR-1, Run: 065, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 122, 89, 221, 5949, 5857, 5805, 5757, 5705, 48, 1023, 52, 48, 52, 44, 5661, 5655, 724, 532, 410, 343, 299, 192
INVAR-1, Run: 066, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 1, 0, 0, 0, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 23, 62, 36, 36, 9032, 8898, 8832, 8750, 8683, 88, 511, 66, 82, 67, 76, 8607, 8604, 333, 234, 172, 159, 178, 99
INVAR-1, Run: 067, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 1, 0, 0, 0, 0, 1, 6, 0, 3, 0, 9, 0, 1, 9, 23, 92, 61, 117, 7747, 7635, 7580, 7520, 7455, 66, 787, 55, 60, 65, 67, 7388, 7385, 509, 370, 278, 240, 278, 139
INVAR-1, Run: 068, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 77, 50, 85, 8169, 8045, 7959, 7901, 7843, 78, 646, 86, 58, 58, 61, 7782, 7778, 453, 312, 235, 208, 193, 141
INVAR-1, Run: 069, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 6, 0, 6, 0, 9, 0, 1, 9, 22, 129, 92, 169, 7818, 7717, 7658, 7599, 7538, 57, 1090, 59, 59, 61, 65, 7473, 7467, 714, 490, 361, 291, 376, 224
INVAR-1, Run: 070, F, 0, 10, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 1, 6, 0, 8, 0, 9, 0, 1, 9, 21, 73, 53, 79, 10015, 9895, 9825, 9746, 9645, 78, 633, 70, 79, 101, 80, 9565, 9557, 416, 305, 232, 200, 217, 111
INVAR-1, Run: 071, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 55, 47, 85, 9180, 9042, 8976, 8904, 8824, 92, 559, 66, 72, 80, 67, 8757, 8753, 395, 287, 232, 208, 164, 108
INVAR-1, Run: 072, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 1, 0, 0, 0, 0, 1, 6, 0, 5, 0, 9, 0, 1, 9, 22, 55, 41, 75, 7829, 7711, 7638, 7576, 7506, 74, 514, 73, 62, 70, 69, 7437, 7432, 367, 271, 216, 197, 147, 96
INVAR-1, Run: 073, F, 0, 10, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0, 9, 0, 1, 9, 24, 64, 37, 50, 8201, 8084, 8024, 7960, 7893, 69, 492, 60, 64, 67, 69, 7824, 7822, 358, 251, 187, 174, 134, 107
INVAR-1, Run: 074, F, 0, 10, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 0, 1, 6, 0, 5, 0, 9, 0, 1, 9, 22, 69, 46, 76, 8816, 8696, 8620, 8543, 8465, 76, 643, 76, 77, 77, 66, 8399, 8394, 441, 291, 222, 198, 202, 150
INVAR-1, Run: 075, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 16, 7, 8, 16, 23, 92, 63, 69, 7400, 7283, 7221, 7154, 7095, 71, 836, 62, 67, 59, 61, 7034, 7030, 494, 324, 232, 192, 342, 170
INVAR-1, Run: 076, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 14, 5, 6, 14, 23, 123, 90, 249, 7390, 7294, 7227, 7161, 7102, 50, 1226, 67, 66, 59, 71, 7031, 7027, 760, 562, 439, 372, 466, 198
INVAR-1, Run: 077, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 10, 1, 2, 10, 23, 112, 65, 103, 6041, 5931, 5878, 5831, 5773, 64, 877, 53, 47, 58, 61, 5712, 5708, 550, 380, 268, 226, 327, 170
INVAR-1, Run: 078, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 81, 51, 44, 6268, 6154, 6112, 6056, 6006, 68, 795, 42, 56, 50, 53, 5953, 5949, 454, 276, 195, 167, 341, 178
INVAR-1, Run: 079, F, 0, 10, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 1, 6, 0, 2, 0, 10, 1, 2, 10, 24, 94, 58, 98, 5196, 5091, 5040, 4992, 4950, 57, 748, 51, 48, 42, 46, 4904, 4902, 511, 350, 256, 222, 237, 161
INVAR-1, Run: 080, F, 10, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 1, 1, 6, 0, 3, 0, 0, 1, 2, 0, 23, 0, 0, 0, 9879, 9743, 9667, 9594, 9512, 90, 100, 76, 73, 82, 67, 9444, 9441, 100, 100, 100, 123, 0, 0
INVAR-1, Run: 081, F, 0, 10, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 1, 6, 0, 4, 0, 9, 0, 1, 9, 23, 55, 40, 49, 6380, 6294, 6240, 6205, 6155, 40, 482, 54, 35, 50, 43, 6112, 6108, 329, 244, 189, 172, 153, 85
