Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
10, Run: 059, P, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0
10, Run: 060, P, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0
10, Run: 061, P, 14, 0, 0, 0, 0, 0, 0, 393, 686, 1, 0
10, Run: 062, P, 30, 0, 0, 0, 0, 0, 0, 385, 670, 1, 0
10, Run: 063, P, 34, 0, 0, 0, 0, 0, 0, 383, 666, 1, 0
10, Run: 064, P, 26, 0, 0, 0, 0, 0, 0, 387, 674, 1, 0
10, Run: 065, P, 52, 0, 0, 0, 0, 0, 0, 374, 648, 1, 0
10, Run: 066, P, 88, 0, 0, 0, 0, 0, 0, 356, 612, 1, 0
10, Run: 067, P, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0
10, Run: 068, P, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0
10, Run: 069, P, 6, 0, 0, 0, 0, 0, 0, 397, 694, 1, 0
10, Run: 070, P, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0
10, Run: 071, P, 28, 0, 0, 0, 0, 0, 0, 386, 672, 1, 0
10, Run: 072, P, 34, 0, 0, 0, 0, 0, 0, 383, 666, 1, 0
10, Run: 073, P, 68, 0, 0, 0, 0, 0, 0, 366, 632, 1, 0
10, Run: 074, P, 52, 0, 0, 0, 0, 0, 0, 374, 648, 1, 0
10, Run: 075, P, 32, 0, 0, 0, 0, 0, 0, 384, 668, 1, 0
10, Run: 076, P, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0
10, Run: 077, P, 8, 0, 0, 0, 0, 0, 0, 396, 692, 1, 0
10, Run: 078, P, 10, 0, 0, 0, 0, 0, 0, 395, 690, 1, 0
10, Run: 079, P, 62, 0, 0, 0, 0, 0, 0, 369, 638, 1, 0
10, Run: 080, P, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0
10, Run: 081, P, 24, 0, 0, 0, 0, 0, 0, 388, 676, 1, 0
10, Run: 082, P, 22, 0, 0, 0, 0, 0, 0, 389, 678, 1, 0
10, Run: 083, P, 30, 0, 0, 0, 0, 0, 0, 385, 670, 1, 0
10, Run: 084, P, 48, 0, 0, 0, 0, 0, 0, 376, 652, 1, 0
10, Run: 085, P, 62, 0, 0, 0, 0, 0, 0, 369, 638, 1, 0
10, Run: 086, P, 94, 0, 0, 0, 0, 0, 0, 353, 606, 1, 0
10, Run: 087, P, 60, 0, 0, 0, 0, 0, 0, 370, 640, 1, 0
10, Run: 088, P, 58, 0, 0, 0, 0, 0, 0, 371, 642, 1, 0
10, Run: 089, P, 52, 0, 0, 0, 0, 0, 0, 374, 648, 1, 0
10, Run: 090, P, 56, 0, 0, 0, 0, 0, 0, 372, 644, 1, 0
10, Run: 091, P, 16, 0, 0, 0, 0, 0, 0, 392, 684, 1, 0
10, Run: 092, P, 18, 0, 0, 0, 0, 0, 0, 391, 682, 1, 0
10, Run: 093, P, 12, 0, 0, 0, 0, 0, 0, 394, 688, 1, 0
10, Run: 094, P, 40, 0, 0, 0, 0, 0, 0, 380, 660, 1, 0
10, Run: 095, P, 42, 0, 0, 0, 0, 0, 0, 379, 658, 1, 0
