Input Number, Run_Number, Result@ 100, CO, D, A, X1, H, M, PO, CE, Y, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 088, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 6, 166, 9, 5, 3, 9, 18, 27, 7, 174
INVAR-1, Run: 089, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 2, 109, 9, 5, 3, 9, 18, 27, 3, 117
INVAR-1, Run: 090, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 52, 9, 4, 4, 9, 18, 27, 4, 61
INVAR-1, Run: 091, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 170, 9, 6, 2, 9, 18, 27, 2, 179
INVAR-1, Run: 092, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 5, 116, 9, 8, 0, 9, 18, 27, 5, 125
INVAR-1, Run: 093, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 3, 143, 9, 5, 3, 9, 18, 27, 4, 151
INVAR-1, Run: 094, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 9, 158, 9, 5, 3, 9, 18, 27, 10, 166
INVAR-1, Run: 095, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 4, 149, 9, 5, 3, 9, 18, 27, 4, 158
INVAR-1, Run: 096, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 1, 85, 9, 7, 1, 9, 18, 27, 1, 94
INVAR-1, Run: 097, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 2, 136, 9, 6, 2, 9, 18, 27, 2, 145
INVAR-1, Run: 098, P, 0, 0, 54, 0, 0, 0, 0, 0, 9, 1, 0, 9, 18, 16, 83, 9, 5, 3, 9, 18, 27, 16, 92
INVAR-1, Run: 099, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 1, 67, 9, 7, 1, 9, 18, 27, 2, 75
INVAR-1, Run: 100, P, 0, 0, 54, 0, 0, 0, 0, 1, 9, 1, 0, 8, 18, 7, 102, 9, 6, 2, 9, 18, 27, 8, 110
INVAR-10, Run: 001, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 85, 7139, 100, 64, 35, 100, 200, 300, 86, 7238
INVAR-10, Run: 002, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 90, 3843, 100, 62, 37, 100, 200, 300, 91, 3942
INVAR-10, Run: 003, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 122, 5429, 100, 57, 42, 100, 200, 300, 122, 5529
INVAR-10, Run: 004, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 159, 5555, 100, 58, 41, 100, 200, 300, 159, 5655
INVAR-10, Run: 005, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 109, 5469, 100, 56, 43, 100, 200, 300, 109, 5569
INVAR-10, Run: 006, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 81, 5786, 100, 69, 30, 100, 200, 300, 81, 5886
INVAR-10, Run: 007, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 84, 5360, 100, 64, 35, 100, 200, 300, 85, 5459
INVAR-10, Run: 008, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 91, 4847, 100, 62, 37, 100, 200, 300, 92, 4946
INVAR-10, Run: 009, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 164, 5390, 100, 62, 37, 100, 200, 300, 165, 5489
INVAR-10, Run: 010, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 117, 6424, 100, 62, 37, 100, 200, 300, 118, 6523
INVAR-10, Run: 011, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 120, 3521, 100, 50, 49, 100, 200, 300, 121, 3620
INVAR-10, Run: 012, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 129, 4535, 100, 60, 39, 100, 200, 300, 130, 4634
INVAR-10, Run: 013, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 80, 5538, 100, 57, 42, 100, 200, 300, 81, 5637
INVAR-10, Run: 014, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 91, 4987, 100, 63, 36, 100, 200, 300, 92, 5086
INVAR-10, Run: 015, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 128, 5283, 100, 53, 46, 100, 200, 300, 129, 5382
INVAR-10, Run: 016, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 95, 6198, 100, 64, 35, 100, 200, 300, 95, 6298
INVAR-10, Run: 017, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 104, 5210, 100, 65, 34, 100, 200, 300, 104, 5310
INVAR-10, Run: 018, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 169, 4842, 100, 58, 41, 100, 200, 300, 170, 4941
INVAR-10, Run: 019, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 149, 4068, 100, 63, 36, 100, 200, 300, 149, 4168
INVAR-10, Run: 020, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 112, 5368, 100, 61, 38, 100, 200, 300, 113, 5467
INVAR-10, Run: 021, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 97, 4338, 100, 69, 30, 100, 200, 300, 98, 4437
INVAR-10, Run: 022, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 71, 6042, 100, 65, 34, 100, 200, 300, 71, 6142
INVAR-10, Run: 023, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 66, 6053, 100, 71, 28, 100, 200, 300, 66, 6153
INVAR-10, Run: 024, P, 0, 0, 600, 0, 0, 0, 0, 2, 100, 1, 0, 98, 200, 114, 4412, 100, 65, 34, 100, 200, 300, 116, 4510
INVAR-10, Run: 025, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 87, 4765, 100, 63, 36, 100, 200, 300, 87, 4865
INVAR-10, Run: 026, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 126, 4635, 100, 52, 47, 100, 200, 300, 126, 4735
INVAR-10, Run: 027, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 127, 5553, 100, 69, 30, 100, 200, 300, 128, 5652
INVAR-10, Run: 028, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 94, 5073, 100, 68, 31, 100, 200, 300, 95, 5172
INVAR-10, Run: 029, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 117, 5403, 100, 63, 36, 100, 200, 300, 118, 5502
INVAR-10, Run: 030, P, 0, 0, 600, 0, 0, 0, 0, 0, 100, 1, 0, 100, 200, 96, 5917, 100, 63, 36, 100, 200, 300, 96, 6017
INVAR-10, Run: 031, P, 0, 0, 600, 0, 0, 0, 0, 2, 100, 1, 0, 98, 200, 100, 4058, 100, 58, 41, 100, 200, 300, 102, 4156
INVAR-10, Run: 032, P, 0, 0, 600, 0, 0, 0, 0, 1, 100, 1, 0, 99, 200, 98, 3805, 100, 70, 29, 100, 200, 300, 99, 3904
