Input Number, Run_Number, Result@ 100, X1, Y, X2
INVAR-12, Run: 037, P, 200, 20162, 0
INVAR-12, Run: 038, P, 200, 20247, 0
INVAR-12, Run: 039, P, 200, 19906, 0
INVAR-12, Run: 040, P, 200, 19953, 0
INVAR-12, Run: 041, P, 200, 19962, 0
INVAR-12, Run: 042, P, 200, 19865, 0
INVAR-12, Run: 043, P, 200, 19758, 0
INVAR-12, Run: 044, P, 200, 19913, 0
INVAR-12, Run: 045, P, 200, 19943, 0
INVAR-12, Run: 046, P, 200, 19745, 0
INVAR-12, Run: 047, P, 200, 19560, 0
INVAR-12, Run: 048, P, 200, 19953, 0
INVAR-12, Run: 049, P, 200, 19888, 0
INVAR-12, Run: 050, P, 200, 19804, 0
INVAR-12, Run: 051, P, 200, 19767, 0
INVAR-12, Run: 052, P, 200, 20068, 0
INVAR-12, Run: 053, P, 200, 19859, 0
INVAR-12, Run: 054, P, 200, 20027, 0
INVAR-12, Run: 055, P, 200, 19726, 0
INVAR-12, Run: 056, P, 200, 19727, 0
INVAR-12, Run: 057, P, 200, 19810, 0
INVAR-12, Run: 058, P, 200, 19967, 0
INVAR-12, Run: 059, P, 200, 19889, 0
INVAR-12, Run: 060, P, 200, 19892, 0
INVAR-12, Run: 061, P, 200, 20236, 0
INVAR-12, Run: 062, P, 200, 19994, 0
INVAR-12, Run: 063, P, 200, 20124, 0
INVAR-12, Run: 064, P, 200, 19887, 0
INVAR-12, Run: 065, P, 200, 19800, 0
INVAR-12, Run: 066, P, 200, 19921, 0
INVAR-12, Run: 067, P, 200, 19972, 0
INVAR-12, Run: 068, P, 200, 19776, 0
INVAR-12, Run: 069, P, 200, 19891, 0
INVAR-12, Run: 070, P, 200, 19985, 0
INVAR-12, Run: 071, P, 200, 19837, 0
INVAR-12, Run: 072, P, 200, 19801, 0
INVAR-12, Run: 073, P, 200, 19860, 0
INVAR-12, Run: 074, P, 200, 19881, 0
INVAR-12, Run: 075, P, 200, 19642, 0
INVAR-12, Run: 076, P, 200, 19894, 0
INVAR-12, Run: 077, P, 200, 19984, 0
INVAR-12, Run: 078, P, 200, 19806, 0
INVAR-12, Run: 079, P, 200, 19763, 0
INVAR-12, Run: 080, P, 200, 20008, 0
INVAR-12, Run: 081, P, 200, 19653, 0
INVAR-12, Run: 082, P, 200, 19764, 0
INVAR-12, Run: 083, P, 200, 19591, 0
INVAR-12, Run: 084, P, 200, 20090, 0
INVAR-12, Run: 085, P, 200, 19993, 0
INVAR-12, Run: 086, P, 200, 20029, 0
INVAR-12, Run: 087, P, 200, 19800, 0
INVAR-12, Run: 088, P, 200, 19802, 0
INVAR-12, Run: 089, P, 200, 19761, 0
INVAR-12, Run: 090, P, 200, 20024, 0
INVAR-12, Run: 091, P, 200, 19918, 0
INVAR-12, Run: 092, P, 200, 19760, 0
INVAR-12, Run: 093, P, 200, 19720, 0
INVAR-12, Run: 094, P, 200, 19622, 0
INVAR-12, Run: 095, P, 200, 19856, 0
INVAR-12, Run: 096, P, 200, 19829, 0
INVAR-12, Run: 097, P, 200, 19961, 0
INVAR-12, Run: 098, P, 200, 19829, 0
INVAR-12, Run: 099, P, 200, 19889, 0
INVAR-12, Run: 100, P, 200, 20039, 0
INVAR-13, Run: 001, P, 18, 1836, 0
INVAR-13, Run: 002, P, 18, 1757, 0
INVAR-13, Run: 003, P, 18, 1816, 0
INVAR-13, Run: 004, P, 18, 1800, 0
INVAR-13, Run: 005, P, 18, 1744, 0
INVAR-13, Run: 006, P, 18, 1814, 0
INVAR-13, Run: 007, P, 18, 1752, 0
INVAR-13, Run: 008, P, 18, 1833, 0
INVAR-13, Run: 009, P, 18, 1762, 0
INVAR-13, Run: 010, P, 18, 1774, 0
INVAR-13, Run: 011, P, 18, 1815, 0
INVAR-13, Run: 012, P, 18, 1847, 0
INVAR-13, Run: 013, P, 18, 1853, 0
INVAR-13, Run: 014, P, 18, 1746, 0
INVAR-13, Run: 015, P, 18, 1758, 0
INVAR-13, Run: 016, P, 18, 1724, 0
INVAR-13, Run: 017, P, 18, 1767, 0
INVAR-13, Run: 018, P, 18, 1752, 0
INVAR-13, Run: 019, P, 18, 1847, 0
INVAR-13, Run: 020, P, 18, 1793, 0
INVAR-13, Run: 021, P, 18, 1858, 0
INVAR-13, Run: 022, P, 18, 1811, 0
INVAR-13, Run: 023, P, 18, 1722, 0
INVAR-13, Run: 024, P, 18, 1686, 0
INVAR-13, Run: 025, P, 18, 1788, 0
INVAR-13, Run: 026, P, 18, 1787, 0
INVAR-13, Run: 027, P, 18, 1790, 0
INVAR-13, Run: 028, P, 18, 1763, 0
INVAR-13, Run: 029, P, 18, 1740, 0
INVAR-13, Run: 030, P, 18, 1783, 0
INVAR-13, Run: 031, P, 18, 1791, 0
INVAR-13, Run: 032, P, 18, 1828, 0
INVAR-13, Run: 033, P, 18, 1775, 0
INVAR-13, Run: 034, P, 18, 1758, 0
INVAR-13, Run: 035, P, 18, 1791, 0
INVAR-13, Run: 036, P, 18, 1804, 0
INVAR-13, Run: 037, P, 18, 1855, 0
INVAR-13, Run: 038, P, 18, 1803, 0
INVAR-13, Run: 039, P, 18, 1730, 0
INVAR-13, Run: 040, P, 18, 1769, 0
INVAR-13, Run: 041, P, 18, 1729, 0
INVAR-13, Run: 042, P, 18, 1825, 0
INVAR-13, Run: 043, P, 18, 1826, 0
INVAR-13, Run: 044, P, 18, 1793, 0
INVAR-13, Run: 045, P, 18, 1813, 0
INVAR-13, Run: 046, P, 18, 1825, 0
INVAR-13, Run: 047, P, 18, 1780, 0
INVAR-13, Run: 048, P, 18, 1823, 0
INVAR-13, Run: 049, P, 18, 1813, 0
INVAR-13, Run: 050, P, 18, 1841, 0
INVAR-13, Run: 051, P, 18, 1822, 0
INVAR-13, Run: 052, P, 18, 1795, 0
INVAR-13, Run: 053, P, 18, 1832, 0
INVAR-13, Run: 054, P, 18, 1755, 0
INVAR-13, Run: 055, P, 18, 1779, 0
INVAR-13, Run: 056, P, 18, 1755, 0
INVAR-13, Run: 057, P, 18, 1711, 0
INVAR-13, Run: 058, P, 18, 1841, 0
INVAR-13, Run: 059, P, 18, 1775, 0
INVAR-13, Run: 060, P, 18, 1865, 0
INVAR-13, Run: 061, P, 18, 1772, 0
INVAR-13, Run: 062, P, 18, 1780, 0
INVAR-13, Run: 063, P, 18, 1870, 0
INVAR-13, Run: 064, P, 18, 1894, 0
INVAR-13, Run: 065, P, 18, 1735, 0
INVAR-13, Run: 066, P, 18, 1759, 0
INVAR-13, Run: 067, P, 18, 1857, 0
INVAR-13, Run: 068, P, 18, 1783, 0
INVAR-13, Run: 069, P, 18, 1862, 0
INVAR-13, Run: 070, P, 18, 1774, 0
INVAR-13, Run: 071, P, 18, 1787, 0
INVAR-13, Run: 072, P, 18, 1772, 0
INVAR-13, Run: 073, P, 18, 1796, 0
INVAR-13, Run: 074, P, 18, 1799, 0
