Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-46, Run: 032, E, 0, 104, 200, 0, 200, 96, 96
INVAR-46, Run: 033, E, 0, 76, 200, 0, 200, 124, 124
INVAR-46, Run: 034, E, 0, 117, 200, 0, 200, 83, 83
INVAR-46, Run: 035, E, 0, 118, 200, 0, 200, 82, 82
INVAR-46, Run: 036, E, 0, 99, 200, 0, 200, 101, 101
INVAR-46, Run: 037, E, 0, 103, 200, 0, 200, 97, 97
INVAR-46, Run: 038, E, 0, 95, 200, 0, 200, 105, 105
INVAR-46, Run: 039, E, 0, 87, 200, 0, 200, 113, 113
INVAR-46, Run: 040, E, 0, 102, 200, 0, 200, 98, 98
INVAR-46, Run: 041, E, 0, 88, 200, 0, 200, 112, 112
INVAR-46, Run: 042, E, 0, 105, 200, 0, 200, 95, 95
INVAR-46, Run: 043, E, 0, 100, 200, 0, 200, 100, 100
INVAR-46, Run: 044, E, 0, 95, 200, 0, 200, 105, 105
INVAR-46, Run: 045, E, 0, 107, 200, 0, 200, 93, 93
INVAR-46, Run: 046, E, 0, 119, 200, 0, 200, 81, 81
INVAR-46, Run: 047, E, 0, 86, 200, 0, 200, 114, 114
INVAR-46, Run: 048, E, 0, 107, 200, 0, 200, 93, 93
INVAR-46, Run: 049, E, 0, 90, 200, 0, 200, 110, 110
INVAR-46, Run: 050, E, 0, 97, 200, 0, 200, 103, 103
INVAR-46, Run: 051, E, 0, 107, 200, 0, 200, 93, 93
INVAR-46, Run: 052, E, 0, 98, 200, 0, 200, 102, 102
INVAR-46, Run: 053, E, 0, 102, 200, 0, 200, 98, 98
INVAR-46, Run: 054, E, 0, 100, 200, 0, 200, 100, 100
INVAR-46, Run: 055, E, 0, 101, 200, 0, 200, 99, 99
INVAR-46, Run: 056, E, 0, 108, 200, 0, 200, 92, 92
INVAR-46, Run: 057, E, 0, 109, 200, 0, 200, 91, 91
INVAR-46, Run: 058, E, 0, 89, 200, 0, 200, 111, 111
INVAR-46, Run: 059, E, 0, 90, 200, 0, 200, 110, 110
INVAR-46, Run: 060, E, 0, 110, 200, 0, 200, 90, 90
INVAR-46, Run: 061, E, 0, 103, 200, 0, 200, 97, 97
INVAR-46, Run: 062, E, 0, 98, 200, 0, 200, 102, 102
INVAR-46, Run: 063, E, 0, 94, 200, 0, 200, 106, 106
INVAR-46, Run: 064, E, 0, 97, 200, 0, 200, 103, 103
INVAR-46, Run: 065, E, 0, 102, 200, 0, 200, 98, 98
INVAR-46, Run: 066, E, 0, 100, 200, 0, 200, 100, 100
INVAR-46, Run: 067, E, 0, 86, 200, 0, 200, 114, 114
