Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-5, Run: 003, F, 87, 0, 63
INVAR-5, Run: 004, F, 92, 0, 63
INVAR-5, Run: 005, F, 107, 0, 63
INVAR-5, Run: 006, F, 100, 0, 63
INVAR-5, Run: 007, F, 111, 0, 63
INVAR-5, Run: 008, F, 118, 0, 63
INVAR-5, Run: 009, F, 126, 0, 63
INVAR-5, Run: 010, F, 100, 0, 63
INVAR-5, Run: 011, F, 115, 0, 63
INVAR-5, Run: 012, F, 109, 0, 63
INVAR-5, Run: 013, F, 117, 0, 63
INVAR-5, Run: 014, F, 108, 0, 63
INVAR-5, Run: 015, F, 123, 0, 63
INVAR-5, Run: 016, F, 104, 0, 63
INVAR-5, Run: 017, F, 91, 0, 63
INVAR-5, Run: 018, F, 115, 0, 63
INVAR-5, Run: 019, F, 115, 0, 63
INVAR-5, Run: 020, F, 123, 0, 63
INVAR-5, Run: 021, F, 111, 0, 63
INVAR-5, Run: 022, F, 126, 0, 63
INVAR-5, Run: 023, F, 100, 0, 63
INVAR-5, Run: 024, F, 86, 0, 63
INVAR-5, Run: 025, F, 120, 0, 63
INVAR-5, Run: 026, F, 119, 0, 63
INVAR-5, Run: 027, F, 124, 0, 63
INVAR-5, Run: 028, F, 115, 0, 63
INVAR-5, Run: 029, F, 113, 0, 63
INVAR-5, Run: 030, F, 117, 0, 63
INVAR-5, Run: 031, F, 99, 0, 63
INVAR-5, Run: 032, F, 100, 0, 63
INVAR-5, Run: 033, F, 100, 0, 63
INVAR-5, Run: 034, F, 105, 0, 63
INVAR-5, Run: 035, F, 110, 0, 63
INVAR-5, Run: 036, F, 109, 0, 63
INVAR-5, Run: 037, F, 109, 0, 63
INVAR-5, Run: 038, F, 93, 0, 63
INVAR-5, Run: 039, F, 82, 0, 63
INVAR-5, Run: 040, F, 117, 0, 63
INVAR-5, Run: 041, F, 108, 0, 63
INVAR-5, Run: 042, F, 106, 0, 63
INVAR-5, Run: 043, F, 99, 0, 63
INVAR-5, Run: 044, F, 109, 0, 63
INVAR-5, Run: 045, F, 101, 0, 63
INVAR-5, Run: 046, F, 114, 0, 63
INVAR-5, Run: 047, F, 113, 0, 63
INVAR-5, Run: 048, F, 102, 0, 63
INVAR-5, Run: 049, F, 97, 0, 63
INVAR-5, Run: 050, F, 103, 0, 63
INVAR-5, Run: 051, F, 104, 0, 63
INVAR-5, Run: 052, F, 90, 0, 63
INVAR-5, Run: 053, F, 92, 0, 63
INVAR-5, Run: 054, F, 100, 0, 63
INVAR-5, Run: 055, F, 111, 0, 63
INVAR-5, Run: 056, F, 98, 0, 63
INVAR-5, Run: 057, F, 105, 0, 63
