Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP
INVAR-10, Run: 086, P, 0, 42, 5047, 50, 0
INVAR-10, Run: 087, P, 0, 42, 4945, 50, 0
INVAR-10, Run: 088, P, 0, 42, 5021, 50, 0
INVAR-10, Run: 089, P, 0, 42, 5101, 50, 0
INVAR-10, Run: 090, P, 0, 42, 5117, 50, 0
INVAR-10, Run: 091, P, 0, 42, 5043, 50, 0
INVAR-10, Run: 092, P, 0, 42, 5124, 50, 0
INVAR-10, Run: 093, P, 0, 42, 4948, 50, 0
INVAR-10, Run: 094, P, 0, 42, 4918, 50, 0
INVAR-10, Run: 095, P, 0, 42, 5064, 50, 0
INVAR-10, Run: 096, P, 0, 42, 4928, 50, 0
INVAR-10, Run: 097, P, 0, 42, 5048, 50, 0
INVAR-10, Run: 098, P, 0, 42, 5058, 50, 0
INVAR-10, Run: 099, P, 0, 42, 5062, 50, 0
INVAR-10, Run: 100, P, 0, 42, 5083, 50, 0
INVAR-11, Run: 001, P, 0, 58, 10076, 100, 0
INVAR-11, Run: 002, P, 0, 58, 10147, 100, 0
INVAR-11, Run: 003, P, 0, 58, 10127, 100, 0
INVAR-11, Run: 004, P, 0, 58, 10152, 100, 0
INVAR-11, Run: 005, P, 0, 58, 10118, 100, 0
INVAR-11, Run: 006, P, 0, 58, 10097, 100, 0
INVAR-11, Run: 007, P, 0, 58, 10148, 100, 0
INVAR-11, Run: 008, P, 0, 58, 10006, 100, 0
INVAR-11, Run: 009, P, 0, 58, 10123, 100, 0
INVAR-11, Run: 010, P, 0, 58, 10008, 100, 0
INVAR-11, Run: 011, P, 0, 58, 9802, 100, 0
INVAR-11, Run: 012, P, 0, 58, 9990, 100, 0
INVAR-11, Run: 013, P, 0, 58, 10114, 100, 0
INVAR-11, Run: 014, P, 0, 58, 10038, 100, 0
INVAR-11, Run: 015, P, 0, 58, 9987, 100, 0
INVAR-11, Run: 016, P, 0, 58, 10012, 100, 0
INVAR-11, Run: 017, P, 0, 58, 10032, 100, 0
INVAR-11, Run: 018, P, 0, 58, 10123, 100, 0
INVAR-11, Run: 019, P, 0, 58, 10154, 100, 0
INVAR-11, Run: 020, P, 0, 58, 10189, 100, 0
INVAR-11, Run: 021, P, 0, 58, 10083, 100, 0
INVAR-11, Run: 022, P, 0, 58, 10087, 100, 0
INVAR-11, Run: 023, P, 0, 58, 10161, 100, 0
INVAR-11, Run: 024, P, 0, 58, 10082, 100, 0
INVAR-11, Run: 025, P, 0, 58, 10254, 100, 0
