Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F
INVAR-2, Run: 002, F, 146, 14121, 0, 0, 0, 0, 0, 22, 0, 1, 101, 0
INVAR-2, Run: 003, F, 162, 15343, 0, 0, 0, 0, 0, 6, 0, 1, 109, 0
INVAR-2, Run: 004, F, 144, 13804, 0, 0, 0, 0, 0, 24, 0, 1, 100, 0
INVAR-2, Run: 005, F, 82, 7860, 0, 0, 0, 0, 0, 86, 0, 1, 69, 0
INVAR-2, Run: 006, F, 118, 11192, 0, 0, 0, 0, 0, 50, 0, 1, 87, 0
INVAR-2, Run: 007, F, 144, 13836, 0, 0, 0, 0, 0, 24, 0, 1, 100, 0
INVAR-2, Run: 008, F, 146, 13924, 0, 0, 0, 0, 0, 22, 0, 1, 101, 0
INVAR-2, Run: 009, F, 50, 4718, 0, 0, 0, 0, 0, 118, 0, 1, 53, 0
INVAR-2, Run: 010, F, 104, 9939, 0, 0, 0, 0, 0, 64, 0, 1, 80, 0
INVAR-2, Run: 011, F, 68, 6602, 0, 0, 0, 0, 0, 100, 0, 1, 62, 0
INVAR-2, Run: 012, F, 82, 7990, 0, 0, 0, 0, 0, 86, 0, 1, 69, 0
INVAR-2, Run: 013, F, 84, 8124, 0, 0, 0, 0, 0, 84, 0, 1, 70, 0
INVAR-2, Run: 014, F, 46, 4523, 0, 0, 0, 0, 0, 122, 0, 1, 51, 0
INVAR-2, Run: 015, F, 144, 13519, 0, 0, 0, 0, 0, 24, 0, 1, 100, 0
INVAR-2, Run: 016, F, 50, 4879, 0, 0, 0, 0, 0, 118, 0, 1, 53, 0
INVAR-2, Run: 017, F, 158, 15053, 0, 0, 0, 0, 0, 10, 0, 1, 107, 0
INVAR-2, Run: 018, F, 90, 8722, 0, 0, 0, 0, 0, 78, 0, 1, 73, 0
INVAR-2, Run: 019, F, 70, 6864, 0, 0, 0, 0, 0, 98, 0, 1, 63, 0
INVAR-2, Run: 020, F, 142, 13652, 0, 0, 0, 0, 0, 26, 0, 1, 99, 0
INVAR-2, Run: 021, F, 166, 15682, 0, 0, 0, 0, 0, 2, 0, 1, 111, 0
INVAR-2, Run: 022, F, 72, 6812, 0, 0, 0, 0, 0, 96, 0, 1, 64, 0
INVAR-2, Run: 023, F, 28, 2736, 0, 0, 0, 0, 0, 140, 0, 1, 42, 0
INVAR-2, Run: 024, F, 154, 14686, 0, 0, 0, 0, 0, 14, 0, 1, 105, 0
INVAR-2, Run: 025, F, 166, 15973, 0, 0, 0, 0, 0, 2, 0, 1, 111, 0
INVAR-2, Run: 026, F, 98, 9431, 0, 0, 0, 0, 0, 70, 0, 1, 77, 0
INVAR-2, Run: 027, F, 130, 12664, 0, 0, 0, 0, 0, 38, 0, 1, 93, 0
INVAR-2, Run: 028, F, 162, 15489, 0, 0, 0, 0, 0, 6, 0, 1, 109, 0
INVAR-2, Run: 029, F, 106, 10204, 0, 0, 0, 0, 0, 62, 0, 1, 81, 0
INVAR-2, Run: 030, F, 130, 12405, 0, 0, 0, 0, 0, 38, 0, 1, 93, 0
INVAR-2, Run: 031, F, 84, 8133, 0, 0, 0, 0, 0, 84, 0, 1, 70, 0
INVAR-2, Run: 032, F, 134, 12880, 0, 0, 0, 0, 0, 34, 0, 1, 95, 0
INVAR-2, Run: 033, F, 62, 6031, 0, 0, 0, 0, 0, 106, 0, 1, 59, 0
INVAR-2, Run: 034, F, 58, 5743, 0, 0, 0, 0, 0, 110, 0, 1, 57, 0
INVAR-2, Run: 035, F, 110, 10494, 0, 0, 0, 0, 0, 58, 0, 1, 83, 0
INVAR-2, Run: 036, F, 152, 14351, 0, 0, 0, 0, 0, 16, 0, 1, 104, 0
INVAR-2, Run: 037, F, 58, 5439, 0, 0, 0, 0, 0, 110, 0, 1, 57, 0
INVAR-2, Run: 038, F, 106, 10220, 0, 0, 0, 0, 0, 62, 0, 1, 81, 0
INVAR-2, Run: 039, F, 166, 15907, 0, 0, 0, 0, 0, 2, 0, 1, 111, 0
INVAR-2, Run: 040, F, 156, 14876, 0, 0, 0, 0, 0, 12, 0, 1, 106, 0
INVAR-2, Run: 041, F, 82, 7909, 0, 0, 0, 0, 0, 86, 0, 1, 69, 0
INVAR-2, Run: 042, F, 140, 13320, 0, 0, 0, 0, 0, 28, 0, 1, 98, 0
INVAR-2, Run: 043, F, 150, 14582, 0, 0, 0, 0, 0, 18, 0, 1, 103, 0
