Input Number, Run_Number, Result@ 100, A2, A1, F1, F1P, F2, F2P, Y
INVAR-11, Run: 005, P, 81, 8133, 0, 0, 0, 0, 5
INVAR-11, Run: 006, P, 81, 8175, 0, 0, 0, 0, 5
INVAR-11, Run: 007, P, 81, 8179, 0, 0, 0, 0, 5
INVAR-11, Run: 008, P, 81, 8221, 0, 0, 0, 0, 5
INVAR-11, Run: 009, P, 81, 8073, 0, 0, 0, 0, 5
INVAR-11, Run: 010, P, 82, 8388, 0, 0, 0, 0, 5
INVAR-11, Run: 011, P, 81, 8049, 0, 0, 0, 0, 5
INVAR-11, Run: 012, P, 81, 8110, 0, 0, 0, 0, 5
INVAR-11, Run: 013, P, 81, 8184, 0, 0, 0, 0, 5
INVAR-11, Run: 014, P, 81, 8244, 0, 0, 0, 0, 5
INVAR-11, Run: 015, P, 81, 8116, 0, 0, 0, 0, 5
INVAR-11, Run: 016, P, 81, 8224, 0, 0, 0, 0, 5
INVAR-11, Run: 017, P, 81, 8145, 0, 0, 0, 0, 5
INVAR-11, Run: 018, P, 81, 8214, 0, 0, 0, 0, 5
INVAR-11, Run: 019, P, 81, 8270, 0, 0, 0, 0, 5
INVAR-11, Run: 020, P, 81, 8205, 0, 0, 0, 0, 5
INVAR-11, Run: 021, P, 81, 8131, 0, 0, 0, 0, 5
INVAR-11, Run: 022, P, 82, 8249, 0, 0, 0, 0, 5
INVAR-11, Run: 023, P, 82, 8373, 0, 0, 0, 0, 5
INVAR-11, Run: 024, P, 81, 8197, 0, 0, 0, 0, 5
INVAR-11, Run: 025, P, 82, 8172, 0, 0, 0, 0, 5
INVAR-11, Run: 026, P, 81, 8222, 0, 0, 0, 0, 5
INVAR-11, Run: 027, P, 81, 8265, 0, 0, 0, 0, 5
INVAR-11, Run: 028, P, 81, 8169, 0, 0, 0, 0, 5
INVAR-11, Run: 029, P, 81, 8158, 0, 0, 0, 0, 5
INVAR-11, Run: 030, P, 82, 8361, 0, 0, 0, 0, 5
INVAR-11, Run: 031, P, 81, 8256, 0, 0, 0, 0, 5
INVAR-11, Run: 032, P, 81, 8181, 0, 0, 0, 0, 5
INVAR-11, Run: 033, P, 81, 8182, 0, 0, 0, 0, 5
INVAR-11, Run: 034, P, 81, 8124, 0, 0, 0, 0, 5
INVAR-11, Run: 035, P, 81, 8192, 0, 0, 0, 0, 5
INVAR-11, Run: 036, P, 81, 8163, 0, 0, 0, 0, 5
INVAR-11, Run: 037, P, 82, 8257, 0, 0, 0, 0, 5
INVAR-11, Run: 038, P, 81, 8303, 0, 0, 0, 0, 5
INVAR-11, Run: 039, P, 81, 8247, 0, 0, 0, 0, 5
INVAR-11, Run: 040, P, 81, 8127, 0, 0, 0, 0, 5
INVAR-11, Run: 041, P, 81, 8106, 0, 0, 0, 0, 5
INVAR-11, Run: 042, P, 81, 8076, 0, 0, 0, 0, 5
INVAR-11, Run: 043, P, 81, 8062, 0, 0, 0, 0, 5
INVAR-11, Run: 044, P, 81, 8234, 0, 0, 0, 0, 5
INVAR-11, Run: 045, P, 81, 8124, 0, 0, 0, 0, 5
INVAR-11, Run: 046, P, 81, 8288, 0, 0, 0, 0, 5
INVAR-11, Run: 047, P, 82, 8453, 0, 0, 0, 0, 5
INVAR-11, Run: 048, P, 81, 8268, 0, 0, 0, 0, 5
INVAR-11, Run: 049, P, 81, 8296, 0, 0, 0, 0, 5
INVAR-11, Run: 050, P, 82, 8361, 0, 0, 0, 0, 5
INVAR-11, Run: 051, P, 81, 8165, 0, 0, 0, 0, 5
INVAR-11, Run: 052, P, 81, 8161, 0, 0, 0, 0, 5
INVAR-11, Run: 053, P, 81, 8134, 0, 0, 0, 0, 5
INVAR-11, Run: 054, P, 81, 7925, 0, 0, 0, 0, 5
INVAR-11, Run: 055, P, 81, 8008, 0, 0, 0, 0, 5
INVAR-11, Run: 056, P, 81, 8179, 0, 0, 0, 0, 5
INVAR-11, Run: 057, P, 81, 8216, 0, 0, 0, 0, 5
INVAR-11, Run: 058, P, 81, 8223, 0, 0, 0, 0, 5
INVAR-11, Run: 059, P, 81, 8246, 0, 0, 0, 0, 5
INVAR-11, Run: 060, P, 81, 8185, 0, 0, 0, 0, 5
INVAR-11, Run: 061, P, 81, 8161, 0, 0, 0, 0, 5
INVAR-11, Run: 062, P, 81, 8098, 0, 0, 0, 0, 5
INVAR-11, Run: 063, P, 81, 8331, 0, 0, 0, 0, 5
INVAR-11, Run: 064, P, 81, 8308, 0, 0, 0, 0, 5
INVAR-11, Run: 065, P, 81, 8297, 0, 0, 0, 0, 5
INVAR-11, Run: 066, P, 81, 8132, 0, 0, 0, 0, 5
INVAR-11, Run: 067, P, 81, 8226, 0, 0, 0, 0, 5
INVAR-11, Run: 068, P, 82, 8273, 0, 0, 0, 0, 5
INVAR-11, Run: 069, P, 81, 8285, 0, 0, 0, 0, 5
INVAR-11, Run: 070, P, 81, 8172, 0, 0, 0, 0, 5
INVAR-11, Run: 071, P, 81, 8282, 0, 0, 0, 0, 5
INVAR-11, Run: 072, P, 81, 8049, 0, 0, 0, 0, 5
INVAR-11, Run: 073, P, 82, 8326, 0, 0, 0, 0, 5
INVAR-11, Run: 074, P, 81, 8163, 0, 0, 0, 0, 5
INVAR-11, Run: 075, P, 81, 8194, 0, 0, 0, 0, 5
INVAR-11, Run: 076, P, 81, 8222, 0, 0, 0, 0, 5
INVAR-11, Run: 077, P, 81, 7961, 0, 0, 0, 0, 5
INVAR-11, Run: 078, P, 81, 8244, 0, 0, 0, 0, 5
INVAR-11, Run: 079, P, 81, 8239, 0, 0, 0, 0, 5
INVAR-11, Run: 080, P, 81, 8307, 0, 0, 0, 0, 5
INVAR-11, Run: 081, P, 81, 8250, 0, 0, 0, 0, 5
INVAR-11, Run: 082, P, 82, 8434, 0, 0, 0, 0, 5
INVAR-11, Run: 083, P, 82, 8244, 0, 0, 0, 0, 5
INVAR-11, Run: 084, P, 82, 8257, 0, 0, 0, 0, 5
INVAR-11, Run: 085, P, 81, 8230, 0, 0, 0, 0, 5
INVAR-11, Run: 086, P, 81, 8033, 0, 0, 0, 0, 5
INVAR-11, Run: 087, P, 82, 8307, 0, 0, 0, 0, 5
INVAR-11, Run: 088, P, 81, 8142, 0, 0, 0, 0, 5
INVAR-11, Run: 089, P, 82, 8222, 0, 0, 0, 0, 5
INVAR-11, Run: 090, P, 82, 8334, 0, 0, 0, 0, 5
INVAR-11, Run: 091, P, 81, 8254, 0, 0, 0, 0, 5
INVAR-11, Run: 092, P, 81, 8164, 0, 0, 0, 0, 5
INVAR-11, Run: 093, P, 81, 8079, 0, 0, 0, 0, 5
INVAR-11, Run: 094, P, 82, 8367, 0, 0, 0, 0, 5
INVAR-11, Run: 095, P, 81, 8174, 0, 0, 0, 0, 5
INVAR-11, Run: 096, P, 81, 8313, 0, 0, 0, 0, 5
INVAR-11, Run: 097, P, 81, 8177, 0, 0, 0, 0, 5
INVAR-11, Run: 098, P, 81, 8176, 0, 0, 0, 0, 5
INVAR-11, Run: 099, P, 81, 8091, 0, 0, 0, 0, 5
INVAR-11, Run: 100, P, 81, 8410, 0, 0, 0, 0, 5
INVAR-12, Run: 001, P, 157, 16002, 0, 0, 0, 0, 5
INVAR-12, Run: 002, P, 157, 15974, 0, 0, 0, 0, 5
INVAR-12, Run: 003, P, 157, 15719, 0, 0, 0, 0, 5
INVAR-12, Run: 004, P, 157, 15750, 0, 0, 0, 0, 5
INVAR-12, Run: 005, P, 157, 16047, 0, 0, 0, 0, 5
INVAR-12, Run: 006, P, 157, 16002, 0, 0, 0, 0, 5
INVAR-12, Run: 007, P, 157, 15895, 0, 0, 0, 0, 5
INVAR-12, Run: 008, P, 157, 15831, 0, 0, 0, 0, 5
INVAR-12, Run: 009, P, 157, 15810, 0, 0, 0, 0, 5
INVAR-12, Run: 010, P, 157, 15840, 0, 0, 0, 0, 5
INVAR-12, Run: 011, P, 157, 15779, 0, 0, 0, 0, 5
INVAR-12, Run: 012, P, 157, 15662, 0, 0, 0, 0, 5
INVAR-12, Run: 013, P, 157, 15922, 0, 0, 0, 0, 5
INVAR-12, Run: 014, P, 157, 16068, 0, 0, 0, 0, 5
INVAR-12, Run: 015, P, 157, 15934, 0, 0, 0, 0, 5
INVAR-12, Run: 016, P, 157, 15927, 0, 0, 0, 0, 5
INVAR-12, Run: 017, P, 157, 15896, 0, 0, 0, 0, 5
INVAR-12, Run: 018, P, 157, 15821, 0, 0, 0, 0, 5
