Input Number, Run_Number, Result@ 100, C, F, D, X1, A, B, PO, CO, Y, PE, CE, E
5, Run: 056, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 057, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 058, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 059, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 060, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 061, F, 0, 0, 0, 0, 1, 0, 1, 209, 209, 0, 0, 26
5, Run: 062, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 063, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 064, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 065, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 066, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 067, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 068, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 069, F, 0, 1, 0, 0, 1, 0, 1, 208, 208, 0, 0, 26
5, Run: 070, F, 0, 1, 0, 0, 1, 0, 1, 196, 196, 0, 0, 26
5, Run: 071, F, 0, 0, 0, 0, 1, 0, 1, 209, 209, 0, 0, 26
5, Run: 072, F, 0, 1, 0, 0, 1, 0, 1, 208, 208, 0, 0, 26
5, Run: 073, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 074, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 075, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 076, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 077, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 078, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 079, F, 0, 0, 0, 0, 1, 0, 1, 193, 193, 0, 0, 26
5, Run: 080, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 081, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 082, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 083, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 084, F, 0, 0, 0, 0, 1, 0, 1, 217, 217, 0, 0, 26
5, Run: 085, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 086, F, 0, 1, 0, 0, 1, 0, 1, 196, 196, 0, 0, 26
5, Run: 087, F, 0, 0, 0, 0, 1, 0, 1, 197, 197, 0, 0, 26
5, Run: 088, F, 0, 0, 0, 0, 1, 0, 1, 209, 209, 0, 0, 26
5, Run: 089, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 090, F, 0, 0, 0, 0, 1, 0, 1, 213, 213, 0, 0, 26
5, Run: 091, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 092, F, 0, 1, 0, 0, 1, 0, 1, 212, 212, 0, 0, 26
5, Run: 093, F, 0, 1, 0, 0, 1, 0, 1, 208, 208, 0, 0, 26
5, Run: 094, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 095, F, 0, 1, 0, 0, 1, 0, 1, 204, 204, 0, 0, 26
5, Run: 096, F, 0, 1, 0, 0, 1, 0, 1, 192, 192, 0, 0, 26
5, Run: 097, F, 0, 0, 0, 0, 1, 0, 1, 201, 201, 0, 0, 26
5, Run: 098, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
5, Run: 099, F, 0, 1, 0, 0, 1, 0, 1, 204, 204, 0, 0, 26
5, Run: 100, F, 0, 0, 0, 0, 1, 0, 1, 205, 205, 0, 0, 26
6, Run: 001, F, 0, 0, 0, 0, 1, 0, 1, 667, 667, 0, 0, 87
6, Run: 002, F, 0, 0, 0, 0, 1, 0, 1, 663, 663, 0, 0, 87
6, Run: 003, F, 0, 0, 0, 0, 1, 0, 1, 663, 663, 0, 0, 87
6, Run: 004, F, 0, 0, 0, 0, 1, 0, 1, 663, 663, 0, 0, 87
6, Run: 005, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 006, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 007, F, 0, 0, 0, 0, 1, 0, 1, 659, 659, 0, 0, 87
6, Run: 008, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 009, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 010, F, 0, 0, 0, 0, 1, 0, 1, 699, 699, 0, 0, 87
6, Run: 011, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 012, F, 0, 0, 0, 0, 1, 0, 1, 683, 683, 0, 0, 87
6, Run: 013, F, 0, 1, 0, 0, 1, 0, 1, 678, 678, 0, 0, 87
6, Run: 014, F, 0, 0, 0, 0, 1, 0, 1, 687, 687, 0, 0, 87
6, Run: 015, F, 0, 0, 0, 0, 1, 0, 1, 691, 691, 0, 0, 87
6, Run: 016, F, 0, 0, 0, 0, 1, 0, 1, 683, 683, 0, 0, 87
6, Run: 017, F, 0, 0, 0, 0, 1, 0, 1, 711, 711, 0, 0, 87
6, Run: 018, F, 0, 0, 0, 0, 1, 0, 1, 687, 687, 0, 0, 87
6, Run: 019, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 020, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 021, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 022, F, 0, 0, 0, 0, 1, 0, 1, 667, 667, 0, 0, 87
6, Run: 023, F, 0, 0, 0, 0, 1, 0, 1, 687, 687, 0, 0, 87
6, Run: 024, F, 0, 0, 0, 0, 1, 0, 1, 651, 651, 0, 0, 87
6, Run: 025, F, 0, 0, 0, 0, 1, 0, 1, 671, 671, 0, 0, 87
6, Run: 026, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 027, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 028, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 029, F, 0, 0, 0, 0, 1, 0, 1, 663, 663, 0, 0, 87
6, Run: 030, F, 0, 0, 0, 0, 1, 0, 1, 687, 687, 0, 0, 87
6, Run: 031, F, 0, 0, 0, 0, 1, 0, 1, 647, 647, 0, 0, 87
6, Run: 032, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 033, F, 0, 0, 0, 0, 1, 0, 1, 715, 715, 0, 0, 87
6, Run: 034, F, 0, 0, 0, 0, 1, 0, 1, 711, 711, 0, 0, 87
6, Run: 035, F, 0, 0, 0, 0, 1, 0, 1, 675, 675, 0, 0, 87
6, Run: 036, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 037, F, 0, 0, 0, 0, 1, 0, 1, 687, 687, 0, 0, 87
6, Run: 038, F, 0, 0, 0, 0, 1, 0, 1, 683, 683, 0, 0, 87
6, Run: 039, F, 0, 1, 0, 0, 1, 0, 1, 674, 674, 0, 0, 87
6, Run: 040, F, 0, 0, 0, 0, 1, 0, 1, 659, 659, 0, 0, 87
6, Run: 041, F, 0, 0, 0, 0, 1, 0, 1, 687, 687, 0, 0, 87
6, Run: 042, F, 0, 0, 0, 0, 1, 0, 1, 679, 679, 0, 0, 87
6, Run: 043, F, 0, 0, 0, 0, 1, 0, 1, 683, 683, 0, 0, 87
6, Run: 044, F, 0, 0, 0, 0, 1, 0, 1, 687, 687, 0, 0, 87
