Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
INVAR-10, Run: 091, P, 0, 124, 0, 0, 0, 0, 0, 576, 0, 0, 1, 0
INVAR-10, Run: 092, P, 0, 116, 0, 0, 0, 0, 0, 584, 0, 0, 1, 0
INVAR-10, Run: 093, P, 0, 112, 0, 0, 0, 0, 0, 588, 0, 0, 1, 0
INVAR-10, Run: 094, P, 0, 126, 0, 0, 0, 0, 0, 574, 0, 0, 1, 0
INVAR-10, Run: 095, P, 0, 114, 0, 0, 0, 0, 0, 462, 124, 124, 0, 0
INVAR-10, Run: 096, P, 0, 114, 0, 0, 0, 0, 0, 586, 0, 0, 1, 0
INVAR-10, Run: 097, P, 0, 117, 0, 0, 0, 0, 0, 582, 0, 2, 1, 2
INVAR-10, Run: 098, P, 0, 112, 0, 0, 0, 0, 0, 155, 433, 433, 0, 0
INVAR-10, Run: 099, P, 0, 116, 0, 0, 0, 0, 0, 584, 0, 0, 1, 0
INVAR-10, Run: 100, P, 0, 118, 0, 0, 0, 0, 0, 558, 24, 24, 0, 0
INVAR-2, Run: 001, P, 0, 38, 0, 0, 0, 0, 0, 46, 112, 112, 0, 0
INVAR-2, Run: 002, P, 0, 40, 0, 0, 0, 0, 0, 38, 118, 118, 0, 0
INVAR-2, Run: 003, P, 0, 38, 0, 0, 0, 0, 0, 158, 0, 0, 1, 0
INVAR-2, Run: 004, P, 0, 40, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0
INVAR-2, Run: 005, P, 0, 38, 0, 0, 0, 0, 0, 22, 136, 136, 0, 0
INVAR-2, Run: 006, P, 0, 42, 0, 0, 0, 0, 0, 6, 148, 148, 0, 0
INVAR-2, Run: 007, P, 0, 34, 0, 0, 0, 0, 0, 162, 0, 0, 1, 0
INVAR-2, Run: 008, P, 0, 43, 0, 0, 1, 0, 0, 130, 22, 23, 0, 1
INVAR-2, Run: 009, P, 0, 42, 0, 0, 0, 0, 0, 54, 100, 100, 0, 0
INVAR-2, Run: 010, P, 0, 40, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0
INVAR-2, Run: 011, P, 0, 36, 0, 0, 0, 0, 0, 10, 150, 150, 0, 0
INVAR-2, Run: 012, P, 0, 40, 0, 0, 0, 0, 0, 57, 99, 99, 0, 0
