Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 004, P, 309, 1, 0, 0, 0, 0, 204, 0, 1, 600, 0, 105, 200, 966, 5454, 100, 69, 30, 100, 200, 300, 1170, 5454
INVAR-10, Run: 005, P, 290, 2, 0, 0, 0, 0, 194, 0, 1, 600, 0, 96, 200, 974, 5361, 100, 55, 44, 100, 200, 300, 1168, 5361
INVAR-10, Run: 006, P, 292, 0, 0, 0, 0, 0, 196, 0, 1, 600, 0, 96, 200, 793, 4579, 100, 58, 41, 100, 200, 300, 989, 4579
INVAR-10, Run: 007, P, 310, 0, 0, 0, 0, 0, 205, 0, 1, 600, 0, 105, 200, 863, 4787, 100, 59, 40, 100, 200, 300, 1068, 4787
INVAR-10, Run: 008, P, 282, 0, 0, 0, 0, 0, 191, 0, 1, 600, 0, 91, 200, 828, 4432, 100, 70, 29, 100, 200, 300, 1019, 4432
INVAR-10, Run: 009, P, 272, 0, 0, 0, 0, 0, 186, 0, 1, 600, 0, 86, 200, 975, 5214, 100, 54, 45, 100, 200, 300, 1161, 5214
INVAR-10, Run: 010, P, 304, 0, 0, 0, 0, 0, 202, 0, 1, 600, 0, 102, 200, 818, 5324, 100, 64, 35, 100, 200, 300, 1020, 5324
INVAR-10, Run: 011, P, 272, 0, 0, 0, 0, 0, 186, 0, 1, 600, 0, 86, 200, 903, 5040, 100, 65, 34, 100, 200, 300, 1089, 5040
INVAR-10, Run: 012, P, 298, 2, 0, 0, 0, 0, 198, 0, 1, 600, 0, 100, 200, 689, 5344, 100, 69, 30, 100, 200, 300, 887, 5344
INVAR-10, Run: 013, P, 266, 0, 0, 0, 0, 0, 183, 0, 1, 600, 0, 83, 200, 908, 5450, 100, 49, 50, 100, 200, 300, 1091, 5450
INVAR-10, Run: 014, P, 272, 2, 0, 0, 0, 0, 185, 0, 1, 600, 0, 87, 200, 694, 4316, 100, 69, 30, 100, 200, 300, 879, 4316
INVAR-10, Run: 015, P, 275, 3, 0, 0, 0, 0, 186, 0, 1, 600, 0, 89, 200, 780, 4866, 100, 68, 31, 100, 200, 300, 966, 4866
INVAR-10, Run: 016, P, 283, 1, 0, 0, 0, 0, 191, 0, 1, 600, 0, 92, 200, 989, 6427, 100, 59, 40, 100, 200, 300, 1180, 6427
INVAR-10, Run: 017, P, 324, 0, 0, 0, 0, 0, 212, 0, 1, 600, 0, 112, 200, 829, 4770, 100, 67, 32, 100, 200, 300, 1041, 4770
INVAR-10, Run: 018, P, 277, 3, 0, 0, 0, 0, 187, 0, 1, 600, 0, 90, 200, 756, 4131, 100, 67, 32, 100, 200, 300, 943, 4131
INVAR-10, Run: 019, P, 312, 0, 0, 0, 0, 0, 206, 0, 1, 600, 0, 106, 200, 1029, 6141, 100, 66, 33, 100, 200, 300, 1235, 6141
INVAR-10, Run: 020, P, 278, 0, 0, 0, 0, 0, 189, 0, 1, 600, 0, 89, 200, 756, 5169, 100, 59, 40, 100, 200, 300, 945, 5169
INVAR-10, Run: 021, P, 292, 2, 0, 0, 0, 0, 195, 0, 1, 600, 0, 97, 200, 682, 4396, 100, 45, 54, 100, 200, 300, 877, 4396
INVAR-10, Run: 022, P, 337, 1, 0, 0, 0, 0, 218, 0, 1, 600, 0, 119, 200, 727, 4697, 100, 61, 38, 100, 200, 300, 945, 4697
INVAR-10, Run: 023, P, 276, 0, 0, 0, 0, 0, 188, 0, 1, 600, 0, 88, 200, 1111, 6496, 100, 59, 40, 100, 200, 300, 1299, 6496
INVAR-10, Run: 024, P, 353, 1, 0, 0, 0, 0, 226, 0, 1, 600, 0, 127, 200, 789, 4998, 100, 70, 29, 100, 200, 300, 1015, 4998
INVAR-10, Run: 025, P, 338, 0, 0, 0, 0, 0, 219, 0, 1, 600, 0, 119, 200, 926, 4517, 100, 64, 35, 100, 200, 300, 1145, 4517
INVAR-10, Run: 026, P, 304, 0, 0, 0, 0, 0, 202, 0, 1, 600, 0, 102, 200, 1136, 5645, 100, 63, 36, 100, 200, 300, 1338, 5645
INVAR-10, Run: 027, P, 300, 0, 0, 0, 0, 0, 200, 0, 1, 600, 0, 100, 200, 983, 4141, 100, 62, 37, 100, 200, 300, 1183, 4141
INVAR-10, Run: 028, P, 294, 0, 0, 0, 0, 0, 197, 0, 1, 600, 0, 97, 200, 910, 5228, 100, 67, 32, 100, 200, 300, 1107, 5228
INVAR-10, Run: 029, P, 307, 1, 0, 0, 0, 0, 203, 0, 1, 600, 0, 104, 200, 805, 5164, 100, 55, 44, 100, 200, 300, 1008, 5164
