Input Number, Run_Number, Result@ 100, X1, X2, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-10, Run: 051, P, 0, 12, 0, 0, 2, 0, 9, 7
INVAR-10, Run: 052, P, 0, 11, 0, 1, 3, 0, 9, 6
INVAR-10, Run: 053, P, 0, 10, 0, 2, 6, 5, 11, 10
INVAR-10, Run: 054, P, 0, 0, 0, 12, 7, 20, 2, 15
INVAR-10, Run: 055, P, 0, 0, 0, 12, 6, 6, 1, 1
INVAR-10, Run: 056, P, 0, 0, 0, 12, 5, 6, 0, 1
INVAR-10, Run: 057, P, 0, 11, 0, 1, 2, 1, 8, 7
INVAR-10, Run: 058, P, 0, 11, 0, 1, 2, 1, 8, 7
INVAR-10, Run: 059, P, 0, 10, 0, 2, 7, 1, 12, 6
INVAR-10, Run: 060, P, 0, 0, 0, 12, 6, 10, 1, 5
INVAR-10, Run: 061, P, 0, 9, 0, 3, 1, 4, 5, 8
INVAR-10, Run: 062, P, 0, 0, 0, 12, 5, 8, 0, 3
INVAR-10, Run: 063, P, 0, 10, 0, 2, 6, 1, 11, 6
INVAR-10, Run: 064, P, 0, 0, 0, 12, 6, 11, 1, 6
INVAR-10, Run: 065, P, 0, 12, 0, 0, 5, 3, 12, 10
INVAR-10, Run: 066, P, 0, 9, 0, 3, 5, 6, 9, 10
INVAR-10, Run: 067, P, 0, 0, 0, 12, 6, 8, 1, 3
INVAR-10, Run: 068, P, 0, 3, 0, 9, 4, 7, 2, 5
INVAR-10, Run: 069, P, 0, 10, 0, 2, 10, 8, 15, 13
INVAR-10, Run: 070, P, 0, 8, 0, 4, 3, 1, 6, 4
INVAR-10, Run: 071, P, 0, 6, 0, 6, 4, 2, 5, 3
INVAR-10, Run: 072, P, 0, 11, 0, 1, 0, 2, 6, 8
INVAR-10, Run: 073, P, 0, 11, 0, 1, 2, 0, 8, 6
INVAR-10, Run: 074, P, 0, 0, 0, 12, 5, 7, 0, 2
INVAR-10, Run: 075, P, 0, 0, 0, 12, 6, 10, 1, 5
INVAR-10, Run: 076, P, 0, 9, 0, 3, 10, 8, 14, 12
INVAR-10, Run: 077, P, 0, 0, 0, 12, 5, 5, 0, 0
INVAR-10, Run: 078, P, 0, 0, 0, 12, 5, 6, 0, 1
INVAR-10, Run: 079, P, 0, 10, 0, 2, 4, 4, 9, 9
INVAR-10, Run: 080, P, 0, 8, 0, 4, 3, 3, 6, 6
INVAR-10, Run: 081, P, 0, 0, 0, 12, 6, 8, 1, 3
INVAR-10, Run: 082, P, 0, 0, 0, 12, 8, 12, 3, 7
INVAR-10, Run: 083, P, 0, 9, 0, 3, 7, 5, 11, 9
INVAR-10, Run: 084, P, 0, 8, 0, 4, 4, 1, 7, 4
INVAR-10, Run: 085, P, 0, 11, 0, 1, 3, 3, 9, 9
INVAR-10, Run: 086, P, 0, 0, 0, 12, 6, 7, 1, 2
INVAR-10, Run: 087, P, 0, 0, 0, 12, 6, 6, 1, 1
INVAR-10, Run: 088, P, 0, 0, 0, 12, 6, 9, 1, 4
INVAR-10, Run: 089, P, 0, 0, 0, 12, 7, 7, 2, 2
INVAR-10, Run: 090, P, 0, 7, 0, 5, 7, 7, 9, 9
INVAR-10, Run: 091, P, 0, 9, 0, 3, 4, 1, 8, 5
INVAR-10, Run: 092, P, 0, 0, 0, 12, 5, 5, 0, 0
INVAR-10, Run: 093, P, 0, 12, 0, 0, 7, 3, 14, 10
INVAR-10, Run: 094, P, 0, 0, 0, 12, 7, 7, 2, 2
INVAR-10, Run: 095, P, 0, 0, 0, 12, 7, 9, 2, 4
