Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E
INVAR-2, Run: 024, F, 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 0, 12
INVAR-2, Run: 025, F, 0, 1, 0, 0, 0, 0, 154, 0, 0, 1, 0, 13
INVAR-2, Run: 026, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 027, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 028, F, 0, 1, 0, 0, 0, 0, 154, 0, 0, 1, 0, 13
INVAR-2, Run: 029, F, 0, 1, 0, 0, 0, 0, 152, 0, 0, 1, 0, 11
INVAR-2, Run: 030, F, 0, 1, 0, 0, 0, 0, 154, 0, 0, 1, 0, 13
INVAR-2, Run: 031, F, 0, 1, 0, 0, 0, 0, 154, 0, 2, 1, 2, 12
INVAR-2, Run: 032, F, 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 0, 12
INVAR-2, Run: 033, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 034, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 035, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 036, F, 0, 1, 0, 0, 0, 0, 150, 0, 0, 1, 0, 9
INVAR-2, Run: 037, F, 0, 1, 0, 0, 0, 0, 154, 0, 0, 1, 0, 13
INVAR-2, Run: 038, F, 0, 0, 0, 0, 0, 0, 158, 0, 0, 1, 0, 18
INVAR-2, Run: 039, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 040, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 041, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 042, F, 0, 1, 0, 0, 0, 0, 154, 0, 0, 1, 0, 13
INVAR-2, Run: 043, F, 0, 1, 0, 0, 0, 0, 154, 0, 0, 1, 0, 13
INVAR-2, Run: 044, F, 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 0, 12
INVAR-2, Run: 045, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 046, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 047, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 048, F, 0, 0, 0, 0, 0, 0, 160, 0, 2, 1, 2, 19
INVAR-2, Run: 049, F, 0, 1, 0, 0, 0, 0, 158, 0, 0, 1, 0, 17
INVAR-2, Run: 050, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 051, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 052, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 053, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 054, F, 0, 0, 0, 0, 0, 0, 150, 0, 0, 1, 0, 10
INVAR-2, Run: 055, F, 0, 0, 0, 0, 0, 0, 158, 0, 2, 1, 2, 17
INVAR-2, Run: 056, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 057, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 058, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 059, F, 0, 0, 0, 0, 0, 0, 154, 0, 2, 1, 2, 13
INVAR-2, Run: 060, F, 0, 1, 0, 0, 0, 0, 156, 0, 0, 1, 0, 15
INVAR-2, Run: 061, F, 0, 1, 0, 0, 0, 0, 154, 0, 2, 1, 2, 12
INVAR-2, Run: 062, F, 0, 0, 0, 0, 0, 0, 154, 0, 0, 1, 0, 14
INVAR-2, Run: 063, F, 0, 0, 0, 0, 0, 0, 150, 0, 0, 1, 0, 10
INVAR-2, Run: 064, F, 0, 1, 0, 0, 0, 0, 152, 0, 0, 1, 0, 11
INVAR-2, Run: 065, F, 0, 1, 0, 0, 0, 0, 150, 0, 2, 1, 2, 8
INVAR-2, Run: 066, F, 0, 1, 0, 0, 0, 0, 158, 0, 0, 1, 0, 17
INVAR-2, Run: 067, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
INVAR-2, Run: 068, F, 0, 0, 0, 0, 0, 0, 156, 0, 2, 1, 2, 15
INVAR-2, Run: 069, F, 0, 1, 0, 0, 0, 0, 158, 0, 0, 1, 0, 17
INVAR-2, Run: 070, F, 0, 0, 0, 0, 0, 0, 156, 0, 0, 1, 0, 16
