Input Number, Run_Number, Result@ 100, X, XP, Z, YP
INVAR-10, Run: 023, E, 0, 0, 88, 46
INVAR-10, Run: 024, E, 0, 0, 91, 49
INVAR-10, Run: 025, E, 0, 0, 124, 82
INVAR-10, Run: 026, E, 0, 0, 102, 60
INVAR-10, Run: 027, E, 0, 0, 121, 79
INVAR-10, Run: 028, E, 0, 0, 93, 51
INVAR-10, Run: 029, E, 0, 0, 107, 65
INVAR-10, Run: 030, E, 0, 0, 109, 67
INVAR-10, Run: 031, E, 0, 0, 119, 77
INVAR-10, Run: 032, E, 0, 0, 106, 64
INVAR-10, Run: 033, E, 0, 0, 95, 53
INVAR-10, Run: 034, E, 0, 0, 97, 55
INVAR-10, Run: 035, E, 0, 0, 97, 55
INVAR-10, Run: 036, E, 0, 0, 101, 59
INVAR-10, Run: 037, E, 0, 0, 109, 67
INVAR-10, Run: 038, E, 0, 0, 92, 50
INVAR-10, Run: 039, E, 0, 0, 98, 56
INVAR-10, Run: 040, E, 0, 0, 94, 52
INVAR-10, Run: 041, E, 0, 0, 106, 64
INVAR-10, Run: 042, E, 0, 0, 80, 38
INVAR-10, Run: 043, E, 0, 0, 92, 50
INVAR-10, Run: 044, E, 0, 0, 120, 78
INVAR-10, Run: 045, E, 0, 0, 92, 50
INVAR-10, Run: 046, E, 0, 0, 103, 61
INVAR-10, Run: 047, E, 0, 0, 93, 51
INVAR-10, Run: 048, E, 0, 0, 105, 63
INVAR-10, Run: 049, E, 0, 0, 104, 62
INVAR-10, Run: 050, E, 0, 0, 90, 48
INVAR-10, Run: 051, E, 0, 0, 104, 62
INVAR-10, Run: 052, E, 0, 0, 99, 57
INVAR-10, Run: 053, E, 0, 0, 84, 42
INVAR-10, Run: 054, E, 0, 0, 104, 62
INVAR-10, Run: 055, E, 0, 0, 101, 59
INVAR-10, Run: 056, E, 0, 0, 105, 63
INVAR-10, Run: 057, E, 0, 0, 86, 44
INVAR-10, Run: 058, E, 0, 0, 114, 72
INVAR-10, Run: 059, E, 0, 0, 94, 52
INVAR-10, Run: 060, E, 0, 0, 93, 51
INVAR-10, Run: 061, E, 0, 0, 99, 57
INVAR-10, Run: 062, E, 0, 0, 98, 56
INVAR-10, Run: 063, E, 0, 0, 98, 56
INVAR-10, Run: 064, E, 0, 0, 100, 58
INVAR-10, Run: 065, E, 0, 0, 88, 46
INVAR-10, Run: 066, E, 0, 0, 87, 45
INVAR-10, Run: 067, E, 0, 0, 102, 60
INVAR-10, Run: 068, E, 0, 0, 104, 62
INVAR-10, Run: 069, E, 0, 0, 99, 57
INVAR-10, Run: 070, E, 0, 0, 82, 40
INVAR-10, Run: 071, E, 0, 0, 86, 44
INVAR-10, Run: 072, E, 0, 0, 101, 59
INVAR-10, Run: 073, E, 0, 0, 94, 52
