Input Number, Run_Number, Result@ 100, Y, X1, X2, NEW_REACTION, Reaction1, Reaction2
INVAR-11, Run: 030, P, 42, 0, 0, 4197, 100, 58
INVAR-11, Run: 031, P, 42, 0, 0, 4210, 100, 58
INVAR-11, Run: 032, P, 42, 0, 0, 4041, 100, 58
INVAR-11, Run: 033, P, 42, 0, 0, 4097, 100, 58
INVAR-11, Run: 034, P, 42, 0, 0, 4112, 100, 58
INVAR-11, Run: 035, P, 42, 0, 0, 4102, 100, 58
INVAR-11, Run: 036, P, 42, 0, 0, 4095, 100, 58
INVAR-11, Run: 037, P, 42, 0, 0, 4136, 100, 58
INVAR-11, Run: 038, P, 42, 0, 0, 4105, 100, 58
INVAR-11, Run: 039, P, 42, 0, 0, 4075, 100, 58
INVAR-11, Run: 040, P, 42, 0, 0, 4101, 100, 58
INVAR-11, Run: 041, P, 42, 0, 0, 4293, 100, 58
INVAR-11, Run: 042, P, 42, 0, 0, 4068, 100, 58
INVAR-11, Run: 043, P, 42, 0, 0, 4180, 100, 58
INVAR-11, Run: 044, P, 42, 0, 0, 4243, 100, 58
INVAR-11, Run: 045, P, 42, 0, 0, 4055, 100, 58
INVAR-11, Run: 046, P, 42, 0, 0, 4227, 100, 58
INVAR-11, Run: 047, P, 42, 0, 0, 4161, 100, 58
INVAR-11, Run: 048, P, 42, 0, 0, 4148, 100, 58
INVAR-11, Run: 049, P, 42, 0, 0, 4047, 100, 58
INVAR-11, Run: 050, P, 42, 0, 0, 4061, 100, 58
INVAR-11, Run: 051, P, 42, 0, 0, 4092, 100, 58
INVAR-11, Run: 052, P, 42, 0, 0, 4096, 100, 58
INVAR-11, Run: 053, P, 42, 0, 0, 4102, 100, 58
INVAR-11, Run: 054, P, 42, 0, 0, 4061, 100, 58
INVAR-11, Run: 055, P, 42, 0, 0, 4128, 100, 58
INVAR-11, Run: 056, P, 42, 0, 0, 4103, 100, 58
INVAR-11, Run: 057, P, 42, 0, 0, 4165, 100, 58
INVAR-11, Run: 058, P, 42, 0, 0, 4150, 100, 58
INVAR-11, Run: 059, P, 42, 0, 0, 4097, 100, 58
INVAR-11, Run: 060, P, 42, 0, 0, 4036, 100, 58
INVAR-11, Run: 061, P, 42, 0, 0, 4206, 100, 58
INVAR-11, Run: 062, P, 42, 0, 0, 4136, 100, 58
INVAR-11, Run: 063, P, 42, 0, 0, 4078, 100, 58
INVAR-11, Run: 064, P, 42, 0, 0, 4097, 100, 58
INVAR-11, Run: 065, P, 42, 0, 0, 4317, 100, 58
INVAR-11, Run: 066, P, 42, 0, 0, 4177, 100, 58
INVAR-11, Run: 067, P, 42, 0, 0, 4214, 100, 58
INVAR-11, Run: 068, P, 42, 0, 0, 4146, 100, 58
INVAR-11, Run: 069, P, 42, 0, 0, 4147, 100, 58
INVAR-11, Run: 070, P, 42, 0, 0, 4099, 100, 58
INVAR-11, Run: 071, P, 42, 0, 0, 4119, 100, 58
INVAR-11, Run: 072, P, 42, 0, 0, 4151, 100, 58
INVAR-11, Run: 073, P, 42, 0, 0, 4059, 100, 58
INVAR-11, Run: 074, P, 42, 0, 0, 4112, 100, 58
INVAR-11, Run: 075, P, 42, 0, 0, 4197, 100, 58
INVAR-11, Run: 076, P, 42, 0, 0, 4074, 100, 58
INVAR-11, Run: 077, P, 42, 0, 0, 4192, 100, 58
INVAR-11, Run: 078, P, 42, 0, 0, 4036, 100, 58
INVAR-11, Run: 079, P, 42, 0, 0, 4061, 100, 58
INVAR-11, Run: 080, P, 42, 0, 0, 4073, 100, 58
INVAR-11, Run: 081, P, 42, 0, 0, 4116, 100, 58
INVAR-11, Run: 082, P, 42, 0, 0, 4115, 100, 58
INVAR-11, Run: 083, P, 42, 0, 0, 4129, 100, 58
INVAR-11, Run: 084, P, 42, 0, 0, 4024, 100, 58
INVAR-11, Run: 085, P, 42, 0, 0, 4150, 100, 58
INVAR-11, Run: 086, P, 42, 0, 0, 4204, 100, 58
INVAR-11, Run: 087, P, 42, 0, 0, 4185, 100, 58
INVAR-11, Run: 088, P, 42, 0, 0, 4113, 100, 58
INVAR-11, Run: 089, P, 42, 0, 0, 4126, 100, 58
INVAR-11, Run: 090, P, 42, 0, 0, 4153, 100, 58
INVAR-11, Run: 091, P, 42, 0, 0, 4039, 100, 58
INVAR-11, Run: 092, P, 42, 0, 0, 4095, 100, 58
INVAR-11, Run: 093, P, 42, 0, 0, 4125, 100, 58
INVAR-11, Run: 094, P, 42, 0, 0, 4101, 100, 58
INVAR-11, Run: 095, P, 42, 0, 0, 4140, 100, 58
INVAR-11, Run: 096, P, 42, 0, 0, 4103, 100, 58
INVAR-11, Run: 097, P, 42, 0, 0, 4231, 100, 58
INVAR-11, Run: 098, P, 42, 0, 0, 4044, 100, 58
INVAR-11, Run: 099, P, 42, 0, 0, 4080, 100, 58
INVAR-11, Run: 100, P, 42, 0, 0, 4222, 100, 58
INVAR-12, Run: 001, P, 70, 0, 0, 6880, 200, 130
INVAR-12, Run: 002, P, 70, 0, 0, 6834, 200, 130
INVAR-12, Run: 003, P, 70, 0, 0, 6915, 200, 130
INVAR-12, Run: 004, P, 70, 0, 0, 6983, 200, 130
INVAR-12, Run: 005, P, 70, 0, 0, 6981, 200, 130
INVAR-12, Run: 006, P, 70, 0, 0, 6822, 200, 130
INVAR-12, Run: 007, P, 70, 0, 0, 6783, 200, 130
INVAR-12, Run: 008, P, 70, 0, 0, 6946, 200, 130
INVAR-12, Run: 009, P, 70, 0, 0, 6836, 200, 130
INVAR-12, Run: 010, P, 70, 0, 0, 6936, 200, 130
INVAR-12, Run: 011, P, 70, 0, 0, 7018, 200, 130
INVAR-12, Run: 012, P, 70, 0, 0, 6756, 200, 130
INVAR-12, Run: 013, P, 70, 0, 0, 6801, 200, 130
INVAR-12, Run: 014, P, 70, 0, 0, 6834, 200, 130
INVAR-12, Run: 015, P, 70, 0, 0, 6897, 200, 130
INVAR-12, Run: 016, P, 70, 0, 0, 6844, 200, 130
INVAR-12, Run: 017, P, 70, 0, 0, 6766, 200, 130
INVAR-12, Run: 018, P, 70, 0, 0, 6831, 200, 130
INVAR-12, Run: 019, P, 70, 0, 0, 6955, 200, 130
INVAR-12, Run: 020, P, 70, 0, 0, 6871, 200, 130
INVAR-12, Run: 021, P, 70, 0, 0, 6981, 200, 130
INVAR-12, Run: 022, P, 70, 0, 0, 6836, 200, 130
INVAR-12, Run: 023, P, 70, 0, 0, 6836, 200, 130
INVAR-12, Run: 024, P, 70, 0, 0, 6910, 200, 130
INVAR-12, Run: 025, P, 70, 0, 0, 6663, 200, 130
INVAR-12, Run: 026, P, 70, 0, 0, 6909, 200, 130
INVAR-12, Run: 027, P, 70, 0, 0, 6765, 200, 130
INVAR-12, Run: 028, P, 70, 0, 0, 6860, 200, 130
INVAR-12, Run: 029, P, 70, 0, 0, 6827, 200, 130
INVAR-12, Run: 030, P, 70, 0, 0, 6872, 200, 130
INVAR-12, Run: 031, P, 70, 0, 0, 6847, 200, 130
INVAR-12, Run: 032, P, 70, 0, 0, 6809, 200, 130
INVAR-12, Run: 033, P, 70, 0, 0, 6838, 200, 130
INVAR-12, Run: 034, P, 70, 0, 0, 6942, 200, 130
INVAR-12, Run: 035, P, 70, 0, 0, 7021, 200, 130
INVAR-12, Run: 036, P, 70, 0, 0, 6858, 200, 130
INVAR-12, Run: 037, P, 70, 0, 0, 6734, 200, 130
INVAR-12, Run: 038, P, 70, 0, 0, 6786, 200, 130
INVAR-12, Run: 039, P, 70, 0, 0, 6814, 200, 130
INVAR-12, Run: 040, P, 70, 0, 0, 6785, 200, 130
INVAR-12, Run: 041, P, 70, 0, 0, 6913, 200, 130
INVAR-12, Run: 042, P, 70, 0, 0, 6908, 200, 130
INVAR-12, Run: 043, P, 70, 0, 0, 6905, 200, 130
INVAR-12, Run: 044, P, 70, 0, 0, 6876, 200, 130
INVAR-12, Run: 045, P, 70, 0, 0, 6795, 200, 130
INVAR-12, Run: 046, P, 70, 0, 0, 6920, 200, 130
INVAR-12, Run: 047, P, 70, 0, 0, 6830, 200, 130
INVAR-12, Run: 048, P, 70, 0, 0, 6766, 200, 130
INVAR-12, Run: 049, P, 70, 0, 0, 6687, 200, 130
INVAR-12, Run: 050, P, 70, 0, 0, 6661, 200, 130
INVAR-12, Run: 051, P, 70, 0, 0, 6889, 200, 130
INVAR-12, Run: 052, P, 70, 0, 0, 6784, 200, 130
INVAR-12, Run: 053, P, 70, 0, 0, 6905, 200, 130
INVAR-12, Run: 054, P, 70, 0, 0, 6828, 200, 130
INVAR-12, Run: 055, P, 70, 0, 0, 6790, 200, 130
INVAR-12, Run: 056, P, 70, 0, 0, 6850, 200, 130
INVAR-12, Run: 057, P, 70, 0, 0, 6787, 200, 130
INVAR-12, Run: 058, P, 70, 0, 0, 6856, 200, 130
INVAR-12, Run: 059, P, 70, 0, 0, 6816, 200, 130
INVAR-12, Run: 060, P, 70, 0, 0, 6935, 200, 130
INVAR-12, Run: 061, P, 70, 0, 0, 6989, 200, 130
INVAR-12, Run: 062, P, 70, 0, 0, 7000, 200, 130
INVAR-12, Run: 063, P, 70, 0, 0, 6925, 200, 130
INVAR-12, Run: 064, P, 70, 0, 0, 6990, 200, 130
INVAR-12, Run: 065, P, 70, 0, 0, 6905, 200, 130
INVAR-12, Run: 066, P, 70, 0, 0, 7034, 200, 130
INVAR-12, Run: 067, P, 70, 0, 0, 6819, 200, 130
INVAR-12, Run: 068, P, 70, 0, 0, 6815, 200, 130
INVAR-12, Run: 069, P, 70, 0, 0, 6873, 200, 130
INVAR-12, Run: 070, P, 70, 0, 0, 6969, 200, 130
INVAR-12, Run: 071, P, 70, 0, 0, 6963, 200, 130
INVAR-12, Run: 072, P, 70, 0, 0, 6856, 200, 130
INVAR-12, Run: 073, P, 70, 0, 0, 6840, 200, 130
INVAR-12, Run: 074, P, 70, 0, 0, 6826, 200, 130
INVAR-12, Run: 075, P, 70, 0, 0, 6956, 200, 130
INVAR-12, Run: 076, P, 70, 0, 0, 6936, 200, 130
INVAR-12, Run: 077, P, 70, 0, 0, 6894, 200, 130
INVAR-12, Run: 078, P, 70, 0, 0, 6887, 200, 130
INVAR-12, Run: 079, P, 70, 0, 0, 6756, 200, 130
INVAR-12, Run: 080, P, 70, 0, 0, 6924, 200, 130
INVAR-12, Run: 081, P, 70, 0, 0, 6945, 200, 130
INVAR-12, Run: 082, P, 70, 0, 0, 6870, 200, 130
INVAR-12, Run: 083, P, 70, 0, 0, 6933, 200, 130
INVAR-12, Run: 084, P, 70, 0, 0, 6834, 200, 130
INVAR-12, Run: 085, P, 70, 0, 0, 6694, 200, 130
INVAR-12, Run: 086, P, 70, 0, 0, 6833, 200, 130
INVAR-12, Run: 087, P, 70, 0, 0, 6880, 200, 130
INVAR-12, Run: 088, P, 70, 0, 0, 6746, 200, 130
INVAR-12, Run: 089, P, 70, 0, 0, 6934, 200, 130
INVAR-12, Run: 090, P, 70, 0, 0, 6769, 200, 130
INVAR-12, Run: 091, P, 70, 0, 0, 6762, 200, 130
INVAR-12, Run: 092, P, 70, 0, 0, 6734, 200, 130
INVAR-12, Run: 093, P, 70, 0, 0, 6828, 200, 130
INVAR-12, Run: 094, P, 70, 0, 0, 7003, 200, 130
INVAR-12, Run: 095, P, 70, 0, 0, 6852, 200, 130
INVAR-12, Run: 096, P, 70, 0, 0, 6867, 200, 130
INVAR-12, Run: 097, P, 70, 0, 0, 6820, 200, 130
INVAR-12, Run: 098, P, 70, 0, 0, 6835, 200, 130
INVAR-12, Run: 099, P, 70, 0, 0, 6926, 200, 130
INVAR-12, Run: 100, P, 70, 0, 0, 7058, 200, 130
INVAR-13, Run: 001, P, 13, 0, 0, 1293, 18, 5
INVAR-13, Run: 002, P, 13, 0, 0, 1230, 18, 5
INVAR-13, Run: 003, P, 13, 0, 0, 1325, 18, 5
INVAR-13, Run: 004, P, 13, 0, 0, 1286, 18, 5
INVAR-13, Run: 005, P, 13, 0, 0, 1307, 18, 5
INVAR-13, Run: 006, P, 13, 0, 0, 1268, 18, 5
INVAR-13, Run: 007, P, 13, 0, 0, 1299, 18, 5
INVAR-13, Run: 008, P, 13, 0, 0, 1295, 18, 5
INVAR-13, Run: 009, P, 13, 0, 0, 1292, 18, 5
