Input Number, Run_Number, Result@ 100, U, X1, X2, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-10, Run: 058, P, 0, 12, 0, 0, 5, 6, 0, 1
INVAR-10, Run: 059, P, 0, 12, 0, 0, 8, 9, 3, 4
INVAR-10, Run: 060, P, 0, 12, 0, 2, 5, 9, 0, 6
INVAR-10, Run: 061, P, 0, 12, 0, 1, 6, 6, 1, 2
INVAR-10, Run: 062, P, 0, 12, 0, 2, 5, 10, 0, 7
INVAR-10, Run: 063, P, 0, 12, 0, 2, 5, 5, 0, 2
INVAR-10, Run: 064, P, 0, 12, 0, 3, 9, 13, 4, 11
INVAR-10, Run: 065, P, 0, 0, 12, 4, 11, 4, 18, 15
INVAR-10, Run: 066, P, 0, 12, 0, 2, 11, 16, 6, 13
INVAR-10, Run: 067, P, 0, 12, 0, 3, 7, 9, 2, 7
INVAR-10, Run: 068, P, 0, 12, 0, 1, 7, 8, 2, 4
INVAR-10, Run: 069, P, 0, 0, 12, 1, 0, 0, 7, 8
INVAR-10, Run: 070, P, 0, 0, 12, 1, 4, 1, 11, 9
INVAR-10, Run: 071, P, 0, 12, 0, 0, 5, 11, 0, 6
INVAR-10, Run: 072, P, 0, 12, 0, 3, 6, 4, 1, 2
INVAR-10, Run: 073, P, 0, 12, 0, 1, 5, 7, 0, 3
INVAR-10, Run: 074, P, 0, 12, 0, 3, 8, 11, 3, 9
INVAR-10, Run: 075, P, 0, 12, 0, 1, 7, 6, 2, 2
INVAR-10, Run: 076, P, 0, 12, 0, 3, 6, 8, 1, 6
INVAR-10, Run: 077, P, 0, 0, 12, 0, 2, 0, 9, 7
INVAR-10, Run: 078, P, 0, 12, 0, 4, 12, 11, 7, 10
INVAR-10, Run: 079, P, 0, 0, 12, 3, 17, 4, 24, 14
INVAR-10, Run: 080, P, 0, 12, 0, 1, 11, 13, 6, 9
INVAR-10, Run: 081, P, 0, 12, 0, 1, 6, 8, 1, 4
INVAR-10, Run: 082, P, 0, 12, 0, 3, 5, 5, 0, 3
INVAR-10, Run: 083, P, 0, 0, 12, 1, 10, 9, 17, 17
INVAR-10, Run: 084, P, 0, 12, 0, 2, 9, 10, 4, 7
INVAR-10, Run: 085, P, 0, 12, 0, 0, 6, 11, 1, 6
INVAR-10, Run: 086, P, 0, 12, 0, 4, 14, 10, 9, 9
INVAR-10, Run: 087, P, 0, 12, 0, 1, 9, 11, 4, 7
INVAR-10, Run: 088, P, 0, 12, 0, 1, 5, 6, 0, 2
INVAR-10, Run: 089, P, 0, 12, 0, 2, 5, 5, 0, 2
INVAR-10, Run: 090, P, 0, 12, 0, 0, 5, 8, 0, 3
INVAR-10, Run: 091, P, 0, 0, 12, 1, 7, 3, 14, 11
INVAR-10, Run: 092, P, 0, 0, 12, 2, 10, 1, 17, 10
INVAR-10, Run: 093, P, 0, 12, 0, 1, 6, 15, 1, 11
INVAR-10, Run: 094, P, 0, 12, 0, 2, 10, 14, 5, 11
INVAR-10, Run: 095, P, 0, 12, 0, 0, 7, 8, 2, 3
INVAR-10, Run: 096, P, 0, 12, 0, 3, 13, 14, 8, 12
INVAR-10, Run: 097, P, 0, 12, 0, 5, 8, 13, 3, 13
INVAR-10, Run: 098, P, 0, 0, 12, 1, 8, 7, 15, 15
INVAR-10, Run: 099, P, 0, 0, 12, 1, 10, 8, 17, 16
INVAR-10, Run: 100, P, 0, 0, 12, 2, 10, 2, 17, 11
INVAR-11, Run: 001, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 002, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 003, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 004, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 005, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 006, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 007, P, 0, 13, 0, 0, 0, 0, 0, 0
