Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-2, Run: 011, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 424, 11, 11, 424, 28, 18, 9, 56, 28, 56, 306, 153
INVAR-2, Run: 012, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 118, 38, 38, 118, 28, 21, 6, 56, 28, 56, 180, 90
INVAR-2, Run: 013, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 387, 13, 13, 387, 28, 15, 12, 56, 28, 56, 430, 215
INVAR-2, Run: 014, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 295, 27, 27, 295, 28, 15, 12, 56, 28, 56, 156, 78
INVAR-2, Run: 015, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 208, 27, 27, 208, 28, 18, 9, 56, 28, 56, 394, 197
INVAR-2, Run: 016, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 324, 17, 17, 324, 28, 18, 9, 56, 28, 56, 466, 233
INVAR-2, Run: 017, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 289, 27, 27, 289, 28, 15, 12, 56, 28, 56, 880, 440
INVAR-2, Run: 018, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 352, 16, 16, 352, 28, 17, 10, 56, 28, 56, 458, 229
INVAR-2, Run: 019, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 380, 25, 25, 380, 28, 18, 9, 56, 28, 56, 556, 278
INVAR-2, Run: 020, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 363, 12, 12, 363, 28, 17, 10, 56, 28, 56, 460, 230
INVAR-2, Run: 021, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 152, 34, 34, 152, 28, 14, 13, 56, 28, 56, 764, 382
INVAR-2, Run: 022, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 307, 19, 19, 307, 28, 20, 7, 56, 28, 56, 190, 95
INVAR-2, Run: 023, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 217, 25, 25, 217, 28, 18, 9, 56, 28, 56, 588, 294
INVAR-2, Run: 024, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 297, 25, 25, 297, 28, 18, 9, 56, 28, 56, 566, 283
INVAR-2, Run: 025, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 409, 24, 24, 409, 28, 17, 10, 56, 28, 56, 426, 213
INVAR-2, Run: 026, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 365, 22, 22, 365, 28, 19, 8, 56, 28, 56, 378, 189
INVAR-2, Run: 027, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 293, 26, 26, 293, 28, 19, 8, 56, 28, 56, 352, 176
INVAR-2, Run: 028, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 234, 14, 14, 234, 28, 19, 8, 56, 28, 56, 282, 141
INVAR-2, Run: 029, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 381, 20, 20, 381, 28, 13, 14, 56, 28, 56, 768, 384
INVAR-2, Run: 030, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 235, 26, 26, 235, 28, 21, 6, 56, 28, 56, 610, 305
INVAR-2, Run: 031, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 349, 38, 38, 349, 28, 17, 10, 56, 28, 56, 180, 90
INVAR-2, Run: 032, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 370, 18, 18, 370, 28, 22, 5, 56, 28, 56, 244, 122
INVAR-2, Run: 033, P, 0, 0, 0, 0, 0, 112, 0, 0, 1, 0, 56, 0, 56, 258, 29, 29, 258, 28, 17, 10, 56, 28, 56, 458, 229
