Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 019, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 755, 4523, 100, 46, 53, 92, 216, 324, 847, 4507
INVAR-10, Run: 020, F, 0, 0, 0, 0, 0, 86, 58, 0, 1, 712, 0, 28, 200, 760, 5455, 100, 58, 41, 86, 228, 342, 846, 5427
INVAR-10, Run: 021, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 898, 5343, 100, 57, 42, 91, 218, 327, 989, 5325
INVAR-10, Run: 022, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0, 14, 200, 717, 5322, 100, 60, 39, 93, 214, 321, 810, 5308
INVAR-10, Run: 023, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 607, 4747, 100, 66, 33, 91, 218, 327, 698, 4729
INVAR-10, Run: 024, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 971, 6878, 100, 61, 38, 89, 222, 333, 1060, 6856
INVAR-10, Run: 025, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 680, 5154, 100, 63, 36, 91, 218, 327, 771, 5136
INVAR-10, Run: 026, F, 0, 0, 0, 0, 0, 87, 61, 0, 1, 704, 0, 26, 200, 731, 5238, 100, 61, 38, 87, 226, 339, 818, 5212
INVAR-10, Run: 027, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 689, 4638, 100, 64, 35, 91, 218, 327, 780, 4620
INVAR-10, Run: 028, F, 0, 0, 0, 0, 0, 93, 79, 0, 1, 656, 0, 14, 200, 630, 4903, 100, 72, 27, 93, 214, 321, 723, 4889
INVAR-10, Run: 029, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 1003, 6097, 100, 56, 43, 91, 218, 327, 1094, 6079
INVAR-10, Run: 030, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 760, 5317, 100, 63, 36, 89, 222, 333, 849, 5295
INVAR-10, Run: 031, F, 0, 0, 0, 0, 0, 87, 61, 0, 1, 704, 0, 26, 200, 770, 6307, 100, 62, 37, 87, 226, 339, 857, 6281
INVAR-10, Run: 032, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 823, 6408, 100, 64, 35, 92, 216, 324, 915, 6392
INVAR-10, Run: 033, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 981, 6553, 100, 60, 39, 91, 218, 327, 1072, 6535
INVAR-10, Run: 034, F, 0, 0, 0, 0, 0, 95, 85, 0, 1, 640, 0, 10, 200, 709, 3640, 100, 54, 45, 95, 210, 315, 804, 3630
INVAR-10, Run: 035, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 949, 5683, 100, 55, 44, 92, 216, 324, 1041, 5667
INVAR-10, Run: 036, F, 0, 0, 0, 0, 0, 95, 85, 0, 1, 640, 0, 10, 200, 732, 4427, 100, 55, 44, 95, 210, 315, 827, 4417
INVAR-10, Run: 037, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 660, 6066, 100, 70, 29, 91, 218, 327, 751, 6048
INVAR-10, Run: 038, F, 0, 0, 0, 0, 0, 84, 52, 0, 1, 728, 0, 32, 200, 711, 6753, 100, 68, 31, 84, 232, 348, 795, 6721
INVAR-10, Run: 039, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 600, 4817, 100, 66, 33, 92, 216, 324, 692, 4801
INVAR-10, Run: 040, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0, 20, 200, 824, 5409, 100, 62, 37, 90, 220, 330, 914, 5389
INVAR-10, Run: 041, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0, 20, 200, 595, 5935, 100, 57, 42, 90, 220, 330, 685, 5915
INVAR-10, Run: 042, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 690, 4630, 100, 55, 44, 92, 216, 324, 782, 4614
INVAR-10, Run: 043, F, 0, 0, 0, 0, 0, 90, 70, 0, 1, 680, 0, 20, 200, 752, 4551, 100, 59, 40, 90, 220, 330, 842, 4531
INVAR-10, Run: 044, F, 0, 0, 0, 0, 0, 83, 49, 0, 1, 736, 0, 34, 200, 603, 5367, 100, 58, 41, 83, 234, 351, 686, 5333
INVAR-10, Run: 045, F, 0, 0, 0, 0, 0, 87, 61, 0, 1, 704, 0, 26, 200, 921, 5221, 100, 66, 33, 87, 226, 339, 1008, 5195
INVAR-10, Run: 046, F, 0, 0, 0, 0, 0, 88, 64, 0, 1, 696, 0, 24, 200, 829, 5541, 100, 58, 41, 88, 224, 336, 917, 5517
INVAR-10, Run: 047, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 710, 6562, 100, 70, 29, 92, 216, 324, 802, 6546
INVAR-10, Run: 048, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 750, 5074, 100, 69, 30, 91, 218, 327, 841, 5056
INVAR-10, Run: 049, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 728, 4820, 100, 65, 34, 92, 216, 324, 820, 4804
INVAR-10, Run: 050, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 574, 6410, 100, 62, 37, 92, 216, 324, 666, 6394
INVAR-10, Run: 051, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 700, 5144, 100, 65, 34, 92, 216, 324, 792, 5128
INVAR-10, Run: 052, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 667, 5249, 100, 66, 33, 89, 222, 333, 756, 5227
INVAR-10, Run: 053, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 814, 5023, 100, 65, 34, 92, 216, 324, 906, 5007
INVAR-10, Run: 054, F, 0, 0, 0, 0, 0, 92, 76, 0, 1, 664, 0, 16, 200, 693, 4196, 100, 58, 41, 92, 216, 324, 785, 4180
INVAR-10, Run: 055, F, 0, 0, 0, 0, 0, 87, 61, 0, 1, 704, 0, 26, 200, 606, 5526, 100, 67, 32, 87, 226, 339, 693, 5500
INVAR-10, Run: 056, F, 0, 0, 0, 0, 0, 89, 67, 0, 1, 688, 0, 22, 200, 743, 5440, 100, 60, 39, 89, 222, 333, 832, 5418
INVAR-10, Run: 057, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 712, 4556, 100, 68, 31, 91, 218, 327, 803, 4538
INVAR-10, Run: 058, F, 0, 0, 0, 0, 0, 91, 73, 0, 1, 672, 0, 18, 200, 819, 5772, 100, 69, 30, 91, 218, 327, 910, 5754
INVAR-10, Run: 059, F, 0, 0, 0, 0, 0, 87, 61, 0, 1, 704, 0, 26, 200, 616, 5463, 100, 73, 26, 87, 226, 339, 703, 5437
