Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 074, P, 1, 3, 1, 1, 2, 1, 0, 0, 2, 0, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 075, P, 1, 1, 0, 1, 2, 1, 0, 1, 2, 0, 0, 3, 2, 0, 1, 4, 1, 0, 1, 1, 1, 2, 4, 0, 2, 0, 1
INVAR-1, Run: 076, P, 1, 4, 0, 0, 1, 1, 1, 0, 3, 0, 0, 3, 1, 1, 2, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 077, P, 1, 1, 0, 2, 0, 1, 1, 2, 2, 4, 0, 3, 0, 1, 1, 0, 0, 0, 1, 2, 1, 5, 2, 0, 1, 3, 1
INVAR-1, Run: 078, P, 1, 5, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 079, P, 1, 3, 0, 0, 3, 1, 2, 2, 1, 1, 0, 6, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 080, P, 1, 2, 0, 1, 3, 1, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 081, P, 1, 1, 1, 0, 0, 1, 2, 1, 2, 2, 0, 4, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 082, P, 1, 4, 0, 1, 1, 1, 3, 1, 0, 0, 1, 7, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 083, P, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1
