Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 072, F, 0, 0, 0, 0, 0, 7, 48, 48, 0, 0, 9, 1, 18, 48, 0, 0, 0, 9, 0, 0, 9, 13, 18, 23, 11
INVAR-1, Run: 073, F, 0, 0, 0, 0, 0, 34, 21, 21, 0, 0, 9, 1, 18, 21, 0, 0, 0, 9, 0, 0, 9, 13, 18, 41, 20
INVAR-1, Run: 074, F, 0, 0, 0, 0, 0, 8, 47, 47, 0, 0, 9, 1, 18, 47, 0, 0, 0, 9, 0, 0, 9, 13, 18, 33, 16
INVAR-1, Run: 075, F, 0, 0, 0, 0, 0, 35, 20, 20, 0, 0, 9, 1, 18, 20, 0, 0, 0, 9, 0, 0, 9, 13, 18, 47, 23
INVAR-1, Run: 076, F, 0, 0, 0, 0, 0, 15, 40, 40, 0, 0, 9, 1, 18, 40, 0, 0, 0, 9, 0, 0, 9, 13, 18, 53, 26
INVAR-1, Run: 077, F, 0, 0, 0, 0, 0, 4, 51, 51, 0, 0, 9, 1, 18, 51, 0, 0, 0, 9, 0, 0, 9, 13, 18, 35, 17
INVAR-1, Run: 078, F, 0, 0, 0, 0, 0, 16, 39, 39, 0, 0, 9, 1, 18, 39, 0, 0, 0, 9, 0, 0, 9, 13, 18, 55, 27
INVAR-1, Run: 079, F, 0, 0, 0, 0, 0, 13, 42, 42, 0, 0, 9, 1, 18, 42, 0, 0, 0, 9, 0, 0, 9, 13, 18, 29, 14
INVAR-1, Run: 080, F, 0, 0, 0, 0, 0, 30, 25, 25, 0, 0, 9, 1, 18, 25, 0, 0, 0, 9, 0, 0, 9, 13, 18, 75, 37
INVAR-1, Run: 081, F, 0, 0, 0, 0, 0, 6, 49, 49, 0, 0, 9, 1, 18, 49, 0, 0, 0, 9, 0, 0, 9, 13, 18, 41, 20
INVAR-1, Run: 082, F, 0, 0, 0, 0, 0, 21, 34, 34, 0, 0, 9, 1, 18, 34, 0, 0, 0, 9, 0, 0, 9, 13, 18, 71, 35
INVAR-1, Run: 083, F, 0, 0, 0, 0, 0, 9, 46, 46, 0, 0, 9, 1, 18, 46, 0, 0, 0, 9, 0, 0, 9, 13, 18, 55, 27
INVAR-1, Run: 084, F, 0, 0, 0, 0, 0, 7, 48, 48, 0, 0, 9, 1, 18, 48, 0, 0, 0, 9, 0, 0, 9, 13, 18, 41, 20
