Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE
4, Run: 062, F, 2, 0, 1, 0, 0, 0, 0, 74, 0, 2, 1, 2
4, Run: 063, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 064, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 065, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 066, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 067, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 068, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 069, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 070, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 071, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 072, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 073, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 074, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 075, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 076, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 077, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 078, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 079, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 080, F, 2, 0, 1, 0, 0, 0, 0, 74, 0, 2, 1, 2
4, Run: 081, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 082, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 083, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 084, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 085, F, 2, 0, 1, 0, 0, 0, 0, 74, 0, 2, 1, 2
4, Run: 086, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 087, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 088, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 089, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 090, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 091, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 092, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 093, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 094, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 095, F, 3, 0, 1, 0, 0, 0, 0, 74, 0, 0, 1, 0
4, Run: 096, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 097, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 098, F, 0, 0, 1, 0, 0, 0, 0, 66, 0, 0, 1, 0
4, Run: 099, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
4, Run: 100, F, 1, 0, 1, 1, 0, 0, 1, 0, 70, 70, 0, 0
5, Run: 001, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 002, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 003, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 004, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 005, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 006, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 007, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 008, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 009, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 010, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 011, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 012, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 013, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 014, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 015, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 016, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 017, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 018, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 019, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 020, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 021, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 022, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 023, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 024, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 025, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 026, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 027, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 028, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 029, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 030, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 031, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 032, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 033, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 034, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 035, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 036, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 037, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
