Input Number, Run_Number, Result@ 100, A2, F2P, F2, A1, F1, F1P, Y
11, Run: 036, P, 3, 0, 0, 88, 0, 0, 5
11, Run: 037, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 038, P, 4, 0, 0, 89, 0, 0, 5
11, Run: 039, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 040, P, 3, 0, 0, 89, 0, 0, 5
11, Run: 041, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 042, P, 8, 0, 0, 88, 0, 0, 5
11, Run: 043, P, 2, 0, 0, 88, 0, 0, 5
11, Run: 044, P, 9, 0, 0, 88, 0, 0, 5
11, Run: 045, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 046, P, 1, 0, 0, 89, 0, 0, 5
11, Run: 047, P, 3, 0, 0, 88, 0, 0, 5
11, Run: 048, P, 8, 0, 0, 88, 0, 0, 5
11, Run: 049, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 050, P, 19, 0, 0, 88, 0, 0, 5
11, Run: 051, P, 1, 0, 0, 88, 0, 0, 5
11, Run: 052, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 053, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 054, P, 1, 0, 0, 88, 0, 0, 5
11, Run: 055, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 056, P, 5, 0, 0, 88, 0, 0, 5
11, Run: 057, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 058, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 059, P, 2, 0, 0, 88, 0, 0, 5
11, Run: 060, P, 2, 0, 0, 88, 0, 0, 5
11, Run: 061, P, 2, 0, 0, 89, 0, 0, 5
11, Run: 062, P, 5, 0, 0, 88, 0, 0, 5
11, Run: 063, P, 0, 0, 0, 89, 0, 0, 5
11, Run: 064, P, 1, 0, 0, 88, 0, 0, 5
11, Run: 065, P, 3, 0, 0, 88, 0, 0, 5
11, Run: 066, P, 7, 0, 0, 88, 0, 0, 5
11, Run: 067, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 068, P, 0, 0, 2, 88, 0, 2, 3
11, Run: 069, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 070, P, 2, 0, 0, 88, 0, 0, 5
11, Run: 071, P, 11, 0, 0, 88, 0, 0, 5
11, Run: 072, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 073, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 074, P, 2, 0, 0, 89, 0, 0, 5
11, Run: 075, P, 1, 0, 0, 88, 0, 0, 5
11, Run: 076, P, 5, 0, 0, 88, 0, 0, 5
11, Run: 077, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 078, P, 1, 0, 0, 88, 0, 0, 5
11, Run: 079, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 080, P, 23, 0, 0, 88, 0, 0, 5
11, Run: 081, P, 1, 0, 0, 89, 0, 0, 5
11, Run: 082, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 083, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 084, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 085, P, 23, 0, 0, 88, 0, 0, 5
11, Run: 086, P, 15, 0, 0, 89, 0, 0, 5
11, Run: 087, P, 5, 0, 0, 88, 0, 0, 5
11, Run: 088, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 089, P, 10, 0, 0, 89, 0, 0, 5
11, Run: 090, P, 2, 0, 0, 88, 0, 0, 5
11, Run: 091, P, 4, 0, 0, 88, 0, 0, 5
11, Run: 092, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 093, P, 0, 0, 0, 88, 0, 0, 5
11, Run: 094, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 095, P, 0, 0, 1, 88, 0, 1, 4
11, Run: 096, P, 1, 0, 0, 88, 0, 0, 5
11, Run: 097, P, 13, 0, 0, 88, 0, 0, 5
11, Run: 098, P, 0, 0, 0, 90, 0, 0, 5
11, Run: 099, P, 16, 0, 0, 88, 0, 0, 5
11, Run: 100, P, 16, 0, 0, 88, 0, 0, 5
12, Run: 001, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 002, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 003, P, 10, 0, 0, 168, 0, 0, 5
12, Run: 004, P, 39, 0, 0, 168, 0, 0, 5
12, Run: 005, P, 2, 0, 0, 168, 0, 0, 5
12, Run: 006, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 007, P, 11, 0, 0, 168, 0, 0, 5
12, Run: 008, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 009, P, 15, 0, 0, 168, 0, 0, 5
12, Run: 010, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 011, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 012, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 013, P, 2, 0, 0, 168, 0, 0, 5
12, Run: 014, P, 1, 0, 0, 168, 0, 0, 5
12, Run: 015, P, 6, 0, 0, 168, 0, 0, 5
12, Run: 016, P, 9, 0, 0, 168, 0, 0, 5
12, Run: 017, P, 6, 0, 0, 168, 0, 0, 5
12, Run: 018, P, 0, 0, 1, 168, 0, 1, 4
12, Run: 019, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 020, P, 0, 0, 1, 169, 0, 1, 4
12, Run: 021, P, 2, 0, 0, 168, 0, 0, 5
12, Run: 022, P, 4, 0, 0, 168, 0, 0, 5
12, Run: 023, P, 1, 0, 0, 168, 0, 0, 5
12, Run: 024, P, 3, 0, 0, 168, 0, 0, 5
12, Run: 025, P, 2, 0, 0, 168, 0, 0, 5
12, Run: 026, P, 1, 0, 0, 169, 0, 0, 5
12, Run: 027, P, 5, 0, 0, 169, 0, 0, 5
12, Run: 028, P, 21, 0, 0, 168, 0, 0, 5
12, Run: 029, P, 0, 0, 1, 168, 0, 1, 4
12, Run: 030, P, 0, 0, 0, 168, 0, 0, 5
12, Run: 031, P, 3, 0, 0, 169, 0, 0, 5
12, Run: 032, P, 0, 0, 1, 168, 0, 1, 4
