Input Number, Run_Number, Result@ 100, Y, B, X1, A, C, PO, D, CO, PE, CE, E, F
10, Run: 066, P, 0, 0, 0, 0, 0, 0, 340, 260, 1, 0, 100, 0
10, Run: 067, P, 0, 0, 0, 0, 0, 0, 536, 64, 1, 2, 99, 0
10, Run: 068, P, 0, 0, 0, 0, 0, 0, 218, 383, 1, 0, 100, 1
10, Run: 069, P, 0, 0, 0, 0, 0, 0, 268, 332, 1, 0, 100, 0
10, Run: 070, P, 0, 0, 0, 0, 0, 0, 196, 404, 1, 2, 99, 0
10, Run: 071, P, 0, 0, 0, 0, 0, 0, 534, 66, 1, 2, 99, 0
10, Run: 072, P, 0, 0, 0, 0, 0, 0, 106, 494, 1, 0, 100, 0
10, Run: 073, P, 0, 0, 0, 0, 0, 0, 158, 442, 1, 0, 100, 0
10, Run: 074, P, 0, 0, 0, 0, 0, 0, 240, 360, 1, 2, 99, 0
10, Run: 075, P, 0, 0, 0, 0, 0, 0, 560, 40, 1, 0, 100, 0
10, Run: 076, P, 0, 0, 0, 0, 0, 0, 344, 256, 1, 0, 100, 0
10, Run: 077, P, 0, 0, 0, 0, 0, 0, 334, 266, 1, 0, 100, 0
10, Run: 078, P, 0, 0, 0, 0, 0, 0, 518, 82, 1, 0, 100, 0
10, Run: 079, P, 0, 0, 0, 0, 0, 0, 344, 257, 1, 0, 100, 1
10, Run: 080, P, 0, 0, 0, 0, 0, 0, 558, 43, 1, 0, 100, 1
10, Run: 081, P, 0, 0, 0, 0, 0, 0, 500, 100, 1, 0, 100, 0
10, Run: 082, P, 0, 0, 0, 0, 0, 0, 526, 75, 1, 0, 100, 1
10, Run: 083, P, 0, 0, 0, 0, 0, 0, 270, 331, 1, 0, 100, 1
10, Run: 084, P, 0, 0, 0, 0, 0, 0, 474, 127, 1, 0, 100, 1
10, Run: 085, P, 0, 0, 0, 0, 0, 0, 518, 82, 1, 2, 99, 0
10, Run: 086, P, 0, 0, 0, 0, 0, 0, 330, 271, 1, 2, 99, 1
10, Run: 087, P, 0, 0, 0, 0, 0, 0, 514, 86, 1, 0, 100, 0
10, Run: 088, P, 0, 0, 0, 0, 0, 0, 368, 233, 1, 0, 100, 1
10, Run: 089, P, 0, 0, 0, 0, 0, 0, 486, 114, 1, 2, 99, 0
10, Run: 090, P, 0, 0, 0, 0, 0, 0, 544, 56, 1, 0, 100, 0
10, Run: 091, P, 0, 0, 0, 0, 0, 0, 366, 234, 1, 2, 99, 0
10, Run: 092, P, 0, 0, 0, 0, 0, 0, 420, 180, 1, 2, 99, 0
10, Run: 093, P, 0, 0, 0, 0, 0, 0, 510, 91, 1, 2, 99, 1
10, Run: 094, P, 0, 0, 0, 0, 0, 0, 152, 448, 1, 0, 100, 0
10, Run: 095, P, 0, 0, 0, 0, 0, 0, 412, 189, 1, 0, 100, 1
10, Run: 096, P, 0, 0, 0, 0, 0, 0, 154, 446, 1, 0, 100, 0
10, Run: 097, P, 0, 0, 0, 0, 0, 0, 434, 167, 1, 0, 100, 1
10, Run: 098, P, 0, 0, 0, 0, 0, 0, 482, 118, 1, 2, 99, 0
10, Run: 099, P, 0, 0, 0, 0, 0, 0, 192, 408, 1, 0, 100, 0
10, Run: 100, P, 0, 0, 0, 0, 0, 0, 520, 80, 1, 2, 99, 0
2, Run: 001, P, 0, 0, 0, 0, 0, 0, 146, 22, 1, 0, 28, 0
2, Run: 002, P, 0, 0, 0, 0, 0, 0, 122, 46, 1, 2, 27, 0
2, Run: 003, P, 0, 0, 0, 0, 0, 0, 144, 24, 1, 2, 27, 0
2, Run: 004, P, 0, 0, 0, 0, 0, 0, 68, 101, 1, 2, 27, 1
2, Run: 005, P, 0, 0, 0, 0, 0, 0, 44, 125, 1, 0, 28, 1
2, Run: 006, P, 0, 0, 0, 0, 0, 0, 94, 75, 1, 0, 28, 1
2, Run: 007, P, 0, 0, 0, 0, 0, 0, 58, 110, 1, 0, 28, 0
2, Run: 008, P, 0, 0, 0, 0, 0, 0, 90, 78, 1, 2, 27, 0
2, Run: 009, P, 0, 0, 0, 0, 0, 0, 70, 99, 1, 0, 28, 1
2, Run: 010, P, 0, 0, 0, 0, 0, 0, 96, 72, 1, 2, 27, 0
2, Run: 011, P, 0, 0, 0, 0, 0, 0, 124, 45, 1, 0, 28, 1
2, Run: 012, P, 0, 0, 0, 0, 0, 0, 96, 73, 1, 2, 27, 1
2, Run: 013, P, 0, 0, 0, 0, 0, 0, 98, 71, 1, 0, 28, 1
2, Run: 014, P, 0, 0, 0, 0, 0, 0, 140, 29, 1, 0, 28, 1
2, Run: 015, P, 0, 0, 0, 0, 0, 0, 130, 39, 1, 0, 28, 1
2, Run: 016, P, 0, 0, 0, 0, 0, 0, 118, 51, 1, 0, 28, 1
2, Run: 017, P, 0, 0, 0, 0, 0, 0, 152, 17, 1, 2, 27, 1
2, Run: 018, P, 0, 0, 0, 0, 0, 0, 60, 108, 1, 0, 28, 0
2, Run: 019, P, 0, 0, 0, 0, 0, 0, 114, 54, 1, 0, 28, 0
2, Run: 020, P, 0, 0, 0, 0, 0, 0, 102, 67, 1, 0, 28, 1
2, Run: 021, P, 0, 0, 0, 0, 0, 0, 134, 34, 1, 0, 28, 0
2, Run: 022, P, 0, 0, 0, 0, 0, 0, 140, 29, 1, 0, 28, 1
2, Run: 023, P, 0, 0, 0, 0, 0, 0, 100, 68, 1, 0, 28, 0
2, Run: 024, P, 0, 0, 0, 0, 0, 0, 142, 26, 1, 0, 28, 0
2, Run: 025, P, 0, 0, 0, 0, 0, 0, 124, 44, 1, 0, 28, 0
2, Run: 026, P, 0, 0, 0, 0, 0, 0, 126, 43, 1, 0, 28, 1
2, Run: 027, P, 0, 0, 0, 0, 0, 0, 126, 42, 1, 2, 27, 0
2, Run: 028, P, 0, 0, 0, 0, 0, 0, 138, 30, 1, 2, 27, 0
2, Run: 029, P, 0, 0, 0, 0, 0, 0, 122, 46, 1, 2, 27, 0
2, Run: 030, P, 0, 0, 0, 0, 0, 0, 104, 65, 1, 0, 28, 1
2, Run: 031, P, 0, 0, 0, 0, 0, 0, 100, 69, 1, 2, 27, 1
2, Run: 032, P, 0, 0, 0, 0, 0, 0, 106, 63, 1, 2, 27, 1
2, Run: 033, P, 0, 0, 0, 0, 0, 0, 134, 34, 1, 0, 28, 0
2, Run: 034, P, 0, 0, 0, 0, 0, 0, 86, 82, 1, 0, 28, 0
2, Run: 035, P, 0, 0, 0, 0, 0, 0, 118, 50, 1, 0, 28, 0
2, Run: 036, P, 0, 0, 0, 0, 0, 0, 144, 25, 1, 2, 27, 1
2, Run: 037, P, 0, 0, 0, 0, 0, 0, 124, 44, 1, 0, 28, 0
2, Run: 038, P, 0, 0, 0, 0, 0, 0, 68, 100, 1, 0, 28, 0
2, Run: 039, P, 0, 0, 0, 0, 0, 0, 148, 20, 1, 2, 27, 0
2, Run: 040, P, 0, 0, 0, 0, 0, 0, 84, 84, 1, 0, 28, 0
2, Run: 041, P, 0, 0, 0, 0, 0, 0, 150, 19, 1, 0, 28, 1
2, Run: 042, P, 0, 0, 0, 0, 0, 0, 118, 50, 1, 2, 27, 0
2, Run: 043, P, 0, 0, 0, 0, 0, 0, 144, 25, 1, 0, 28, 1
2, Run: 044, P, 0, 0, 0, 0, 0, 0, 152, 16, 1, 2, 27, 0
2, Run: 045, P, 0, 0, 0, 0, 0, 0, 126, 43, 1, 0, 28, 1
2, Run: 046, P, 0, 0, 0, 0, 0, 0, 134, 34, 1, 0, 28, 0
2, Run: 047, P, 0, 0, 0, 0, 0, 0, 102, 66, 1, 0, 28, 0
2, Run: 048, P, 0, 0, 0, 0, 0, 0, 130, 38, 1, 2, 27, 0
2, Run: 049, P, 0, 0, 0, 0, 0, 0, 114, 55, 1, 2, 27, 1
2, Run: 050, P, 0, 0, 0, 0, 0, 0, 128, 41, 1, 0, 28, 1
2, Run: 051, P, 0, 0, 0, 0, 0, 0, 156, 12, 1, 2, 27, 0
2, Run: 052, P, 0, 0, 0, 0, 0, 0, 156, 12, 1, 0, 28, 0
2, Run: 053, P, 0, 0, 0, 0, 0, 0, 152, 16, 1, 2, 27, 0
2, Run: 054, P, 0, 0, 0, 0, 0, 0, 142, 26, 1, 0, 28, 0
2, Run: 055, P, 0, 0, 0, 0, 0, 0, 138, 31, 1, 0, 28, 1
2, Run: 056, P, 0, 0, 0, 0, 0, 0, 132, 36, 1, 0, 28, 0
2, Run: 057, P, 0, 0, 0, 0, 0, 0, 102, 66, 1, 2, 27, 0
2, Run: 058, P, 0, 0, 0, 0, 0, 0, 144, 25, 1, 2, 27, 1
2, Run: 059, P, 0, 0, 0, 0, 0, 0, 142, 26, 1, 2, 27, 0
2, Run: 060, P, 0, 0, 0, 0, 0, 0, 142, 26, 1, 0, 28, 0
2, Run: 061, P, 0, 0, 0, 0, 0, 0, 92, 76, 1, 0, 28, 0
2, Run: 062, P, 0, 0, 0, 0, 0, 0, 32, 137, 1, 0, 28, 1
2, Run: 063, P, 0, 0, 0, 0, 0, 0, 80, 89, 1, 0, 28, 1
2, Run: 064, P, 0, 0, 0, 0, 0, 0, 122, 46, 1, 0, 28, 0
2, Run: 065, P, 0, 0, 0, 0, 0, 0, 18, 151, 1, 0, 28, 1
2, Run: 066, P, 0, 0, 0, 0, 0, 0, 46, 122, 1, 2, 27, 0
2, Run: 067, P, 0, 0, 0, 0, 0, 0, 152, 16, 1, 2, 27, 0
2, Run: 068, P, 0, 0, 0, 0, 0, 0, 134, 34, 1, 2, 27, 0
2, Run: 069, P, 0, 0, 0, 0, 0, 0, 54, 114, 1, 0, 28, 0
2, Run: 070, P, 0, 0, 0, 0, 0, 0, 154, 15, 1, 0, 28, 1
2, Run: 071, P, 0, 0, 0, 0, 0, 0, 102, 66, 1, 2, 27, 0
2, Run: 072, P, 0, 0, 0, 0, 0, 0, 128, 41, 1, 2, 27, 1
2, Run: 073, P, 0, 0, 0, 0, 0, 0, 120, 48, 1, 2, 27, 0
2, Run: 074, P, 0, 0, 0, 0, 0, 0, 116, 53, 1, 2, 27, 1
2, Run: 075, P, 0, 0, 0, 0, 0, 0, 80, 89, 1, 0, 28, 1
2, Run: 076, P, 0, 0, 0, 0, 0, 0, 148, 21, 1, 2, 27, 1
2, Run: 077, P, 0, 0, 0, 0, 0, 0, 138, 31, 1, 0, 28, 1
2, Run: 078, P, 0, 0, 0, 0, 0, 0, 142, 27, 1, 0, 28, 1
2, Run: 079, P, 0, 0, 0, 0, 0, 0, 98, 70, 1, 0, 28, 0
2, Run: 080, P, 0, 0, 0, 0, 0, 0, 144, 24, 1, 0, 28, 0
2, Run: 081, P, 0, 0, 0, 0, 0, 0, 152, 17, 1, 0, 28, 1
2, Run: 082, P, 0, 0, 0, 0, 0, 0, 92, 76, 1, 0, 28, 0
2, Run: 083, P, 0, 0, 0, 0, 0, 0, 148, 20, 1, 0, 28, 0
2, Run: 084, P, 0, 0, 0, 0, 0, 0, 104, 64, 1, 2, 27, 0
2, Run: 085, P, 0, 0, 0, 0, 0, 0, 88, 81, 1, 0, 28, 1
2, Run: 086, P, 0, 0, 0, 0, 0, 0, 136, 32, 1, 0, 28, 0
2, Run: 087, P, 0, 0, 0, 0, 0, 0, 138, 31, 1, 2, 27, 1
2, Run: 088, P, 0, 0, 0, 0, 0, 0, 138, 31, 1, 0, 28, 1
2, Run: 089, P, 0, 0, 0, 0, 0, 0, 152, 17, 1, 2, 27, 1
2, Run: 090, P, 0, 0, 0, 0, 0, 0, 108, 60, 1, 0, 28, 0
2, Run: 091, P, 0, 0, 0, 0, 0, 0, 40, 129, 1, 0, 28, 1
2, Run: 092, P, 0, 0, 0, 0, 0, 0, 104, 65, 1, 0, 28, 1
2, Run: 093, P, 0, 0, 0, 0, 0, 0, 10, 158, 1, 0, 28, 0
2, Run: 094, P, 0, 0, 0, 0, 0, 0, 112, 57, 1, 0, 28, 1
2, Run: 095, P, 0, 0, 0, 0, 0, 0, 98, 71, 1, 0, 28, 1
2, Run: 096, P, 0, 0, 0, 0, 0, 0, 122, 46, 1, 2, 27, 0
2, Run: 097, P, 0, 0, 0, 0, 0, 0, 116, 53, 1, 2, 27, 1
2, Run: 098, P, 0, 0, 0, 0, 0, 0, 120, 49, 1, 0, 28, 1
