Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 007, P, 354, 0, 0, 0, 0, 0, 227, 0, 1, 600, 0, 127, 200, 1260, 5967, 100, 65, 34, 100, 200, 300, 1487, 5967
INVAR-10, Run: 008, P, 314, 2, 0, 0, 0, 0, 206, 0, 1, 600, 0, 108, 200, 836, 4236, 100, 58, 41, 100, 200, 300, 1042, 4236
INVAR-10, Run: 009, P, 308, 2, 0, 0, 0, 0, 203, 0, 1, 600, 0, 105, 200, 934, 5733, 100, 73, 26, 100, 200, 300, 1137, 5733
INVAR-10, Run: 010, P, 310, 0, 0, 0, 0, 0, 205, 0, 1, 600, 0, 105, 200, 810, 4309, 100, 60, 39, 100, 200, 300, 1015, 4309
INVAR-10, Run: 011, P, 263, 3, 0, 0, 0, 0, 180, 0, 1, 600, 0, 83, 200, 694, 4275, 100, 61, 38, 100, 200, 300, 874, 4275
INVAR-10, Run: 012, P, 274, 0, 0, 0, 0, 0, 187, 0, 1, 600, 0, 87, 200, 973, 5646, 100, 58, 41, 100, 200, 300, 1160, 5646
INVAR-10, Run: 013, P, 312, 0, 0, 0, 0, 0, 206, 0, 1, 600, 0, 106, 200, 879, 4389, 100, 58, 41, 100, 200, 300, 1085, 4389
INVAR-10, Run: 014, P, 313, 1, 0, 0, 0, 0, 206, 0, 1, 600, 0, 107, 200, 859, 4825, 100, 65, 34, 100, 200, 300, 1065, 4825
INVAR-10, Run: 015, P, 307, 1, 0, 0, 0, 0, 203, 0, 1, 600, 0, 104, 200, 753, 5681, 100, 68, 31, 100, 200, 300, 956, 5681
INVAR-10, Run: 016, P, 279, 1, 0, 0, 0, 0, 189, 0, 1, 600, 0, 90, 200, 947, 4529, 100, 51, 48, 100, 200, 300, 1136, 4529
INVAR-10, Run: 017, P, 254, 0, 0, 0, 0, 0, 177, 0, 1, 600, 0, 77, 200, 1083, 4518, 100, 60, 39, 100, 200, 300, 1260, 4518
