Input Number, Run_Number, Result@ 100, F1P, A1, F1, A2, F2, F2P, Y
8, Run: 011, P, 5, 554, 0, 0, 5, 0, 0
8, Run: 012, P, 5, 595, 0, 0, 5, 0, 0
8, Run: 013, P, 5, 575, 0, 0, 5, 0, 0
8, Run: 014, P, 5, 628, 0, 0, 5, 0, 0
8, Run: 015, P, 5, 606, 0, 0, 5, 0, 0
8, Run: 016, P, 5, 573, 0, 0, 5, 0, 0
8, Run: 017, P, 5, 590, 0, 0, 5, 0, 0
8, Run: 018, P, 5, 575, 0, 0, 5, 0, 0
8, Run: 019, P, 5, 584, 0, 0, 5, 0, 0
8, Run: 020, P, 5, 587, 0, 0, 5, 0, 0
8, Run: 021, P, 5, 611, 0, 0, 5, 0, 0
8, Run: 022, P, 5, 603, 0, 0, 5, 0, 0
8, Run: 023, P, 5, 580, 0, 0, 5, 0, 0
8, Run: 024, P, 5, 573, 0, 0, 5, 0, 0
8, Run: 025, P, 5, 610, 0, 0, 5, 0, 0
8, Run: 026, P, 5, 588, 0, 0, 5, 0, 0
8, Run: 027, P, 5, 612, 0, 0, 5, 0, 0
8, Run: 028, P, 5, 544, 0, 0, 5, 0, 0
8, Run: 029, P, 5, 549, 0, 0, 5, 0, 0
8, Run: 030, P, 5, 614, 0, 0, 5, 0, 0
8, Run: 031, P, 5, 584, 0, 0, 5, 0, 0
8, Run: 032, P, 5, 601, 0, 0, 5, 0, 0
8, Run: 033, P, 5, 589, 0, 0, 5, 0, 0
8, Run: 034, P, 5, 600, 0, 0, 5, 0, 0
8, Run: 035, P, 5, 585, 0, 0, 5, 0, 0
8, Run: 036, P, 5, 611, 0, 0, 5, 0, 0
8, Run: 037, P, 5, 592, 0, 0, 5, 0, 0
8, Run: 038, P, 5, 573, 0, 0, 5, 0, 0
8, Run: 039, P, 5, 558, 0, 0, 5, 0, 0
8, Run: 040, P, 5, 589, 0, 0, 5, 0, 0
8, Run: 041, P, 5, 575, 0, 0, 5, 0, 0
8, Run: 042, P, 5, 580, 0, 0, 5, 0, 0
8, Run: 043, P, 5, 614, 0, 0, 5, 0, 0
8, Run: 044, P, 5, 581, 0, 0, 5, 0, 0
