Input Number, Run_Number, Result@ 100, B, F, X1, A, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 077, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 108, 5, 3, 108, 9, 6, 2, 8, 8, 18, 127, 63
INVAR-1, Run: 078, F, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 171, 13, 11, 171, 9, 6, 2, 8, 7, 18, 68, 33
INVAR-1, Run: 079, F, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 175, 14, 12, 175, 9, 6, 2, 8, 7, 18, 90, 44
INVAR-1, Run: 080, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 171, 8, 8, 171, 9, 5, 3, 9, 6, 18, 81, 39
INVAR-1, Run: 081, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 114, 3, 3, 114, 9, 6, 2, 9, 7, 18, 72, 35
INVAR-1, Run: 082, F, 0, 0, 0, 0, 0, 0, 56, 0, 0, 1, 0, 9, 2, 18, 70, 10, 10, 70, 9, 6, 2, 9, 7, 18, 16, 7
INVAR-1, Run: 083, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 104, 8, 8, 104, 9, 2, 6, 9, 8, 18, 43, 21
INVAR-1, Run: 084, F, 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 0, 9, 3, 18, 112, 4, 4, 112, 9, 7, 1, 9, 6, 18, 59, 28
INVAR-1, Run: 085, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 252, 13, 13, 252, 9, 6, 2, 9, 8, 18, 109, 54
INVAR-1, Run: 086, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 95, 12, 10, 95, 9, 6, 2, 8, 8, 18, 135, 67
INVAR-1, Run: 087, F, 0, 0, 0, 0, 0, 0, 55, 0, 0, 1, 0, 9, 1, 18, 52, 6, 6, 52, 9, 5, 3, 9, 8, 18, 119, 59
INVAR-1, Run: 088, F, 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 0, 9, 4, 18, 130, 5, 5, 130, 9, 5, 3, 9, 5, 18, 64, 30
INVAR-1, Run: 089, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 55, 8, 6, 55, 9, 5, 3, 8, 8, 18, 73, 36
INVAR-1, Run: 090, F, 0, 0, 0, 0, 0, 0, 55, 0, 2, 1, 2, 8, 1, 18, 114, 7, 5, 114, 9, 7, 1, 8, 8, 18, 125, 62
INVAR-1, Run: 091, P, 0, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 8, 0, 18, 28, 3, 1, 28, 9, 5, 3, 8, 9, 18, 70, 35
INVAR-1, Run: 092, F, 0, 0, 0, 0, 0, 0, 56, 0, 2, 1, 2, 8, 2, 18, 98, 4, 2, 98, 9, 7, 1, 8, 7, 18, 88, 43
