Input Number, Run_Number, Result@ 100, X, XP, Z, YP
10, Run: 020, E, 0, 0, 105, 63
10, Run: 021, E, 0, 0, 100, 58
10, Run: 022, E, 0, 0, 105, 63
10, Run: 023, E, 0, 0, 110, 68
10, Run: 024, E, 0, 0, 96, 54
10, Run: 025, E, 0, 0, 114, 72
10, Run: 026, E, 0, 0, 105, 63
10, Run: 027, E, 0, 0, 107, 65
10, Run: 028, E, 0, 0, 108, 66
10, Run: 029, E, 0, 0, 105, 63
10, Run: 030, E, 0, 0, 118, 76
10, Run: 031, E, 0, 0, 104, 62
10, Run: 032, E, 0, 0, 90, 48
10, Run: 033, E, 0, 0, 105, 63
10, Run: 034, E, 0, 0, 96, 54
10, Run: 035, E, 0, 0, 85, 43
10, Run: 036, E, 0, 0, 114, 72
10, Run: 037, E, 0, 0, 100, 58
10, Run: 038, E, 0, 0, 112, 70
10, Run: 039, E, 0, 0, 112, 70
10, Run: 040, E, 0, 0, 102, 60
10, Run: 041, E, 0, 0, 99, 57
10, Run: 042, E, 0, 0, 84, 42
10, Run: 043, E, 0, 0, 106, 64
10, Run: 044, E, 0, 0, 88, 46
10, Run: 045, E, 0, 0, 103, 61
10, Run: 046, E, 0, 0, 98, 56
10, Run: 047, E, 0, 0, 99, 57
10, Run: 048, E, 0, 0, 110, 68
10, Run: 049, E, 0, 0, 100, 58
10, Run: 050, E, 0, 0, 98, 56
10, Run: 051, E, 0, 0, 90, 48
10, Run: 052, E, 0, 0, 102, 60
10, Run: 053, E, 0, 0, 105, 63
10, Run: 054, E, 0, 0, 89, 47
10, Run: 055, E, 0, 0, 104, 62
10, Run: 056, E, 0, 0, 94, 52
10, Run: 057, E, 0, 0, 86, 44
10, Run: 058, E, 0, 0, 105, 63
10, Run: 059, E, 0, 0, 104, 62
10, Run: 060, E, 0, 0, 97, 55
10, Run: 061, E, 0, 0, 98, 56
10, Run: 062, E, 0, 0, 99, 57
10, Run: 063, E, 0, 0, 102, 60
10, Run: 064, E, 0, 0, 115, 73
10, Run: 065, E, 0, 0, 91, 49
10, Run: 066, E, 0, 0, 108, 66
10, Run: 067, E, 0, 0, 115, 73
10, Run: 068, E, 0, 0, 93, 51
10, Run: 069, E, 0, 0, 94, 52
10, Run: 070, E, 0, 0, 88, 46
10, Run: 071, E, 0, 0, 118, 76
10, Run: 072, E, 0, 0, 91, 49
10, Run: 073, E, 0, 0, 112, 70
10, Run: 074, E, 0, 0, 110, 68
10, Run: 075, E, 0, 0, 116, 74
10, Run: 076, E, 0, 0, 94, 52
10, Run: 077, E, 0, 0, 111, 69
10, Run: 078, E, 0, 0, 100, 58
10, Run: 079, E, 0, 0, 98, 56
10, Run: 080, E, 0, 0, 108, 66
10, Run: 081, E, 0, 0, 87, 45
10, Run: 082, E, 0, 0, 99, 57
10, Run: 083, E, 0, 0, 102, 60
10, Run: 084, E, 0, 0, 106, 64
10, Run: 085, E, 0, 0, 96, 54
10, Run: 086, E, 0, 0, 88, 46
10, Run: 087, E, 0, 0, 92, 50
10, Run: 088, E, 0, 0, 92, 50
10, Run: 089, E, 0, 0, 103, 61
10, Run: 090, E, 0, 0, 79, 37
10, Run: 091, E, 0, 0, 95, 53
10, Run: 092, E, 0, 0, 90, 48
10, Run: 093, E, 0, 0, 96, 54
10, Run: 094, E, 0, 0, 110, 68
10, Run: 095, E, 0, 0, 89, 47
10, Run: 096, E, 0, 0, 109, 67
10, Run: 097, E, 0, 0, 99, 57
