Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP, Reaction1, Reaction2, Reaction3
INVAR-10, Run: 071, P, 0, 42, 5084, 50, 0, 42, 5042, 0
INVAR-10, Run: 072, P, 0, 42, 4969, 50, 0, 42, 4927, 0
INVAR-10, Run: 073, P, 0, 42, 4936, 50, 0, 42, 4894, 0
INVAR-10, Run: 074, P, 0, 42, 5011, 50, 0, 42, 4969, 0
INVAR-10, Run: 075, P, 0, 42, 5109, 50, 0, 42, 5067, 0
INVAR-10, Run: 076, P, 0, 42, 4960, 50, 0, 42, 4918, 0
INVAR-10, Run: 077, P, 0, 42, 5141, 50, 0, 42, 5099, 0
INVAR-10, Run: 078, P, 0, 42, 5033, 50, 0, 42, 4991, 0
INVAR-10, Run: 079, P, 0, 42, 4947, 50, 0, 42, 4905, 0
INVAR-10, Run: 080, P, 0, 42, 5018, 50, 0, 42, 4976, 0
INVAR-10, Run: 081, P, 0, 42, 5231, 50, 0, 42, 5189, 0
INVAR-10, Run: 082, P, 0, 42, 5058, 50, 0, 42, 5016, 0
INVAR-10, Run: 083, P, 0, 42, 5029, 50, 0, 42, 4987, 0
INVAR-10, Run: 084, P, 0, 42, 5192, 50, 0, 42, 5150, 0
INVAR-10, Run: 085, P, 0, 42, 4974, 50, 0, 42, 4932, 0
INVAR-10, Run: 086, P, 0, 42, 5024, 50, 0, 42, 4982, 0
INVAR-10, Run: 087, P, 0, 42, 5056, 50, 0, 42, 5014, 0
INVAR-10, Run: 088, P, 0, 42, 4995, 50, 0, 42, 4953, 0
INVAR-10, Run: 089, P, 0, 42, 5098, 50, 0, 42, 5056, 0
INVAR-10, Run: 090, P, 0, 42, 5042, 50, 0, 42, 5000, 0
INVAR-10, Run: 091, P, 0, 42, 5017, 50, 0, 42, 4975, 0
INVAR-10, Run: 092, P, 0, 42, 5103, 50, 0, 42, 5061, 0
INVAR-10, Run: 093, P, 0, 42, 5134, 50, 0, 42, 5092, 0
INVAR-10, Run: 094, P, 0, 42, 5131, 50, 0, 42, 5089, 0
INVAR-10, Run: 095, P, 0, 42, 5064, 50, 0, 42, 5022, 0
INVAR-10, Run: 096, P, 0, 42, 4968, 50, 0, 42, 4926, 0
INVAR-10, Run: 097, P, 0, 42, 5005, 50, 0, 42, 4963, 0
INVAR-10, Run: 098, P, 0, 42, 5093, 50, 0, 42, 5051, 0
INVAR-10, Run: 099, P, 0, 42, 5116, 50, 0, 42, 5074, 0
INVAR-10, Run: 100, P, 0, 42, 5156, 50, 0, 42, 5114, 0
INVAR-11, Run: 001, P, 0, 58, 10294, 100, 0, 58, 10236, 0
INVAR-11, Run: 002, P, 0, 58, 10002, 100, 0, 58, 9944, 0
INVAR-11, Run: 003, P, 0, 58, 10000, 100, 0, 58, 9942, 0
INVAR-11, Run: 004, P, 0, 58, 10101, 100, 0, 58, 10043, 0
INVAR-11, Run: 005, P, 0, 58, 10175, 100, 0, 58, 10117, 0
INVAR-11, Run: 006, P, 0, 58, 10087, 100, 0, 58, 10029, 0
INVAR-11, Run: 007, P, 0, 58, 10128, 100, 0, 58, 10070, 0
INVAR-11, Run: 008, P, 0, 58, 10032, 100, 0, 58, 9974, 0
INVAR-11, Run: 009, P, 0, 58, 10233, 100, 0, 58, 10175, 0
INVAR-11, Run: 010, P, 0, 58, 10059, 100, 0, 58, 10001, 0
INVAR-11, Run: 011, P, 0, 58, 9995, 100, 0, 58, 9937, 0
INVAR-11, Run: 012, P, 0, 58, 10104, 100, 0, 58, 10046, 0
INVAR-11, Run: 013, P, 0, 58, 10066, 100, 0, 58, 10008, 0
INVAR-11, Run: 014, P, 0, 58, 9999, 100, 0, 58, 9941, 0
INVAR-11, Run: 015, P, 0, 58, 10098, 100, 0, 58, 10040, 0
INVAR-11, Run: 016, P, 0, 58, 10074, 100, 0, 58, 10016, 0
INVAR-11, Run: 017, P, 0, 58, 9946, 100, 0, 58, 9888, 0
INVAR-11, Run: 018, P, 0, 58, 10147, 100, 0, 58, 10089, 0
INVAR-11, Run: 019, P, 0, 58, 10050, 100, 0, 58, 9992, 0
INVAR-11, Run: 020, P, 0, 58, 10117, 100, 0, 58, 10059, 0
INVAR-11, Run: 021, P, 0, 58, 9914, 100, 0, 58, 9856, 0
INVAR-11, Run: 022, P, 0, 58, 10084, 100, 0, 58, 10026, 0
INVAR-11, Run: 023, P, 0, 58, 10151, 100, 0, 58, 10093, 0
INVAR-11, Run: 024, P, 0, 58, 9937, 100, 0, 58, 9879, 0
INVAR-11, Run: 025, P, 0, 58, 10060, 100, 0, 58, 10002, 0
INVAR-11, Run: 026, P, 0, 58, 10018, 100, 0, 58, 9960, 0
INVAR-11, Run: 027, P, 0, 58, 9977, 100, 0, 58, 9919, 0
INVAR-11, Run: 028, P, 0, 58, 10069, 100, 0, 58, 10011, 0
INVAR-11, Run: 029, P, 0, 58, 10021, 100, 0, 58, 9963, 0
INVAR-11, Run: 030, P, 0, 58, 9988, 100, 0, 58, 9930, 0
INVAR-11, Run: 031, P, 0, 58, 9944, 100, 0, 58, 9886, 0
INVAR-11, Run: 032, P, 0, 58, 10257, 100, 0, 58, 10199, 0
INVAR-11, Run: 033, P, 0, 58, 10062, 100, 0, 58, 10004, 0
INVAR-11, Run: 034, P, 0, 58, 9950, 100, 0, 58, 9892, 0
INVAR-11, Run: 035, P, 0, 58, 10235, 100, 0, 58, 10177, 0
INVAR-11, Run: 036, P, 0, 58, 9994, 100, 0, 58, 9936, 0
INVAR-11, Run: 037, P, 0, 58, 10192, 100, 0, 58, 10134, 0
INVAR-11, Run: 038, P, 0, 58, 10300, 100, 0, 58, 10242, 0
INVAR-11, Run: 039, P, 0, 58, 9973, 100, 0, 58, 9915, 0
INVAR-11, Run: 040, P, 0, 58, 10029, 100, 0, 58, 9971, 0
INVAR-11, Run: 041, P, 0, 58, 10149, 100, 0, 58, 10091, 0
INVAR-11, Run: 042, P, 0, 58, 10032, 100, 0, 58, 9974, 0
INVAR-11, Run: 043, P, 0, 58, 10204, 100, 0, 58, 10146, 0
INVAR-11, Run: 044, P, 0, 58, 10140, 100, 0, 58, 10082, 0
INVAR-11, Run: 045, P, 0, 58, 10208, 100, 0, 58, 10150, 0
INVAR-11, Run: 046, P, 0, 58, 9954, 100, 0, 58, 9896, 0
INVAR-11, Run: 047, P, 0, 58, 10063, 100, 0, 58, 10005, 0
INVAR-11, Run: 048, P, 0, 58, 10175, 100, 0, 58, 10117, 0
INVAR-11, Run: 049, P, 0, 58, 9934, 100, 0, 58, 9876, 0
INVAR-11, Run: 050, P, 0, 58, 9966, 100, 0, 58, 9908, 0
INVAR-11, Run: 051, P, 0, 58, 9957, 100, 0, 58, 9899, 0
INVAR-11, Run: 052, P, 0, 58, 10075, 100, 0, 58, 10017, 0
INVAR-11, Run: 053, P, 0, 58, 10037, 100, 0, 58, 9979, 0
INVAR-11, Run: 054, P, 0, 58, 9976, 100, 0, 58, 9918, 0
INVAR-11, Run: 055, P, 0, 58, 9992, 100, 0, 58, 9934, 0
INVAR-11, Run: 056, P, 0, 58, 9876, 100, 0, 58, 9818, 0
INVAR-11, Run: 057, P, 0, 58, 10094, 100, 0, 58, 10036, 0
INVAR-11, Run: 058, P, 0, 58, 10031, 100, 0, 58, 9973, 0
INVAR-11, Run: 059, P, 0, 58, 9977, 100, 0, 58, 9919, 0
INVAR-11, Run: 060, P, 0, 58, 10003, 100, 0, 58, 9945, 0
INVAR-11, Run: 061, P, 0, 58, 9861, 100, 0, 58, 9803, 0
INVAR-11, Run: 062, P, 0, 58, 10096, 100, 0, 58, 10038, 0
INVAR-11, Run: 063, P, 0, 58, 9998, 100, 0, 58, 9940, 0
INVAR-11, Run: 064, P, 0, 58, 10201, 100, 0, 58, 10143, 0
INVAR-11, Run: 065, P, 0, 58, 9985, 100, 0, 58, 9927, 0
INVAR-11, Run: 066, P, 0, 58, 10127, 100, 0, 58, 10069, 0
INVAR-11, Run: 067, P, 0, 58, 9837, 100, 0, 58, 9779, 0
INVAR-11, Run: 068, P, 0, 58, 9992, 100, 0, 58, 9934, 0
INVAR-11, Run: 069, P, 0, 58, 10200, 100, 0, 58, 10142, 0
INVAR-11, Run: 070, P, 0, 58, 10103, 100, 0, 58, 10045, 0
INVAR-11, Run: 071, P, 0, 58, 10205, 100, 0, 58, 10147, 0
INVAR-11, Run: 072, P, 0, 58, 10110, 100, 0, 58, 10052, 0
INVAR-11, Run: 073, P, 0, 58, 9966, 100, 0, 58, 9908, 0
INVAR-11, Run: 074, P, 0, 58, 10082, 100, 0, 58, 10024, 0
INVAR-11, Run: 075, P, 0, 58, 10102, 100, 0, 58, 10044, 0
INVAR-11, Run: 076, P, 0, 58, 10137, 100, 0, 58, 10079, 0
INVAR-11, Run: 077, P, 0, 58, 10068, 100, 0, 58, 10010, 0
INVAR-11, Run: 078, P, 0, 58, 10093, 100, 0, 58, 10035, 0
INVAR-11, Run: 079, P, 0, 58, 10204, 100, 0, 58, 10146, 0
INVAR-11, Run: 080, P, 0, 58, 10173, 100, 0, 58, 10115, 0
INVAR-11, Run: 081, P, 0, 58, 10130, 100, 0, 58, 10072, 0
INVAR-11, Run: 082, P, 0, 58, 10132, 100, 0, 58, 10074, 0
INVAR-11, Run: 083, P, 0, 58, 10063, 100, 0, 58, 10005, 0
INVAR-11, Run: 084, P, 0, 58, 10048, 100, 0, 58, 9990, 0
INVAR-11, Run: 085, P, 0, 58, 9977, 100, 0, 58, 9919, 0
INVAR-11, Run: 086, P, 0, 58, 10107, 100, 0, 58, 10049, 0
INVAR-11, Run: 087, P, 0, 58, 10055, 100, 0, 58, 9997, 0
INVAR-11, Run: 088, P, 0, 58, 10002, 100, 0, 58, 9944, 0
INVAR-11, Run: 089, P, 0, 58, 10121, 100, 0, 58, 10063, 0
INVAR-11, Run: 090, P, 0, 58, 9945, 100, 0, 58, 9887, 0
INVAR-11, Run: 091, P, 0, 58, 10056, 100, 0, 58, 9998, 0
INVAR-11, Run: 092, P, 0, 58, 9995, 100, 0, 58, 9937, 0
INVAR-11, Run: 093, P, 0, 58, 10200, 100, 0, 58, 10142, 0
INVAR-11, Run: 094, P, 0, 58, 10002, 100, 0, 58, 9944, 0
INVAR-11, Run: 095, P, 0, 58, 10044, 100, 0, 58, 9986, 0
INVAR-11, Run: 096, P, 0, 58, 10072, 100, 0, 58, 10014, 0
INVAR-11, Run: 097, P, 0, 58, 9947, 100, 0, 58, 9889, 0
INVAR-11, Run: 098, P, 0, 58, 10069, 100, 0, 58, 10011, 0
INVAR-11, Run: 099, P, 0, 58, 10041, 100, 0, 58, 9983, 0
INVAR-11, Run: 100, P, 0, 58, 10034, 100, 0, 58, 9976, 0
INVAR-12, Run: 001, P, 0, 130, 19976, 200, 0, 130, 19846, 0
INVAR-12, Run: 002, P, 0, 130, 20014, 200, 0, 130, 19884, 0
INVAR-12, Run: 003, P, 0, 130, 20429, 200, 0, 130, 20299, 0
INVAR-12, Run: 004, P, 0, 130, 19969, 200, 0, 130, 19839, 0
INVAR-12, Run: 005, P, 0, 130, 19972, 200, 0, 130, 19842, 0
INVAR-12, Run: 006, P, 0, 130, 19814, 200, 0, 130, 19684, 0
INVAR-12, Run: 007, P, 0, 130, 20038, 200, 0, 130, 19908, 0
INVAR-12, Run: 008, P, 0, 130, 20008, 200, 0, 130, 19878, 0
INVAR-12, Run: 009, P, 0, 130, 19905, 200, 0, 130, 19775, 0
INVAR-12, Run: 010, P, 0, 130, 20157, 200, 0, 130, 20027, 0
INVAR-12, Run: 011, P, 0, 130, 20362, 200, 0, 130, 20232, 0
INVAR-12, Run: 012, P, 0, 130, 20162, 200, 0, 130, 20032, 0
INVAR-12, Run: 013, P, 0, 130, 20258, 200, 0, 130, 20128, 0
INVAR-12, Run: 014, P, 0, 130, 19926, 200, 0, 130, 19796, 0
INVAR-12, Run: 015, P, 0, 130, 20161, 200, 0, 130, 20031, 0
INVAR-12, Run: 016, P, 0, 130, 20339, 200, 0, 130, 20209, 0
INVAR-12, Run: 017, P, 0, 130, 20152, 200, 0, 130, 20022, 0
INVAR-12, Run: 018, P, 0, 130, 20114, 200, 0, 130, 19984, 0
INVAR-12, Run: 019, P, 0, 130, 20093, 200, 0, 130, 19963, 0
INVAR-12, Run: 020, P, 0, 130, 20017, 200, 0, 130, 19887, 0
INVAR-12, Run: 021, P, 0, 130, 20263, 200, 0, 130, 20133, 0
INVAR-12, Run: 022, P, 0, 130, 20127, 200, 0, 130, 19997, 0
INVAR-12, Run: 023, P, 0, 130, 20214, 200, 0, 130, 20084, 0
INVAR-12, Run: 024, P, 0, 130, 19961, 200, 0, 130, 19831, 0
INVAR-12, Run: 025, P, 0, 130, 20290, 200, 0, 130, 20160, 0
INVAR-12, Run: 026, P, 0, 130, 20453, 200, 0, 130, 20323, 0
INVAR-12, Run: 027, P, 0, 130, 20007, 200, 0, 130, 19877, 0
INVAR-12, Run: 028, P, 0, 130, 20227, 200, 0, 130, 20097, 0
INVAR-12, Run: 029, P, 0, 130, 20254, 200, 0, 130, 20124, 0
INVAR-12, Run: 030, P, 0, 130, 20303, 200, 0, 130, 20173, 0
INVAR-12, Run: 031, P, 0, 130, 20080, 200, 0, 130, 19950, 0
INVAR-12, Run: 032, P, 0, 130, 20058, 200, 0, 130, 19928, 0
INVAR-12, Run: 033, P, 0, 130, 20017, 200, 0, 130, 19887, 0
INVAR-12, Run: 034, P, 0, 130, 19814, 200, 0, 130, 19684, 0
INVAR-12, Run: 035, P, 0, 130, 20274, 200, 0, 130, 20144, 0
INVAR-12, Run: 036, P, 0, 130, 20192, 200, 0, 130, 20062, 0
