Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 007, P, 41, 0, 0, 0, 0, 159, 0, 0, 1, 954, 0, 118, 318, 686, 15949, 159, 88, 70, 159, 318, 477, 845, 15949
INVAR-10, Run: 008, P, 50, 0, 0, 0, 0, 150, 0, 0, 1, 900, 0, 100, 300, 538, 14382, 150, 99, 50, 150, 300, 450, 688, 14382
INVAR-10, Run: 009, P, 0, 0, 1, 0, 1, 1069, 41, 952, 0, 0, 1, 117, 317, 822, 17385, 158, 103, 55, 158, 317, 475, 939, 18337
INVAR-10, Run: 010, P, 0, 0, 1, 0, 1, 965, 54, 874, 0, 0, 1, 91, 291, 600, 13193, 145, 93, 52, 145, 291, 436, 691, 14067
INVAR-10, Run: 011, P, 0, 0, 1, 0, 1, 1053, 43, 940, 0, 0, 1, 113, 313, 648, 18359, 156, 96, 60, 156, 313, 469, 761, 19299
INVAR-10, Run: 012, P, 0, 0, 1, 0, 1, 981, 52, 886, 0, 0, 1, 95, 295, 591, 11510, 147, 94, 53, 147, 295, 442, 686, 12396
INVAR-10, Run: 013, P, 24, 0, 0, 0, 0, 176, 0, 0, 1, 1056, 0, 152, 352, 980, 27758, 176, 112, 63, 176, 352, 528, 1156, 27758
INVAR-10, Run: 014, P, 45, 0, 0, 0, 0, 155, 0, 0, 1, 930, 0, 110, 310, 633, 13936, 155, 106, 48, 155, 310, 465, 788, 13936
INVAR-10, Run: 015, P, 0, 0, 1, 0, 1, 1125, 34, 994, 0, 0, 1, 131, 331, 717, 18933, 165, 116, 49, 165, 331, 496, 848, 19927
INVAR-10, Run: 016, P, 0, 0, 1, 0, 1, 1213, 23, 1060, 0, 0, 1, 153, 353, 845, 25796, 176, 111, 65, 176, 353, 529, 998, 26856
