Input Number, Run_Number, Result@ 100, U, X2, X1, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-10, Run: 037, F, 0, 12, 0, 24, 13, 31, 44
INVAR-10, Run: 038, F, 0, 0, 12, 29, 50, 24, 74
INVAR-10, Run: 039, F, 0, 12, 0, 15, 5, 22, 27
INVAR-10, Run: 040, F, 0, 0, 12, 11, 16, 6, 22
INVAR-10, Run: 041, F, 0, 12, 0, 12, 8, 19, 27
INVAR-10, Run: 042, F, 0, 0, 12, 16, 20, 11, 31
INVAR-10, Run: 043, F, 0, 12, 0, 11, 0, 18, 18
INVAR-10, Run: 044, F, 0, 0, 12, 12, 21, 7, 28
INVAR-10, Run: 045, F, 0, 12, 0, 12, 10, 19, 29
INVAR-10, Run: 046, F, 0, 12, 0, 22, 6, 29, 35
INVAR-10, Run: 047, P, 0, 12, 0, 0, 0, 7, 7
INVAR-10, Run: 048, F, 0, 0, 12, 10, 16, 5, 21
INVAR-10, Run: 049, F, 0, 0, 12, 13, 21, 8, 29
INVAR-10, Run: 050, F, 0, 0, 12, 16, 29, 11, 40
INVAR-10, Run: 051, F, 0, 0, 12, 17, 34, 12, 46
INVAR-10, Run: 052, F, 0, 0, 12, 8, 22, 3, 25
INVAR-10, Run: 053, F, 0, 0, 12, 16, 17, 11, 28
INVAR-10, Run: 054, F, 0, 0, 12, 45, 55, 40, 95
INVAR-10, Run: 055, F, 0, 12, 0, 5, 7, 12, 19
INVAR-10, Run: 056, F, 0, 0, 12, 19, 51, 14, 65
INVAR-10, Run: 057, F, 0, 0, 12, 7, 39, 2, 41
INVAR-10, Run: 058, F, 0, 0, 12, 89, 95, 84, 179
INVAR-10, Run: 059, F, 0, 12, 0, 4, 1, 11, 12
INVAR-10, Run: 060, F, 0, 12, 0, 37, 44, 44, 88
INVAR-10, Run: 061, F, 0, 12, 0, 27, 11, 34, 45
INVAR-10, Run: 062, F, 0, 0, 12, 5, 6, 0, 6
INVAR-10, Run: 063, F, 0, 0, 12, 9, 23, 4, 27
INVAR-10, Run: 064, F, 0, 0, 12, 6, 19, 1, 20
INVAR-10, Run: 065, F, 0, 0, 12, 9, 6, 4, 10
INVAR-10, Run: 066, F, 0, 12, 0, 17, 21, 24, 45
INVAR-10, Run: 067, F, 0, 0, 12, 15, 19, 10, 29
INVAR-10, Run: 068, F, 0, 0, 12, 21, 32, 16, 48
INVAR-10, Run: 069, F, 0, 0, 12, 17, 25, 12, 37
INVAR-10, Run: 070, F, 0, 12, 0, 5, 1, 12, 13
INVAR-10, Run: 071, F, 0, 0, 12, 7, 32, 2, 34
INVAR-10, Run: 072, F, 0, 12, 0, 11, 9, 18, 27
INVAR-10, Run: 073, F, 0, 0, 12, 75, 50, 70, 120
INVAR-10, Run: 074, F, 0, 12, 0, 29, 30, 36, 66
INVAR-10, Run: 075, F, 0, 0, 12, 5, 9, 0, 9
INVAR-10, Run: 076, F, 0, 12, 0, 18, 13, 25, 38
INVAR-10, Run: 077, F, 0, 0, 12, 34, 22, 29, 51
INVAR-10, Run: 078, F, 0, 0, 12, 38, 32, 33, 65
INVAR-10, Run: 079, F, 0, 12, 0, 10, 3, 17, 20
INVAR-10, Run: 080, F, 0, 0, 12, 12, 44, 7, 51
INVAR-10, Run: 081, F, 0, 12, 0, 3, 3, 10, 13
INVAR-10, Run: 082, F, 0, 0, 12, 5, 8, 0, 8
INVAR-10, Run: 083, F, 0, 12, 0, 7, 5, 14, 19
INVAR-10, Run: 084, F, 0, 0, 12, 38, 95, 33, 128
INVAR-10, Run: 085, F, 0, 0, 12, 32, 79, 27, 106
INVAR-10, Run: 086, F, 0, 0, 12, 24, 33, 19, 52
INVAR-10, Run: 087, F, 0, 0, 12, 8, 21, 3, 24
INVAR-10, Run: 088, F, 0, 0, 12, 7, 13, 2, 15
INVAR-10, Run: 089, F, 0, 0, 12, 17, 30, 12, 42
INVAR-10, Run: 090, F, 0, 0, 12, 7, 18, 2, 20
INVAR-10, Run: 091, F, 0, 0, 12, 9, 28, 4, 32
INVAR-10, Run: 092, F, 0, 0, 12, 21, 37, 16, 53
INVAR-10, Run: 093, F, 0, 12, 0, 3, 1, 10, 11
INVAR-10, Run: 094, F, 0, 12, 0, 4, 0, 11, 11
INVAR-10, Run: 095, F, 0, 12, 0, 14, 3, 21, 24
INVAR-10, Run: 096, F, 0, 12, 0, 2, 8, 9, 17
INVAR-10, Run: 097, F, 0, 0, 12, 16, 24, 11, 35
INVAR-10, Run: 098, F, 0, 0, 12, 15, 50, 10, 60
INVAR-10, Run: 099, F, 0, 0, 12, 14, 24, 9, 33
INVAR-10, Run: 100, F, 0, 0, 12, 31, 42, 26, 68
INVAR-11, Run: 001, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 002, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 003, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 004, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 005, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 006, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 007, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 008, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 009, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 010, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 011, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 012, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 013, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 014, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 015, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 016, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 017, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 018, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 019, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 020, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 021, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 022, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 023, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 024, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 025, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 026, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 027, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 028, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 029, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 030, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 031, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 032, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 033, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 034, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 035, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 036, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 037, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 038, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 039, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 040, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 041, P, 0, 0, 13, 0, 0, 0, 0
INVAR-11, Run: 042, P, 0, 0, 13, 0, 0, 0, 0
