Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, Y, PE, CE, CO, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 007, P, 0, 0, 0, 0, 0, 14, 586, 1, 0, 0, 100, 0, 200, 586, 67, 67, 0, 100, 63, 36, 100, 100, 200, 542, 271
INVAR-10, Run: 008, P, 0, 0, 0, 0, 0, 19, 581, 1, 0, 0, 100, 0, 200, 581, 53, 53, 0, 100, 60, 39, 100, 100, 200, 552, 276
INVAR-10, Run: 009, P, 0, 0, 0, 0, 0, 26, 574, 1, 0, 0, 100, 0, 200, 574, 59, 59, 0, 100, 66, 33, 100, 100, 200, 508, 254
INVAR-10, Run: 010, P, 0, 0, 0, 0, 0, 13, 587, 1, 0, 0, 100, 0, 200, 587, 47, 47, 0, 100, 62, 37, 100, 100, 200, 578, 289
INVAR-10, Run: 011, P, 0, 0, 0, 0, 0, 33, 567, 1, 0, 0, 100, 0, 200, 567, 80, 80, 0, 100, 68, 31, 100, 100, 200, 574, 287
INVAR-10, Run: 012, P, 0, 0, 0, 0, 0, 16, 584, 1, 0, 0, 100, 0, 200, 584, 61, 61, 0, 100, 61, 38, 100, 100, 200, 492, 246
INVAR-10, Run: 013, P, 0, 0, 0, 0, 0, 54, 548, 1, 2, 0, 99, 0, 200, 546, 66, 64, 0, 100, 58, 41, 99, 100, 200, 696, 348
INVAR-10, Run: 014, P, 0, 0, 0, 0, 0, 7, 593, 1, 0, 0, 100, 0, 200, 593, 74, 74, 0, 100, 57, 42, 100, 100, 200, 566, 283
INVAR-10, Run: 015, P, 0, 0, 0, 0, 0, 15, 585, 1, 0, 0, 100, 0, 200, 585, 60, 60, 0, 100, 67, 32, 100, 100, 200, 540, 270
INVAR-10, Run: 016, P, 0, 0, 0, 0, 0, 40, 562, 1, 2, 0, 99, 0, 200, 560, 63, 61, 0, 100, 71, 28, 99, 100, 200, 436, 218
INVAR-10, Run: 017, P, 0, 0, 0, 0, 0, 9, 591, 1, 0, 0, 100, 0, 200, 591, 48, 48, 0, 100, 57, 42, 100, 100, 200, 562, 281
INVAR-10, Run: 018, P, 0, 0, 0, 0, 0, 16, 584, 1, 0, 0, 100, 0, 200, 584, 58, 58, 0, 100, 63, 36, 100, 100, 200, 502, 251
INVAR-10, Run: 019, P, 0, 0, 0, 0, 0, 15, 585, 1, 0, 0, 100, 0, 200, 585, 65, 65, 0, 100, 69, 30, 100, 100, 200, 584, 292
INVAR-10, Run: 020, P, 0, 0, 0, 0, 0, 23, 579, 1, 2, 0, 99, 0, 200, 577, 68, 66, 0, 100, 64, 35, 99, 100, 200, 562, 281
