Input Number, Run_Number, Result@ 1000, A, B, H, C, T4, T6, Y, L4, L1, L5, T1, T2, T3, T5, R, U, L2, D, L3
1, Run: 074, P, 0, 10, 0, 0, 1, 1, 106, 0, 0, 0, 0, 1, 1, 0, 1, 6, 0, 46, 0
1, Run: 075, P, 0, 10, 0, 0, 2, 0, 105, 0, 0, 0, 1, 0, 2, 1, 1, 6, 0, 44, 0
1, Run: 076, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 1, 0, 0, 1, 1, 6, 0, 48, 0
1, Run: 077, P, 0, 10, 0, 0, 1, 0, 106, 0, 0, 0, 0, 2, 1, 1, 1, 6, 0, 45, 0
1, Run: 078, P, 0, 10, 0, 0, 0, 0, 105, 0, 0, 0, 0, 2, 0, 1, 1, 6, 0, 47, 0
1, Run: 079, P, 0, 10, 0, 0, 0, 2, 104, 0, 0, 0, 0, 0, 2, 1, 1, 6, 0, 45, 0
1, Run: 080, P, 10, 0, 0, 0, 1, 0, 101, 0, 0, 0, 1, 0, 0, 1, 1, 6, 0, 47, 0
1, Run: 081, P, 0, 10, 0, 0, 1, 1, 107, 0, 0, 0, 1, 2, 1, 1, 1, 6, 0, 43, 0
1, Run: 082, P, 0, 10, 0, 0, 0, 1, 106, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 083, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 49, 0
1, Run: 084, P, 0, 10, 0, 0, 0, 0, 111, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
1, Run: 085, P, 0, 0, 0, 10, 1, 1, 107, 0, 0, 0, 1, 2, 0, 0, 1, 6, 0, 45, 0
1, Run: 086, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 1, 1, 0, 1, 1, 6, 0, 47, 0
1, Run: 087, P, 0, 10, 0, 0, 1, 1, 107, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 088, P, 0, 10, 0, 0, 0, 2, 105, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 47, 0
1, Run: 089, P, 0, 10, 0, 0, 0, 1, 108, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 090, P, 0, 0, 0, 10, 0, 0, 105, 0, 0, 0, 1, 0, 1, 1, 1, 6, 0, 47, 0
1, Run: 091, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 092, P, 0, 0, 0, 10, 0, 2, 104, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 47, 0
1, Run: 093, P, 0, 0, 0, 10, 0, 1, 103, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 094, P, 0, 0, 0, 10, 1, 0, 102, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 095, P, 0, 10, 0, 0, 1, 0, 106, 0, 0, 0, 1, 0, 1, 0, 1, 6, 0, 47, 0
1, Run: 096, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 2, 0, 0, 1, 1, 6, 0, 47, 0
1, Run: 097, P, 0, 10, 0, 0, 0, 1, 106, 0, 0, 0, 0, 0, 2, 1, 1, 6, 0, 46, 0
1, Run: 098, P, 0, 10, 0, 0, 1, 0, 106, 0, 0, 0, 0, 0, 1, 3, 1, 6, 0, 45, 0
1, Run: 099, P, 0, 10, 0, 0, 0, 0, 104, 0, 0, 0, 2, 1, 1, 1, 1, 6, 0, 45, 0
1, Run: 100, P, 0, 10, 0, 0, 1, 0, 108, 0, 0, 0, 1, 0, 1, 1, 1, 6, 0, 46, 0
2, Run: 001, P, 100, 0, 0, 0, 1, 0, 103, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 48, 0
2, Run: 002, P, 0, 100, 0, 0, 0, 3, 105, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 47, 0
2, Run: 003, P, 100, 0, 0, 0, 0, 0, 106, 0, 0, 0, 1, 0, 0, 1, 1, 6, 0, 48, 0
2, Run: 004, P, 100, 0, 0, 0, 0, 2, 102, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 005, P, 100, 0, 0, 0, 1, 1, 106, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 46, 0
2, Run: 006, P, 0, 0, 0, 100, 0, 0, 103, 0, 0, 0, 1, 0, 2, 1, 1, 6, 0, 46, 0
2, Run: 007, P, 0, 0, 0, 100, 1, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 008, P, 0, 0, 0, 100, 1, 1, 104, 0, 0, 0, 0, 1, 1, 1, 1, 6, 0, 45, 0
2, Run: 009, P, 0, 0, 0, 100, 0, 1, 103, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 48, 0
2, Run: 010, P, 0, 0, 0, 100, 0, 0, 107, 0, 0, 0, 1, 1, 1, 1, 1, 6, 0, 46, 0
2, Run: 011, P, 0, 0, 0, 100, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 1, 6, 0, 48, 0
2, Run: 012, P, 100, 0, 0, 0, 1, 0, 106, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 48, 0
2, Run: 013, P, 0, 0, 0, 100, 0, 1, 102, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 014, P, 0, 100, 0, 0, 0, 1, 104, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 48, 0
2, Run: 015, P, 0, 100, 0, 0, 1, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
2, Run: 016, P, 0, 0, 0, 100, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
2, Run: 017, P, 0, 100, 0, 0, 0, 0, 107, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
2, Run: 018, P, 0, 100, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 49, 0
2, Run: 019, P, 0, 0, 0, 100, 0, 0, 104, 0, 0, 0, 1, 0, 0, 1, 1, 6, 0, 48, 0
