Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
INVAR-2, Run: 008, P, 42, 0, 0, 0, 0, 0, 0, 91, 154, 1, 0
INVAR-2, Run: 009, P, 44, 0, 0, 0, 0, 0, 0, 90, 152, 1, 0
INVAR-2, Run: 010, P, 38, 0, 0, 0, 0, 0, 0, 93, 158, 1, 0
INVAR-2, Run: 011, P, 24, 0, 0, 0, 0, 0, 0, 100, 172, 1, 0
INVAR-2, Run: 012, F, 2, 0, 0, 0, 0, 0, 0, 111, 194, 1, 0
INVAR-2, Run: 013, P, 12, 0, 0, 0, 0, 0, 0, 106, 184, 1, 0
INVAR-2, Run: 014, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 015, P, 6, 0, 0, 0, 0, 0, 0, 109, 190, 1, 0
INVAR-2, Run: 016, F, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
INVAR-2, Run: 017, F, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
INVAR-2, Run: 018, P, 48, 0, 0, 0, 0, 0, 0, 88, 148, 1, 0
INVAR-2, Run: 019, P, 38, 0, 0, 0, 0, 0, 0, 93, 158, 1, 0
INVAR-2, Run: 020, P, 24, 0, 0, 0, 0, 0, 0, 100, 172, 1, 0
INVAR-2, Run: 021, P, 26, 0, 0, 0, 0, 0, 0, 99, 170, 1, 0
INVAR-2, Run: 022, P, 50, 0, 0, 0, 0, 0, 0, 87, 146, 1, 0
INVAR-2, Run: 023, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 024, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 025, P, 20, 0, 0, 0, 0, 0, 0, 102, 176, 1, 0
INVAR-2, Run: 026, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 027, P, 38, 0, 0, 0, 0, 0, 0, 93, 158, 1, 0
INVAR-2, Run: 028, P, 6, 0, 0, 0, 0, 0, 0, 109, 190, 1, 0
INVAR-2, Run: 029, P, 32, 0, 0, 0, 0, 0, 0, 96, 164, 1, 0
INVAR-2, Run: 030, P, 24, 0, 0, 0, 0, 0, 0, 100, 172, 1, 0
INVAR-2, Run: 031, F, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
INVAR-2, Run: 032, P, 18, 0, 0, 0, 0, 0, 0, 103, 178, 1, 0
INVAR-2, Run: 033, P, 40, 0, 0, 0, 0, 0, 0, 92, 156, 1, 0
INVAR-2, Run: 034, P, 30, 0, 0, 0, 0, 0, 0, 97, 166, 1, 0
INVAR-2, Run: 035, P, 22, 0, 0, 0, 0, 0, 0, 101, 174, 1, 0
INVAR-2, Run: 036, P, 60, 0, 0, 0, 0, 0, 0, 82, 136, 1, 0
INVAR-2, Run: 037, P, 50, 0, 0, 0, 0, 0, 0, 87, 146, 1, 0
INVAR-2, Run: 038, P, 34, 0, 0, 0, 0, 0, 0, 95, 162, 1, 0
INVAR-2, Run: 039, P, 44, 0, 0, 0, 0, 0, 0, 90, 152, 1, 0
INVAR-2, Run: 040, P, 22, 0, 0, 0, 0, 0, 0, 101, 174, 1, 0
INVAR-2, Run: 041, P, 36, 0, 0, 0, 0, 0, 0, 94, 160, 1, 0
INVAR-2, Run: 042, F, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
INVAR-2, Run: 043, P, 32, 0, 0, 0, 0, 0, 0, 96, 164, 1, 0
INVAR-2, Run: 044, P, 34, 0, 0, 0, 0, 0, 0, 95, 162, 1, 0
INVAR-2, Run: 045, P, 18, 0, 0, 0, 0, 0, 0, 103, 178, 1, 0
INVAR-2, Run: 046, P, 28, 0, 0, 0, 0, 0, 0, 98, 168, 1, 0
INVAR-2, Run: 047, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 048, P, 12, 0, 0, 0, 0, 0, 0, 106, 184, 1, 0
INVAR-2, Run: 049, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 050, P, 10, 0, 0, 0, 0, 0, 0, 107, 186, 1, 0
INVAR-2, Run: 051, P, 14, 0, 0, 0, 0, 0, 0, 105, 182, 1, 0
INVAR-2, Run: 052, P, 6, 0, 0, 0, 0, 0, 0, 109, 190, 1, 0
INVAR-2, Run: 053, F, 4, 0, 0, 0, 0, 0, 0, 110, 192, 1, 0
INVAR-2, Run: 054, P, 62, 0, 0, 0, 0, 0, 0, 81, 134, 1, 0
INVAR-2, Run: 055, P, 32, 0, 0, 0, 0, 0, 0, 96, 164, 1, 0
