Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-11, Run: 003, P, 41, 0, 100
INVAR-11, Run: 004, P, 58, 0, 100
INVAR-11, Run: 005, P, 46, 0, 100
INVAR-11, Run: 006, P, 58, 0, 100
INVAR-11, Run: 007, P, 56, 0, 100
INVAR-11, Run: 008, P, 57, 0, 100
INVAR-11, Run: 009, P, 49, 0, 100
INVAR-11, Run: 010, P, 54, 0, 100
INVAR-11, Run: 011, P, 63, 0, 100
INVAR-11, Run: 012, P, 70, 0, 100
INVAR-11, Run: 013, P, 49, 0, 100
INVAR-11, Run: 014, P, 32, 0, 100
INVAR-11, Run: 015, P, 64, 0, 100
INVAR-11, Run: 016, P, 46, 0, 100
INVAR-11, Run: 017, P, 52, 0, 100
INVAR-11, Run: 018, P, 55, 0, 100
INVAR-11, Run: 019, P, 70, 0, 100
INVAR-11, Run: 020, P, 69, 0, 100
INVAR-11, Run: 021, P, 44, 0, 100
INVAR-11, Run: 022, P, 63, 0, 100
INVAR-11, Run: 023, P, 55, 0, 100
INVAR-11, Run: 024, P, 66, 0, 100
INVAR-11, Run: 025, P, 42, 0, 100
INVAR-11, Run: 026, P, 65, 0, 100
INVAR-11, Run: 027, P, 49, 0, 100
INVAR-11, Run: 028, P, 55, 0, 100
INVAR-11, Run: 029, P, 57, 0, 100
INVAR-11, Run: 030, P, 49, 0, 100
INVAR-11, Run: 031, P, 63, 0, 100
INVAR-11, Run: 032, P, 54, 0, 100
INVAR-11, Run: 033, P, 69, 0, 100
INVAR-11, Run: 034, P, 41, 0, 100
INVAR-11, Run: 035, P, 79, 0, 100
INVAR-11, Run: 036, P, 55, 0, 100
INVAR-11, Run: 037, P, 52, 0, 100
INVAR-11, Run: 038, P, 50, 0, 100
INVAR-11, Run: 039, P, 57, 0, 100
INVAR-11, Run: 040, P, 68, 0, 100
INVAR-11, Run: 041, P, 71, 0, 100
INVAR-11, Run: 042, P, 50, 0, 100
INVAR-11, Run: 043, P, 66, 0, 100
INVAR-11, Run: 044, P, 63, 0, 100
INVAR-11, Run: 045, P, 53, 0, 100
INVAR-11, Run: 046, P, 50, 0, 100
INVAR-11, Run: 047, P, 48, 0, 100
INVAR-11, Run: 048, P, 69, 0, 100
INVAR-11, Run: 049, P, 48, 0, 100
INVAR-11, Run: 050, P, 65, 0, 100
INVAR-11, Run: 051, P, 62, 0, 100
INVAR-11, Run: 052, P, 74, 0, 100
INVAR-11, Run: 053, P, 60, 0, 100
INVAR-11, Run: 054, P, 59, 0, 100
INVAR-11, Run: 055, P, 60, 0, 100
INVAR-11, Run: 056, P, 36, 0, 100
INVAR-11, Run: 057, P, 62, 0, 100
INVAR-11, Run: 058, P, 72, 0, 100
INVAR-11, Run: 059, P, 77, 0, 100
INVAR-11, Run: 060, P, 53, 0, 100
INVAR-11, Run: 061, P, 49, 0, 100
INVAR-11, Run: 062, P, 48, 0, 100
INVAR-11, Run: 063, P, 71, 0, 100
INVAR-11, Run: 064, P, 66, 0, 100
INVAR-11, Run: 065, P, 33, 0, 100
INVAR-11, Run: 066, P, 53, 0, 100
INVAR-11, Run: 067, P, 41, 0, 100
INVAR-11, Run: 068, P, 67, 0, 100
INVAR-11, Run: 069, P, 71, 0, 100
INVAR-11, Run: 070, P, 54, 0, 100
INVAR-11, Run: 071, P, 53, 0, 100
INVAR-11, Run: 072, P, 64, 0, 100
INVAR-11, Run: 073, P, 61, 0, 100
INVAR-11, Run: 074, P, 54, 0, 100
INVAR-11, Run: 075, P, 79, 0, 100
INVAR-11, Run: 076, P, 62, 0, 100
INVAR-11, Run: 077, P, 43, 0, 100
INVAR-11, Run: 078, P, 51, 0, 100
INVAR-11, Run: 079, P, 69, 0, 100
INVAR-11, Run: 080, P, 77, 0, 100
INVAR-11, Run: 081, P, 53, 0, 100
INVAR-11, Run: 082, P, 61, 0, 100
INVAR-11, Run: 083, P, 41, 0, 100
INVAR-11, Run: 084, P, 78, 0, 100
INVAR-11, Run: 085, P, 45, 0, 100
INVAR-11, Run: 086, P, 81, 0, 100
INVAR-11, Run: 087, P, 55, 0, 100
INVAR-11, Run: 088, P, 59, 0, 100
INVAR-11, Run: 089, P, 60, 0, 100
INVAR-11, Run: 090, P, 56, 0, 100
INVAR-11, Run: 091, P, 62, 0, 100
INVAR-11, Run: 092, P, 50, 0, 100
INVAR-11, Run: 093, P, 58, 0, 100
INVAR-11, Run: 094, P, 69, 0, 100
