Input Number, Run_Number, Result@ 100, X1, H, PO, CE, Y, D, CO, PE, A, M, B
10, Run: 090, F, 200, 7, 11, 22, 22, 1207, 0, 3, 0, 0, 0
10, Run: 091, F, 200, 9, 9, 38, 38, 1199, 0, 7, 0, 0, 0
10, Run: 092, F, 200, 10, 8, 38, 38, 1210, 0, 7, 0, 0, 0
10, Run: 093, F, 200, 6, 8, 26, 26, 1199, 0, 6, 0, 0, 0
10, Run: 094, F, 200, 12, 12, 28, 28, 1208, 0, 7, 0, 0, 0
10, Run: 095, F, 200, 10, 8, 38, 38, 1193, 0, 8, 0, 0, 0
10, Run: 096, F, 200, 9, 9, 33, 33, 1193, 0, 9, 0, 0, 0
10, Run: 097, F, 200, 5, 7, 33, 33, 1216, 0, 6, 0, 0, 0
10, Run: 098, F, 200, 13, 13, 23, 23, 1209, 0, 7, 0, 0, 0
10, Run: 099, F, 200, 6, 6, 37, 37, 1206, 0, 7, 0, 0, 0
10, Run: 100, F, 200, 10, 8, 30, 30, 1215, 0, 6, 0, 0, 0
2, Run: 001, F, 56, 5, 7, 27, 27, 874, 0, 4, 0, 0, 0
2, Run: 002, F, 56, 4, 2, 37, 37, 863, 0, 4, 0, 0, 0
2, Run: 003, F, 56, 4, 2, 41, 41, 867, 0, 4, 0, 0, 0
2, Run: 004, F, 56, 8, 4, 29, 29, 869, 0, 4, 0, 0, 0
2, Run: 005, F, 56, 7, 5, 31, 31, 869, 0, 5, 0, 0, 0
2, Run: 006, F, 56, 5, 5, 30, 30, 878, 0, 4, 0, 0, 0
2, Run: 007, F, 56, 2, 6, 17, 17, 887, 0, 2, 0, 0, 0
2, Run: 008, F, 56, 4, 6, 22, 22, 874, 0, 3, 0, 0, 0
2, Run: 009, F, 56, 8, 8, 23, 23, 903, 0, 4, 0, 0, 0
2, Run: 010, F, 56, 7, 7, 20, 20, 866, 0, 6, 0, 0, 0
2, Run: 011, F, 56, 6, 4, 22, 22, 856, 0, 3, 0, 0, 0
2, Run: 012, F, 56, 6, 6, 22, 22, 842, 0, 3, 0, 0, 0
2, Run: 013, F, 56, 6, 4, 18, 18, 857, 0, 4, 0, 0, 0
2, Run: 014, F, 56, 6, 0, 167, 167, 704, 0, 5, 0, 0, 0
2, Run: 015, F, 56, 4, 6, 22, 22, 875, 0, 4, 0, 0, 0
2, Run: 016, F, 56, 1, 3, 37, 37, 882, 0, 4, 0, 0, 0
2, Run: 017, F, 56, 4, 8, 14, 14, 898, 0, 3, 0, 0, 0
2, Run: 018, F, 56, 7, 7, 27, 27, 842, 0, 4, 0, 0, 0
2, Run: 019, F, 56, 7, 9, 14, 14, 882, 0, 2, 0, 0, 0
2, Run: 020, F, 56, 5, 5, 29, 29, 858, 0, 4, 0, 0, 0
2, Run: 021, F, 56, 6, 6, 23, 23, 871, 0, 4, 0, 0, 0
2, Run: 022, F, 56, 4, 8, 12, 12, 893, 0, 2, 0, 0, 0
2, Run: 023, F, 56, 6, 6, 32, 32, 870, 0, 5, 0, 0, 0
